{HEADER}
user_id: 444
target_id: 207
target_screen_position_mm: [-7.96, 0.00]
fingertip_offset: [0.85, 31.92, 21.16]
completion_time: 7.6754
endpoint_error_mm: [-13.4302, 22.3526, 5.9320]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.855463, 14.185488, 12.983670, 7.856045]
control_points_accel: [0.931956, -2.878074, -2.871488, 4.817605]
stiffness_measurements: [0.179333, 0.042347, 0.129175, 0.247636]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,207,0,50.5101,-50.8952,648.8061,47.1344,-19.1392,627.6462,-0.0431,0.0093,0.0116,0.9990,1812.0000,1841.0000,1812.0000,12.2326,14.7335,,
0.0160,207,0,51.0484,-50.9436,648.3396,48.0002,-19.1545,627.1797,-0.0444,0.0074,0.0119,0.9989,1812.0000,1841.0000,1812.0000,12.2326,14.7335,,
0.0249,207,0,51.6086,-50.8381,648.1732,48.2302,-19.0824,627.0132,-0.0426,0.0055,0.0126,0.9990,1812.0000,1841.0000,1812.0000,12.2326,14.7335,,
0.0338,207,0,51.6086,-50.8381,648.1732,48.2302,-19.0824,627.0132,-0.0426,0.0055,0.0126,0.9990,1812.0000,1841.0000,1812.0000,12.2326,14.7335,,
0.0435,207,0,50.9624,-50.6324,648.4244,47.7427,-18.8602,627.2645,-0.0416,0.0074,0.0123,0.9990,1812.0000,1841.0000,1812.0000,12.2326,14.7335,,
0.0557,207,0,50.9499,-50.6784,647.8421,47.4314,-18.9379,626.6822,-0.0435,0.0083,0.0125,0.9989,1812.0000,1841.0000,1812.0000,12.2326,14.7335,,
0.0678,207,0,50.9499,-50.6784,647.8421,47.4314,-18.9379,626.6822,-0.0435,0.0083,0.0125,0.9989,1812.0000,1841.0000,1812.0000,12.2326,14.7335,,
0.0797,207,0,51.0209,-50.4506,647.7722,47.8072,-18.6778,626.6122,-0.0457,0.0083,0.0123,0.9988,1812.0000,1841.0000,1812.0000,12.2326,14.7335,,
0.0883,207,0,51.0209,-50.4506,647.7722,47.8072,-18.6778,626.6122,-0.0457,0.0083,0.0123,0.9988,1812.0000,1841.0000,1812.0000,12.2326,14.7335,,
0.0997,207,0,50.5639,-50.6247,647.9194,47.5028,-18.8368,626.7595,-0.0440,0.0101,0.0127,0.9989,1812.0000,1841.0000,1812.0000,12.2326,14.7335,,
0.1115,207,0,50.3998,-50.7904,645.9240,47.0337,-19.0333,624.7641,-0.0412,0.0118,0.0136,0.9990,1812.0000,1841.0000,1812.0000,12.2326,14.7335,,
0.1236,207,0,50.3998,-50.7904,645.9240,47.0337,-19.0333,624.7641,-0.0412,0.0118,0.0136,0.9990,1812.0000,1841.0000,1812.0000,12.2326,14.7335,,
0.1360,207,0,50.9656,-51.1921,645.9821,47.2824,-19.4703,624.8222,-0.0420,0.0086,0.0136,0.9990,1812.0000,1841.0000,1812.0000,12.2326,14.7335,,
0.1446,207,0,50.0809,-51.0238,646.0095,46.8768,-19.2500,624.8495,-0.0447,0.0097,0.0133,0.9989,1812.0000,1841.0000,1812.0000,12.2326,14.7335,,
0.1555,207,0,50.0809,-51.0238,646.0095,46.8768,-19.2500,624.8495,-0.0447,0.0097,0.0133,0.9989,1812.0000,1841.0000,1812.0000,12.2326,14.7335,,
0.1676,207,0,50.2198,-51.1305,644.6978,46.6922,-19.3910,623.5378,-0.0434,0.0086,0.0136,0.9989,1812.0000,1841.0000,1812.0000,12.2326,14.7335,,
0.1797,207,0,49.2937,-51.9445,644.4960,45.7623,-20.2054,623.3361,-0.0454,0.0105,0.0134,0.9988,1812.0000,1841.0000,1812.0000,12.2326,14.7335,,
0.1917,207,0,49.2937,-51.9445,644.4960,45.7623,-20.2054,623.3361,-0.0454,0.0105,0.0134,0.9988,1812.0000,1841.0000,1812.0000,12.2326,14.7335,,
0.2038,207,0,49.6636,-52.3723,644.2102,46.4594,-20.5985,623.0503,-0.0447,0.0099,0.0136,0.9989,1812.0000,1841.0000,1812.0000,12.2326,14.7335,,
0.2123,207,0,48.6679,-52.6078,642.9332,45.3077,-20.8502,621.7733,-0.0449,0.0101,0.0139,0.9988,1812.0000,1841.0000,1812.0000,12.2326,14.7303,,
0.2236,207,0,48.6679,-52.6078,642.9332,45.3077,-20.8502,621.7733,-0.0449,0.0101,0.0139,0.9988,1812.0000,1841.0000,1812.0000,12.2326,14.7303,,
0.2357,207,0,48.9434,-52.7400,642.0339,45.5775,-20.9830,620.8740,-0.0431,0.0092,0.0140,0.9989,1812.0000,1841.0000,1812.0000,12.2326,14.7303,,
0.2478,207,0,49.1652,-53.0985,641.1694,45.9606,-21.3248,620.0095,-0.0446,0.0084,0.0138,0.9989,1809.0000,1841.0000,1811.0000,12.2326,14.7335,,
0.2597,207,0,49.1652,-53.0985,641.1694,45.9606,-21.3248,620.0095,-0.0446,0.0084,0.0138,0.9989,1809.0000,1841.0000,1811.0000,12.2326,14.7335,,
0.2721,207,0,49.0695,-53.4996,640.0972,45.7062,-21.7422,618.9373,-0.0432,0.0103,0.0146,0.9989,1806.0000,1841.0000,1808.0000,12.2326,14.7335,,
0.2807,207,0,49.4489,-54.1812,639.5309,45.9455,-22.4390,618.3710,-0.0446,0.0094,0.0144,0.9989,1804.0000,1841.0000,1807.0000,12.2326,14.7335,,
0.2918,207,0,49.4489,-54.1812,639.5309,45.9455,-22.4390,618.3710,-0.0446,0.0094,0.0144,0.9989,1804.0000,1841.0000,1807.0000,12.2326,14.7335,,
0.3037,207,0,49.1725,-54.4025,639.7574,45.8185,-22.6441,618.5975,-0.0433,0.0104,0.0145,0.9989,1804.0000,1841.0000,1807.0000,12.2326,14.7335,,
0.3156,207,0,49.0768,-54.8130,637.6866,45.5673,-23.0715,616.5267,-0.0427,0.0115,0.0148,0.9989,1798.0000,1841.0000,1803.0000,12.2326,14.7335,,
0.3275,207,0,49.0768,-54.8130,637.6866,45.5673,-23.0715,616.5267,-0.0427,0.0115,0.0148,0.9989,1798.0000,1841.0000,1803.0000,12.2326,14.7335,,
0.3362,207,0,50.3076,-55.1480,636.5393,46.7984,-23.4064,615.3794,-0.0429,0.0109,0.0150,0.9989,1794.0000,1841.0000,1800.0000,12.2359,14.7354,,
0.3476,207,0,50.3076,-55.1480,636.5393,46.7984,-23.4064,615.3794,-0.0429,0.0109,0.0150,0.9989,1794.0000,1841.0000,1800.0000,12.2359,14.7321,,
0.3596,207,0,50.6852,-55.1801,635.8027,47.1757,-23.4386,614.6428,-0.0432,0.0125,0.0160,0.9989,1791.0000,1841.0000,1798.0000,12.2359,14.7321,,
0.3717,207,0,51.6518,-55.0457,634.7244,48.3041,-23.2868,613.5645,-0.0444,0.0137,0.0164,0.9988,1787.0000,1841.0000,1796.0000,12.2359,14.7321,,
0.3839,207,0,52.6515,-54.7538,633.5796,49.1511,-23.0113,612.4197,-0.0455,0.0130,0.0166,0.9987,1783.0000,1841.0000,1793.0000,12.2359,14.7321,,
0.3956,207,0,52.6515,-54.7538,633.5796,49.1511,-23.0113,612.4197,-0.0455,0.0130,0.0166,0.9987,1783.0000,1841.0000,1793.0000,12.2359,14.7321,,
