{HEADER}
user_id: 444
target_id: 303
target_screen_position_mm: [88.11, 48.04]
fingertip_offset: [0.85, 31.92, 21.16]
completion_time: 4.9478
endpoint_error_mm: [0.2785, 25.6899, -0.3476]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.855463, 14.185488, 12.983670, 7.856045]
control_points_accel: [0.931956, -2.878074, -2.871488, 4.817605]
stiffness_measurements: [0.179333, 0.042347, 0.129175, 0.247636]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,303,0,209.7966,-72.9195,462.4508,205.2491,-41.3100,441.2909,-0.0165,0.0819,0.0321,0.9960,1438.0000,1846.0000,1810.0000,14.2868,10.3368,,
0.0128,303,0,209.7523,-72.5980,462.3594,205.4224,-40.9580,441.1995,-0.0170,0.0821,0.0324,0.9960,1403.0000,1846.0000,1801.0000,14.2868,10.3368,,
0.0244,303,0,209.4216,-71.6582,462.0229,205.0930,-40.0180,440.8630,-0.0160,0.0822,0.0317,0.9960,1368.0000,1846.0000,1778.0000,14.6161,10.5234,,
0.0363,303,0,209.4216,-71.6582,462.0229,205.0930,-40.0180,440.8630,-0.0160,0.0822,0.0317,0.9960,1344.0000,1846.0000,1760.0000,14.9625,10.7197,,
0.0456,303,0,209.5201,-71.3064,462.1564,205.4200,-39.6357,440.9965,-0.0150,0.0822,0.0313,0.9960,1325.0000,1846.0000,1746.0000,15.5772,11.0586,,
0.0560,303,0,209.5201,-71.3064,462.1564,205.4200,-39.6357,440.9965,-0.0150,0.0822,0.0313,0.9960,1308.0000,1846.0000,1734.0000,16.2942,11.3693,,
0.0679,303,0,209.1666,-70.5206,461.7666,204.9698,-38.8626,440.6067,-0.0147,0.0820,0.0311,0.9960,1288.0000,1846.0000,1723.0000,16.5092,11.4274,,
0.0804,303,0,204.8090,-72.8935,463.7169,200.4740,-41.2542,442.5569,-0.0169,0.0777,0.0319,0.9963,1276.0000,1847.0000,1715.0000,16.9058,11.5026,,
0.0919,303,0,202.1808,-72.0020,466.0534,197.9572,-40.3476,444.8935,-0.0163,0.0745,0.0292,0.9967,1269.0000,1847.0000,1707.0000,17.0859,11.5631,,
0.1039,303,0,202.1808,-72.0020,466.0534,197.9572,-40.3476,444.8935,-0.0163,0.0745,0.0292,0.9967,1265.0000,1847.0000,1702.0000,17.1422,11.5917,,
0.1129,303,0,199.7593,-71.0419,467.5540,195.6255,-39.3756,446.3940,-0.0157,0.0713,0.0261,0.9970,1263.0000,1847.0000,1698.0000,17.2515,11.6504,,
0.1240,303,0,195.8353,-70.4225,469.4596,191.9181,-38.7287,448.2997,-0.0160,0.0672,0.0241,0.9973,1262.0000,1847.0000,1696.0000,17.3144,11.6828,,
0.1358,303,0,195.8353,-70.4225,469.4596,191.9181,-38.7287,448.2997,-0.0160,0.0672,0.0241,0.9973,1262.0000,1847.0000,1694.0000,17.3376,11.6959,,
0.1477,303,0,194.1117,-70.5591,468.9167,190.2120,-38.8632,447.7568,-0.0178,0.0682,0.0238,0.9972,1263.0000,1847.0000,1692.0000,17.3542,11.7020,,
0.1599,303,0,192.5313,-71.4839,468.5971,188.8441,-39.7625,447.4372,-0.0172,0.0665,0.0246,0.9973,1265.0000,1847.0000,1691.0000,17.3575,11.7039,,
0.1717,303,0,192.5313,-71.4839,468.5971,188.8441,-39.7625,447.4372,-0.0172,0.0665,0.0246,0.9973,1267.0000,1847.0000,1689.0000,17.3608,11.7058,,
0.1807,303,0,192.2036,-71.5709,469.0602,188.6486,-39.8345,447.9003,-0.0170,0.0654,0.0242,0.9974,1269.0000,1847.0000,1688.0000,17.3608,11.7058,,
0.1919,303,0,190.5777,-71.2594,468.7331,186.8848,-39.5387,447.5732,-0.0164,0.0659,0.0227,0.9974,1271.0000,1847.0000,1687.0000,17.3608,11.6992,,
0.2039,303,0,190.5777,-71.2594,468.7331,186.8848,-39.5387,447.5732,-0.0164,0.0659,0.0227,0.9974,1273.0000,1847.0000,1687.0000,17.3608,11.6730,,
0.2160,303,0,189.9924,-71.3072,467.8630,186.0738,-39.6136,446.7031,-0.0171,0.0659,0.0224,0.9974,1275.0000,1847.0000,1686.0000,17.3608,11.6533,,
0.2280,303,0,189.3229,-71.6906,467.6373,185.6463,-39.9680,446.4774,-0.0176,0.0653,0.0232,0.9974,1277.0000,1847.0000,1686.0000,17.3608,11.5580,,
0.2369,303,0,189.3229,-71.6906,467.6373,185.6463,-39.9680,446.4774,-0.0176,0.0653,0.0232,0.9974,1279.0000,1847.0000,1685.0000,17.3608,11.4298,,
0.2480,303,0,188.7629,-71.2689,466.6408,184.8443,-39.5753,445.4809,-0.0171,0.0650,0.0233,0.9975,1280.0000,1847.0000,1685.0000,17.3608,11.3805,,
0.2599,303,0,187.6911,-70.3140,466.6263,184.1521,-38.5758,445.4664,-0.0161,0.0656,0.0234,0.9974,1282.0000,1847.0000,1684.0000,17.3608,11.3608,,
0.2720,303,0,187.6911,-70.3140,466.6263,184.1521,-38.5758,445.4664,-0.0161,0.0656,0.0234,0.9974,1283.0000,1847.0000,1685.0000,17.3608,11.3608,,
0.2839,303,0,187.3112,-69.3461,466.2780,183.5370,-37.6350,445.1181,-0.0151,0.0646,0.0235,0.9975,1285.0000,1847.0000,1685.0000,17.3608,11.3608,,
0.2959,303,0,187.3266,-67.0181,466.2713,183.6770,-35.2924,445.1114,-0.0128,0.0631,0.0234,0.9977,1286.0000,1847.0000,1686.0000,17.3608,11.3608,,
0.3046,303,0,187.3266,-67.0181,466.2713,183.6770,-35.2924,445.1114,-0.0128,0.0631,0.0234,0.9977,1286.0000,1847.0000,1688.0000,17.3608,11.3608,,
0.3158,303,0,186.9315,-67.2549,465.3839,182.9237,-35.5724,444.2240,-0.0133,0.0654,0.0233,0.9975,1286.0000,1847.0000,1690.0000,17.3608,11.3608,,
0.3280,303,0,187.2686,-68.1760,464.2096,183.3678,-36.4802,443.0497,-0.0123,0.0662,0.0244,0.9974,1287.0000,1847.0000,1691.0000,17.3608,11.3608,,
0.3403,303,0,187.2686,-68.1760,464.2096,183.3678,-36.4802,443.0497,-0.0123,0.0662,0.0244,0.9974,1288.0000,1847.0000,1692.0000,17.3608,11.3608,,
0.3520,303,0,187.5455,-68.3971,462.7054,183.6309,-36.7030,441.5455,-0.0133,0.0650,0.0258,0.9975,1288.0000,1847.0000,1692.0000,17.3608,11.3641,,
