{HEADER}
user_id: 555
target_id: 060
target_screen_position_mm: [-7.96, -79.88]
fingertip_offset: [0.38, 31.82, 18.62]
completion_time: 6.4359
endpoint_error_mm: [9.4644, 12.8403, 2.2303]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.588962, 13.114713, 10.996150, 7.193988]
control_points_accel: [4.166954, -5.695001, 0.024310, 1.503737]
stiffness_measurements: [0.117744, 0.160014, 0.221429, 0.099805]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,60,0,-137.7874,36.8868,868.7733,-138.3153,68.7087,850.1554,-0.0496,0.0073,-0.0177,0.9986,1847.0000,1847.0000,1844.0000,15.6151,10.3943,,
0.0121,60,0,-137.7874,36.8868,868.7733,-138.3153,68.7087,850.1554,-0.0496,0.0073,-0.0177,0.9986,1847.0000,1847.0000,1844.0000,15.6151,10.3943,,
0.0199,60,0,-140.6946,35.4416,871.9382,-141.0197,67.2662,853.3203,-0.0455,0.0071,-0.0169,0.9988,1847.0000,1847.0000,1844.0000,15.6151,10.3943,,
0.0319,60,0,-143.9647,32.9286,871.1200,-144.2836,64.7533,852.5021,-0.0448,0.0020,-0.0155,0.9989,1847.0000,1847.0000,1844.0000,15.6151,10.3943,,
0.0439,60,0,-143.9647,32.9286,871.1200,-144.2836,64.7533,852.5021,-0.0448,0.0020,-0.0155,0.9989,1847.0000,1847.0000,1844.0000,15.6151,10.3943,,
0.0560,60,0,-146.1851,31.3798,872.3046,-146.7193,63.2016,853.6867,-0.0467,0.0037,-0.0167,0.9988,1847.0000,1847.0000,1844.0000,15.6151,10.3943,,
0.0680,60,0,-150.0294,28.0064,873.8129,-150.3486,59.8310,855.1950,-0.0516,-0.0003,-0.0172,0.9985,1847.0000,1847.0000,1844.0000,15.6151,10.3943,,
0.0800,60,0,-150.0294,28.0064,873.8129,-150.3486,59.8310,855.1950,-0.0516,-0.0003,-0.0172,0.9985,1847.0000,1847.0000,1844.0000,15.6151,10.3943,,
0.0880,60,0,-151.8492,26.2888,874.1204,-152.1684,58.1134,855.5025,-0.0512,0.0004,-0.0177,0.9985,1847.0000,1847.0000,1844.0000,15.6151,10.3943,,
0.1001,60,0,-155.7554,22.6594,875.5505,-156.0806,54.4840,856.9326,-0.0506,-0.0014,-0.0188,0.9985,1847.0000,1847.0000,1844.0000,15.6151,10.3943,,
0.1120,60,0,-155.7554,22.6594,875.5505,-156.0806,54.4840,856.9326,-0.0506,-0.0014,-0.0188,0.9985,1847.0000,1847.0000,1844.0000,15.6151,10.3943,,
0.1240,60,0,-157.8851,21.5614,876.8730,-158.4129,53.3832,858.2551,-0.0530,-0.0055,-0.0194,0.9984,1847.0000,1847.0000,1844.0000,15.6151,10.3943,,
0.1360,60,0,-160.5773,19.9181,874.4977,-160.8905,51.7428,855.8798,-0.0529,-0.0036,-0.0188,0.9984,1847.0000,1847.0000,1844.0000,15.6151,10.3943,,
0.1440,60,0,-160.5773,19.9181,874.4977,-160.8905,51.7428,855.8798,-0.0529,-0.0036,-0.0188,0.9984,1847.0000,1847.0000,1844.0000,15.6151,10.3943,,
0.1560,60,0,-160.3674,19.8147,872.5290,-161.1102,51.6322,853.9111,-0.0525,-0.0041,-0.0186,0.9984,1847.0000,1847.0000,1844.0000,15.6151,10.3912,,
0.1680,60,0,-160.3674,19.8147,872.5290,-161.1102,51.6322,853.9111,-0.0525,-0.0041,-0.0186,0.9984,1847.0000,1847.0000,1843.0000,15.6151,10.3722,,
0.1800,60,0,-164.1225,17.7994,876.6140,-164.6561,49.6211,857.9961,-0.0543,-0.0050,-0.0196,0.9983,1847.0000,1847.0000,1843.0000,15.6214,10.3084,,
0.1920,60,0,-165.8116,19.1135,875.6081,-166.1304,50.9381,856.9902,-0.0561,-0.0049,-0.0197,0.9982,1847.0000,1848.0000,1843.0000,15.6309,10.2778,,
0.2040,60,0,-164.4905,19.5548,871.8085,-164.8263,51.3793,853.1906,-0.0522,-0.0076,-0.0190,0.9984,1847.0000,1848.0000,1843.0000,15.6308,10.2168,,
0.2120,60,0,-164.4905,19.5548,871.8085,-164.8263,51.3793,853.1906,-0.0522,-0.0076,-0.0190,0.9984,1847.0000,1848.0000,1843.0000,15.5837,10.1774,,
0.2240,60,0,-166.0473,21.5367,873.6092,-166.5921,53.3582,854.9913,-0.0551,-0.0053,-0.0193,0.9983,1847.0000,1848.0000,1843.0000,15.5554,10.1613,,
0.2360,60,0,-166.0473,21.5367,873.6092,-166.5921,53.3582,854.9913,-0.0551,-0.0053,-0.0193,0.9983,1847.0000,1848.0000,1843.0000,15.4674,10.1115,,
0.2479,60,0,-166.6146,24.6363,870.8696,-166.9617,56.4606,852.2517,-0.0522,-0.0057,-0.0203,0.9984,1848.0000,1848.0000,1843.0000,15.4391,10.0923,,
0.2600,60,0,-165.2618,27.7566,869.5258,-165.8179,59.5780,850.9079,-0.0499,-0.0072,-0.0207,0.9985,1848.0000,1848.0000,1843.0000,15.3952,10.0578,,
0.2680,60,0,-165.2618,27.7566,869.5258,-165.8179,59.5780,850.9079,-0.0499,-0.0072,-0.0207,0.9985,1848.0000,1848.0000,1843.0000,15.3387,10.0163,,
0.2799,60,0,-163.1778,28.5316,867.8381,-163.7286,60.3531,849.2202,-0.0482,-0.0033,-0.0200,0.9986,1848.0000,1848.0000,1843.0000,15.3104,9.9940,,
0.2920,60,0,-159.9366,33.2018,865.2728,-160.0690,65.0277,846.6548,-0.0488,-0.0041,-0.0183,0.9986,1848.0000,1848.0000,1843.0000,15.2383,9.9340,,
0.3040,60,0,-159.9366,33.2018,865.2728,-160.0690,65.0277,846.6548,-0.0488,-0.0041,-0.0183,0.9986,1848.0000,1848.0000,1843.0000,15.2289,9.9033,,
0.3159,60,0,-157.5100,34.8577,861.3632,-158.2697,66.6749,842.7453,-0.0473,0.0016,-0.0170,0.9987,1848.0000,1848.0000,1843.0000,15.2289,9.8780,,
