{HEADER}
user_id: 555
target_id: 068
target_screen_position_mm: [119.96, -79.88]
fingertip_offset: [0.71, 31.67, 21.52]
completion_time: 5.4083
endpoint_error_mm: [-9.5620, 6.1574, -0.0443]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.588962, 13.114713, 10.996150, 7.193988]
control_points_accel: [4.166954, -5.695001, 0.024310, 1.503737]
stiffness_measurements: [0.117744, 0.160014, 0.221429, 0.099805]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,68,0,85.2387,66.2374,772.8394,88.4873,97.7518,751.3190,-0.0416,0.0216,-0.0771,0.9959,1855.0000,1872.0000,1833.0000,7.3520,-2.8454,,
0.0120,68,0,84.8737,64.5915,773.3350,87.9406,96.1241,751.8146,-0.0387,0.0203,-0.0764,0.9961,1855.0000,1872.0000,1833.0000,7.3393,-2.8588,,
0.0200,68,0,83.2755,62.5437,779.4067,90.7896,93.3210,757.8864,0.4085,0.0985,-0.1084,0.9009,1855.0000,1872.0000,1833.0000,7.1909,-2.9461,,
0.0321,68,0,83.2755,62.5437,779.4067,90.7896,93.3210,757.8864,0.4085,0.0985,-0.1084,0.9009,1856.0000,1872.0000,1833.0000,6.7295,-3.2076,,
0.0441,68,0,82.3636,61.6245,779.2401,85.7015,93.1295,757.7197,-0.0424,0.0179,-0.0776,0.9959,1856.0000,1872.0000,1833.0000,6.3619,-3.4286,,
0.0561,68,0,80.7125,59.5957,783.6305,84.0561,91.1001,762.1102,-0.0446,0.0180,-0.0791,0.9957,1856.0000,1872.0000,1833.0000,6.2766,-3.4925,,
0.0681,68,0,80.7125,59.5957,783.6305,84.0561,91.1001,762.1102,-0.0446,0.0180,-0.0791,0.9957,1857.0000,1872.0000,1833.0000,6.2701,-3.5432,,
0.0800,68,0,80.3034,59.4833,781.8338,83.2404,91.0282,760.3135,-0.0428,0.0210,-0.0809,0.9956,1857.0000,1872.0000,1833.0000,6.2701,-3.5432,,
0.0880,68,0,82.0431,58.4760,784.2271,85.3841,89.9807,762.7067,-0.0457,0.0217,-0.0815,0.9954,1857.0000,1872.0000,1833.0000,6.2701,-3.5432,,
0.1001,68,0,82.0431,58.4760,784.2271,85.3841,89.9807,762.7067,-0.0457,0.0217,-0.0815,0.9954,1857.0000,1872.0000,1833.0000,6.2701,-3.5432,,
0.1120,68,0,81.2078,57.7248,784.3232,84.3628,89.2487,762.8029,-0.0458,0.0221,-0.0806,0.9955,1857.0000,1872.0000,1833.0000,6.2701,-3.5432,,
0.1240,68,0,78.4443,57.3268,786.7691,81.5903,88.8515,765.2488,-0.0459,0.0197,-0.0837,0.9952,1857.0000,1872.0000,1833.0000,6.2701,-3.5432,,
0.1360,68,0,78.4443,57.3268,786.7691,81.5903,88.8515,765.2488,-0.0459,0.0197,-0.0837,0.9952,1857.0000,1872.0000,1833.0000,6.2701,-3.5432,,
