{HEADER}
user_id: 555
target_id: 114
target_screen_position_mm: [-56.00, -48.04]
fingertip_offset: [0.38, 31.82, 18.62]
completion_time: 4.8121
endpoint_error_mm: [2.9284, -6.5827, 2.5712]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.588962, 13.114713, 10.996150, 7.193988]
control_points_accel: [4.166954, -5.695001, 0.024310, 1.503737]
stiffness_measurements: [0.117744, 0.160014, 0.221429, 0.099805]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,114,0,-168.3426,15.3075,802.5726,-168.3649,47.1337,783.9547,-0.0232,-0.0149,-0.0252,0.9993,1845.0000,1867.0000,1835.0000,20.9422,-0.3252,,
0.0120,114,0,-168.1720,15.7519,802.5496,-168.4123,47.5772,783.9316,-0.0228,-0.0136,-0.0258,0.9993,1845.0000,1867.0000,1835.0000,20.9422,-0.3252,,
0.0240,114,0,-167.2268,16.4548,800.4389,-167.2491,48.2810,781.8210,-0.0191,-0.0140,-0.0248,0.9994,1845.0000,1867.0000,1835.0000,20.9422,-0.3252,,
0.0360,114,0,-167.2268,16.4548,800.4389,-167.2491,48.2810,781.8210,-0.0191,-0.0140,-0.0248,0.9994,1845.0000,1867.0000,1835.0000,20.9422,-0.3252,,
0.0481,114,0,-167.1064,17.0145,801.3176,-166.9451,48.8403,782.6997,-0.0225,-0.0154,-0.0246,0.9993,1845.0000,1867.0000,1835.0000,20.9390,-0.3270,,
0.0561,114,0,-167.1064,17.0145,801.3176,-166.9451,48.8403,782.6997,-0.0225,-0.0154,-0.0246,0.9993,1845.0000,1867.0000,1835.0000,20.9390,-0.3270,,
0.0680,114,0,-167.3229,18.0141,799.2405,-167.5632,49.8394,780.6226,-0.0211,-0.0150,-0.0259,0.9993,1845.0000,1867.0000,1835.0000,20.9390,-0.3270,,
0.0801,114,0,-166.6969,18.2901,799.1174,-166.5642,50.1160,780.4995,-0.0220,-0.0147,-0.0265,0.9993,1845.0000,1867.0000,1835.0000,20.9390,-0.3270,,
0.0920,114,0,-166.0309,18.7352,797.3943,-166.0717,50.5614,778.7764,-0.0195,-0.0138,-0.0271,0.9993,1845.0000,1867.0000,1835.0000,20.9390,-0.3270,,
0.1041,114,0,-166.0309,18.7352,797.3943,-166.0717,50.5614,778.7764,-0.0195,-0.0138,-0.0271,0.9993,1845.0000,1867.0000,1835.0000,20.9390,-0.3270,,
0.1120,114,0,-165.9351,19.0998,797.5054,-166.1706,50.9252,778.8875,-0.0218,-0.0151,-0.0268,0.9993,1845.0000,1867.0000,1835.0000,20.9390,-0.3270,,
0.1241,114,0,-165.9351,19.0998,797.5054,-166.1706,50.9252,778.8875,-0.0218,-0.0151,-0.0268,0.9993,1845.0000,1867.0000,1835.0000,20.9390,-0.3270,,
0.1361,114,0,-164.6933,19.7246,796.2707,-164.3344,51.5488,777.6528,-0.0185,-0.0152,-0.0268,0.9994,1845.0000,1867.0000,1835.0000,20.9390,-0.3270,,
0.1481,114,0,-163.4276,20.4943,795.4744,-163.4693,52.3205,776.8565,-0.0207,-0.0132,-0.0262,0.9994,1845.0000,1867.0000,1835.0000,20.9390,-0.3270,,
0.1600,114,0,-162.8939,21.2779,793.6448,-163.1439,53.1032,775.0269,-0.0189,-0.0135,-0.0249,0.9994,1845.0000,1867.0000,1835.0000,20.9390,-0.3270,,
0.1720,114,0,-162.8939,21.2779,793.6448,-163.1439,53.1032,775.0269,-0.0189,-0.0135,-0.0249,0.9994,1845.0000,1852.0000,1835.0000,20.9390,-0.3270,,
0.1801,114,0,-163.2763,21.3720,793.3346,-163.3176,53.1982,774.7167,-0.0188,-0.0123,-0.0252,0.9994,1845.0000,1848.0000,1835.0000,20.9390,-0.3270,,
0.1921,114,0,-163.2763,21.3720,793.3346,-163.3176,53.1982,774.7167,-0.0188,-0.0123,-0.0252,0.9994,1845.0000,1848.0000,1835.0000,20.9390,-0.3270,,
0.2041,114,0,-165.4309,22.1358,793.0680,-165.4625,53.9620,774.4501,-0.0210,-0.0129,-0.0265,0.9993,1845.0000,1844.0000,1835.0000,20.9390,-0.3270,,
0.2161,114,0,-165.5337,22.9387,789.2410,-165.5851,54.7648,770.6230,-0.0176,-0.0143,-0.0272,0.9994,1845.0000,1844.0000,1835.0000,20.9390,-0.3270,,
0.2280,114,0,-166.5972,23.2088,788.5040,-166.6389,55.0350,769.8861,-0.0176,-0.0137,-0.0283,0.9994,1845.0000,1778.0000,1835.0000,20.9362,-0.3254,,
0.2361,114,0,-166.5972,23.2088,788.5040,-166.6389,55.0350,769.8861,-0.0176,-0.0137,-0.0283,0.9994,1845.0000,1778.0000,1835.0000,20.9362,-0.3254,,
0.2480,114,0,-166.9413,23.6237,786.1068,-166.6238,55.4483,767.4888,-0.0172,-0.0126,-0.0292,0.9993,1845.0000,1743.0000,1835.0000,20.9022,-0.3062,,
0.2601,114,0,-166.9413,23.6237,786.1068,-166.6238,55.4483,767.4888,-0.0172,-0.0126,-0.0292,0.9993,1845.0000,1743.0000,1835.0000,20.8994,-0.3046,,
0.2721,114,0,-167.9850,25.2244,785.3204,-167.6767,57.0491,766.7025,-0.0183,-0.0135,-0.0310,0.9993,1845.0000,1743.0000,1835.0000,20.8909,-0.2998,,
0.2841,114,0,-167.1194,26.5098,781.8848,-166.8208,58.3347,763.2668,-0.0164,-0.0168,-0.0331,0.9992,1845.0000,1681.0000,1835.0000,20.8570,-0.2805,,
0.2961,114,0,-167.5238,27.7489,781.5383,-167.0319,59.5714,762.9204,-0.0157,-0.0120,-0.0334,0.9992,1845.0000,1680.0000,1835.0000,20.8428,-0.2725,,
0.3041,114,0,-167.5238,27.7489,781.5383,-167.0319,59.5714,762.9204,-0.0157,-0.0120,-0.0334,0.9992,1845.0000,1675.0000,1835.0000,20.7693,-0.2308,,
0.3161,114,0,-167.3302,28.7260,780.1525,-166.6415,60.5448,761.5345,-0.0133,-0.0117,-0.0350,0.9992,1845.0000,1674.0000,1835.0000,20.7353,-0.2115,,
0.3281,114,0,-167.3302,28.7260,780.1525,-166.6415,60.5448,761.5345,-0.0133,-0.0117,-0.0350,0.9992,1845.0000,1654.0000,1835.0000,20.7353,-0.2115,,
0.3401,114,0,-166.3164,31.3942,777.1757,-165.8159,63.2165,758.5578,-0.0112,-0.0126,-0.0361,0.9992,1845.0000,1654.0000,1835.0000,20.7353,-0.2115,,
0.3520,114,0,-165.6927,34.4579,774.0789,-164.8515,66.2730,755.4610,-0.0109,-0.0137,-0.0388,0.9991,1845.0000,1610.0000,1835.0000,20.7353,-0.2115,,
0.3641,114,0,-165.4732,35.9670,772.2974,-164.2785,67.7708,753.6795,-0.0108,-0.0115,-0.0397,0.9991,1845.0000,1537.0000,1835.0000,20.7098,-0.1971,,
0.3720,114,0,-165.4732,35.9670,772.2974,-164.2785,67.7708,753.6795,-0.0108,-0.0115,-0.0397,0.9991,1845.0000,1537.0000,1835.0000,20.4830,-0.0685,,
0.3841,114,0,-166.0326,38.0796,770.9508,-164.9887,69.8887,752.3329,-0.0108,-0.0100,-0.0412,0.9990,1845.0000,1536.0000,1835.0000,20.2415,0.0683,,
0.3961,114,0,-166.0326,38.0796,770.9508,-164.9887,69.8887,752.3329,-0.0108,-0.0100,-0.0412,0.9990,1845.0000,1514.0000,1835.0000,19.7085,0.3803,,
0.4081,114,0,-166.2293,41.1766,767.8248,-165.3881,72.9917,749.2068,-0.0070,-0.0069,-0.0434,0.9990,1845.0000,1464.0000,1835.0000,19.1100,0.7261,,
0.4200,114,0,-161.8752,43.1124,765.2365,-160.4560,74.9070,746.6185,-0.0061,-0.0056,-0.0468,0.9989,1845.0000,1463.0000,1835.0000,19.0440,0.7635,,
0.4280,114,0,-161.8752,43.1124,765.2365,-160.4560,74.9070,746.6185,-0.0061,-0.0056,-0.0468,0.9989,1845.0000,1424.0000,1835.0000,18.8802,0.8564,,
0.4401,114,0,-157.6753,42.2827,763.6635,-156.4449,74.0851,745.0456,-0.0077,-0.0038,-0.0483,0.9988,1845.0000,1424.0000,1835.0000,18.7909,0.9069,,
0.4520,114,0,-151.9198,44.8744,761.4374,-150.5363,76.6706,742.8195,-0.0070,0.0032,-0.0471,0.9989,1845.0000,1403.0000,1835.0000,18.7794,0.9135,,
