{HEADER}
user_id: 555
target_id: 122
target_screen_position_mm: [71.92, -48.04]
fingertip_offset: [2.19, 32.33, 20.84]
completion_time: 6.4802
endpoint_error_mm: [-8.2565, -0.3148, -3.4911]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.127178, 10.825234, 8.078083, 10.389848]
control_points_accel: [6.061364, -6.355895, 6.121058, -5.826528]
stiffness_measurements: [0.282665, 0.180867, 0.149370, 0.122569]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,122,0,-138.6499,-33.0079,557.8579,-138.8525,-0.6089,537.0186,-0.0779,-0.2206,-0.0113,0.9722,1857.0000,1813.0000,1738.0000,-1.9431,12.0814,,
0.0119,122,0,-142.1845,-36.9208,560.9089,-142.5554,-4.5233,540.0696,-0.0806,-0.2254,-0.0103,0.9709,1857.0000,1813.0000,1738.0000,-1.9955,12.1111,,
0.0239,122,0,-142.1845,-36.9208,560.9089,-142.5554,-4.5233,540.0696,-0.0806,-0.2254,-0.0103,0.9709,1857.0000,1813.0000,1738.0000,-1.9988,12.1129,,
0.0319,122,0,-143.6803,-38.8242,561.4738,-144.1984,-6.4287,540.6344,-0.0823,-0.2255,-0.0099,0.9707,1857.0000,1813.0000,1738.0000,-1.9988,12.1129,,
0.0440,122,0,-145.2379,-43.4340,562.3629,-145.4297,-11.0349,541.5236,-0.0869,-0.2267,-0.0093,0.9700,1857.0000,1813.0000,1738.0000,-2.0414,12.1371,,
0.0560,122,0,-145.2379,-43.4340,562.3629,-145.4297,-11.0349,541.5236,-0.0869,-0.2267,-0.0093,0.9700,1857.0000,1813.0000,1738.0000,-2.1103,12.1761,,
0.0680,122,0,-145.3737,-45.8849,563.4958,-145.7578,-13.4874,542.6564,-0.0891,-0.2296,-0.0081,0.9692,1857.0000,1812.0000,1738.0000,-2.3105,12.2939,,
0.0800,122,0,-145.5873,-49.6165,564.4982,-146.0337,-17.2199,543.6589,-0.0916,-0.2282,-0.0065,0.9693,1857.0000,1812.0000,1738.0000,-2.4873,12.3910,,
0.0920,122,0,-145.5873,-49.6165,564.4982,-146.0337,-17.2199,543.6589,-0.0916,-0.2282,-0.0065,0.9693,1857.0000,1812.0000,1738.0000,-2.5300,12.4153,,
0.0999,122,0,-144.9889,-52.1129,566.0973,-145.2125,-19.7140,545.2579,-0.0921,-0.2292,-0.0063,0.9690,1857.0000,1812.0000,1738.0000,-2.5498,12.4265,,
0.1120,122,0,-143.3685,-56.6171,565.0798,-143.4962,-24.2177,544.2404,-0.0962,-0.2270,-0.0056,0.9691,1857.0000,1812.0000,1738.0000,-2.5498,12.4265,,
0.1240,122,0,-143.3685,-56.6171,565.0798,-143.4962,-24.2177,544.2404,-0.0962,-0.2270,-0.0056,0.9691,1857.0000,1812.0000,1738.0000,-2.5498,12.4265,,
0.1359,122,0,-142.4585,-58.2284,565.7313,-142.8073,-25.8306,544.8920,-0.0966,-0.2272,-0.0047,0.9690,1857.0000,1812.0000,1738.0000,-2.5498,12.4265,,
0.1480,122,0,-141.5367,-61.1289,564.1779,-141.9959,-28.7325,543.3385,-0.0988,-0.2260,-0.0044,0.9691,1857.0000,1812.0000,1738.0000,-2.5498,12.4265,,
0.1560,122,0,-141.5367,-61.1289,564.1779,-141.9959,-28.7325,543.3385,-0.0988,-0.2260,-0.0044,0.9691,1857.0000,1812.0000,1738.0000,-2.5498,12.4265,,
0.1679,122,0,-140.6036,-62.3323,564.4487,-141.2346,-29.9388,543.6093,-0.0991,-0.2269,-0.0044,0.9689,1857.0000,1812.0000,1738.0000,-2.5498,12.4265,,
0.1800,122,0,-139.3856,-63.3124,561.4884,-139.3133,-30.9128,540.6490,-0.0999,-0.2246,-0.0062,0.9693,1857.0000,1812.0000,1738.0000,-2.5498,12.4265,,
0.1920,122,0,-139.3856,-63.3124,561.4884,-139.3133,-30.9128,540.6490,-0.0999,-0.2246,-0.0062,0.9693,1857.0000,1812.0000,1738.0000,-2.5498,12.4265,,
0.2040,122,0,-138.4385,-63.5346,561.4598,-138.5008,-31.1350,540.6205,-0.1019,-0.2249,-0.0065,0.9690,1857.0000,1812.0000,1738.0000,-2.5498,12.4265,,
0.2160,122,0,-136.5881,-63.0154,558.1826,-136.6957,-30.6159,537.3432,-0.1016,-0.2228,-0.0064,0.9695,1857.0000,1812.0000,1738.0000,-2.5498,12.4265,,
0.2240,122,0,-136.5881,-63.0154,558.1826,-136.6957,-30.6159,537.3432,-0.1016,-0.2228,-0.0064,0.9695,1857.0000,1812.0000,1738.0000,-2.5498,12.4265,,
0.2360,122,0,-135.4523,-62.5464,557.0344,-135.5048,-30.1468,536.1950,-0.1005,-0.2221,-0.0066,0.9698,1857.0000,1812.0000,1738.0000,-2.5498,12.4265,,
0.2480,122,0,-132.7133,-61.4462,554.5781,-132.9344,-29.0472,533.7388,-0.0987,-0.2209,-0.0072,0.9703,1857.0000,1812.0000,1738.0000,-2.5498,12.4307,,
0.2600,122,0,-132.7133,-61.4462,554.5781,-132.9344,-29.0472,533.7388,-0.0987,-0.2209,-0.0072,0.9703,1857.0000,1812.0000,1738.0000,-2.5498,12.4307,,
0.2720,122,0,-131.6010,-60.7188,552.8967,-133.2627,-28.3618,532.0573,-0.2274,-0.6118,-0.0788,0.7535,1857.0000,1812.0000,1738.0000,-2.5498,12.4307,,
0.2840,122,0,-128.8166,-59.1416,548.2288,-129.1287,-26.7434,527.3895,-0.0963,-0.2179,-0.0077,0.9712,1857.0000,1812.0000,1738.0000,-2.5498,12.4307,,
0.2919,122,0,-128.8166,-59.1416,548.2288,-129.1287,-26.7434,527.3895,-0.0963,-0.2179,-0.0077,0.9712,1857.0000,1812.0000,1738.0000,-2.5498,12.4307,,
0.3040,122,0,-127.5480,-57.7848,546.5138,-127.6101,-25.3852,525.6744,-0.0955,-0.2162,-0.0083,0.9716,1857.0000,1812.0000,1738.0000,-2.5498,12.4307,,
0.3161,122,0,-123.4704,-55.6683,543.2136,-123.7017,-23.2695,522.3742,-0.0923,-0.2138,-0.0076,0.9725,1857.0000,1812.0000,1738.0000,-2.5498,12.4307,,
0.3281,122,0,-123.4704,-55.6683,543.2136,-123.7017,-23.2695,522.3742,-0.0923,-0.2138,-0.0076,0.9725,1857.0000,1812.0000,1738.0000,-2.5498,12.4307,,
0.3401,122,0,-122.0070,-54.5098,540.2875,-122.3194,-22.1117,519.4481,-0.0924,-0.2108,-0.0079,0.9731,1857.0000,1812.0000,1738.0000,-2.5498,12.4307,,
0.3481,122,0,-117.8421,-52.8353,537.0753,-117.7560,-20.4357,516.2360,-0.0907,-0.2093,-0.0094,0.9736,1857.0000,1812.0000,1738.0000,-2.5498,12.4350,,
0.3600,122,0,-117.8421,-52.8353,537.0753,-117.7560,-20.4357,516.2360,-0.0907,-0.2093,-0.0094,0.9736,1857.0000,1812.0000,1738.0000,-2.5498,12.4478,,
0.3720,122,0,-115.6090,-52.4136,536.0734,-115.8811,-20.0151,515.2341,-0.0896,-0.2065,-0.0096,0.9743,1857.0000,1812.0000,1738.0000,-2.5498,12.4478,,
0.3840,122,0,-111.2017,-50.9115,531.1873,-111.5273,-18.5135,510.3479,-0.0897,-0.2040,-0.0106,0.9748,1857.0000,1812.0000,1738.0000,-2.5498,12.4478,,
0.3961,122,0,-111.2017,-50.9115,531.1873,-111.5273,-18.5135,510.3479,-0.0897,-0.2040,-0.0106,0.9748,1857.0000,1812.0000,1738.0000,-2.5498,12.4478,,
0.4081,122,0,-109.4119,-50.3507,527.6435,-109.4523,-17.9510,506.8042,-0.0890,-0.2010,-0.0116,0.9755,1857.0000,1812.0000,1738.0000,-2.5498,12.4478,,
0.4161,122,0,-104.0687,-48.9946,523.8106,-103.8808,-16.5955,502.9713,-0.0877,-0.1986,-0.0135,0.9760,1857.0000,1812.0000,1738.0000,-2.5498,12.4521,,
0.4281,122,0,-104.0687,-48.9946,523.8106,-103.8808,-16.5955,502.9713,-0.0877,-0.1986,-0.0135,0.9760,1857.0000,1812.0000,1738.0000,-2.5498,12.4521,,
0.4401,122,0,-101.1161,-47.8910,520.8663,-100.7722,-15.4932,500.0270,-0.0863,-0.1953,-0.0141,0.9768,1857.0000,1812.0000,1738.0000,-2.5629,12.4638,,
0.4520,122,0,-95.4566,-46.6839,516.4189,-95.1853,-14.2854,495.5796,-0.0852,-0.1911,-0.0137,0.9778,1857.0000,1812.0000,1738.0000,-2.5826,12.4750,,
0.4641,122,0,-92.6296,-46.2965,514.3175,-92.5977,-13.8968,493.4782,-0.0839,-0.1897,-0.0132,0.9782,1857.0000,1812.0000,1738.0000,-2.6254,12.4992,,
0.4760,122,0,-92.6296,-46.2965,514.3175,-92.5977,-13.8968,493.4782,-0.0839,-0.1897,-0.0132,0.9782,1857.0000,1812.0000,1738.0000,-2.6287,12.5054,,
0.4841,122,0,-89.5134,-45.4787,512.0006,-89.3986,-13.0793,491.1613,-0.0830,-0.1886,-0.0137,0.9784,1857.0000,1812.0000,1738.0000,-2.6353,12.5091,,
0.4961,122,0,-84.0771,-44.2518,506.8362,-83.8979,-11.8526,485.9968,-0.0839,-0.1831,-0.0158,0.9794,1857.0000,1812.0000,1738.0000,-2.6517,12.5227,,
0.5080,122,0,-84.0771,-44.2518,506.8362,-83.8979,-11.8526,485.9968,-0.0839,-0.1831,-0.0158,0.9794,1857.0000,1812.0000,1738.0000,-2.6583,12.5264,,
0.5201,122,0,-81.1559,-43.9044,503.9102,-80.8460,-11.5062,483.0708,-0.0815,-0.1813,-0.0163,0.9799,1857.0000,1812.0000,1738.0000,-2.6583,12.5264,,
0.5321,122,0,-75.3191,-41.7809,498.9625,-74.8666,-9.3844,478.1231,-0.0809,-0.1763,-0.0186,0.9808,1857.0000,1812.0000,1738.0000,-2.6583,12.5264,,
0.5400,122,0,-75.3191,-41.7809,498.9625,-74.8666,-9.3844,478.1231,-0.0809,-0.1763,-0.0186,0.9808,1857.0000,1812.0000,1738.0000,-2.6583,12.5264,,
0.5521,122,0,-71.7861,-40.9772,497.8082,-71.2618,-8.5818,476.9689,-0.0796,-0.1737,-0.0194,0.9814,1857.0000,1812.0000,1738.0000,-2.6583,12.5264,,
0.5641,122,0,-65.6402,-38.5697,492.2928,-73.2399,-7.0739,471.4534,-0.1022,0.0845,-0.0570,0.9895,1857.0000,1812.0000,1738.0000,-2.6583,12.5264,,
0.5761,122,0,-65.6402,-38.5697,492.2928,-73.2399,-7.0739,471.4534,-0.1022,0.0845,-0.0570,0.9895,1857.0000,1812.0000,1738.0000,-2.6583,12.5307,,
0.5881,122,0,-62.8243,-37.6322,489.5487,-62.1757,-5.2390,468.7094,-0.0768,-0.1668,-0.0203,0.9828,1857.0000,1812.0000,1738.0000,-2.6583,12.5477,,
0.6001,122,0,-56.9168,-35.6922,484.6837,-56.4245,-3.2963,463.8444,-0.0761,-0.1623,-0.0211,0.9836,1857.0000,1812.0000,1738.0000,-2.6583,12.5776,,
0.6081,122,0,-56.9168,-35.6922,484.6837,-56.4245,-3.2963,463.8444,-0.0761,-0.1623,-0.0211,0.9836,1857.0000,1812.0000,1738.0000,-2.6583,12.5819,,
