{HEADER}
user_id: 555
target_id: 129
target_screen_position_mm: [183.92, -48.04]
fingertip_offset: [0.38, 31.82, 18.62]
completion_time: 6.3362
endpoint_error_mm: [-8.7994, 9.6531, 1.2282]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.588962, 13.114713, 10.996150, 7.193988]
control_points_accel: [4.166954, -5.695001, 0.024310, 1.503737]
stiffness_measurements: [0.117744, 0.160014, 0.221429, 0.099805]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,129,0,118.7124,88.6434,737.5134,118.0257,120.4622,718.8955,0.0129,0.0064,-0.0134,0.9998,1857.0000,1863.0000,1832.0000,9.3786,-5.5821,,
0.0121,129,0,118.6747,88.9427,735.0231,118.1686,120.7649,716.4052,0.0146,0.0091,-0.0145,0.9997,1848.0000,1863.0000,1832.0000,9.3786,-5.5821,,
0.0241,129,0,118.6747,88.9427,735.0231,118.1686,120.7649,716.4052,0.0146,0.0091,-0.0145,0.9997,1848.0000,1863.0000,1832.0000,9.3728,-5.5788,,
0.0361,129,0,119.4465,88.9679,733.5237,118.7518,120.7865,714.9058,0.0128,0.0106,-0.0142,0.9998,1848.0000,1863.0000,1832.0000,9.3699,-5.5738,,
0.0481,129,0,120.5560,88.4621,733.0333,120.3989,120.2879,714.4153,0.0130,0.0103,-0.0150,0.9998,1832.0000,1863.0000,1832.0000,9.3757,-5.5738,,
0.0561,129,0,120.5560,88.4621,733.0333,120.3989,120.2879,714.4153,0.0130,0.0103,-0.0150,0.9998,1827.0000,1863.0000,1832.0000,9.3670,-5.5688,,
0.0681,129,0,121.4256,87.8156,730.4858,120.9196,119.6378,711.8679,0.0112,0.0105,-0.0146,0.9998,1800.0000,1863.0000,1832.0000,9.3700,-5.5671,,
0.0800,129,0,121.9895,86.9002,727.6565,121.3028,118.7191,709.0386,0.0124,0.0117,-0.0140,0.9998,1770.0000,1863.0000,1832.0000,9.3729,-5.5688,,
0.0920,129,0,121.9895,86.9002,727.6565,121.3028,118.7191,709.0386,0.0124,0.0117,-0.0140,0.9998,1770.0000,1863.0000,1832.0000,9.3790,-5.5587,,
0.1041,129,0,122.7096,86.8637,731.5484,122.1995,118.6858,712.9305,0.0093,0.0111,-0.0137,0.9998,1770.0000,1863.0000,1832.0000,9.3908,-5.5586,,
0.1121,129,0,123.6251,86.7138,730.3179,123.2834,118.5382,711.7000,0.0091,0.0110,-0.0137,0.9998,1770.0000,1863.0000,1832.0000,9.3850,-5.5553,,
0.1241,129,0,123.6251,86.7138,730.3179,123.2834,118.5382,711.7000,0.0091,0.0110,-0.0137,0.9998,1770.0000,1863.0000,1832.0000,9.3908,-5.5586,,
0.1360,129,0,123.6486,86.2989,729.1427,123.2987,118.1232,710.5248,0.0114,0.0121,-0.0137,0.9998,1770.0000,1863.0000,1832.0000,9.3850,-5.5553,,
0.1480,129,0,124.1255,87.2507,728.3876,123.7843,119.0751,709.7697,0.0136,0.0104,-0.0153,0.9997,1770.0000,1863.0000,1832.0000,9.3909,-5.5552,,
0.1601,129,0,124.1255,87.2507,728.3876,123.7843,119.0751,709.7697,0.0136,0.0104,-0.0153,0.9997,1769.0000,1863.0000,1832.0000,9.3909,-5.5552,,
0.1721,129,0,123.4675,87.6921,725.2107,123.3024,119.5179,706.5928,0.0133,0.0117,-0.0164,0.9997,1769.0000,1863.0000,1832.0000,9.3909,-5.5519,,
0.1800,129,0,123.7305,88.6032,722.3571,123.2040,120.4250,703.7392,0.0127,0.0137,-0.0176,0.9997,1743.0000,1863.0000,1832.0000,9.3938,-5.5535,,
0.1921,129,0,123.7305,88.6032,722.3571,123.2040,120.4250,703.7392,0.0127,0.0137,-0.0176,0.9997,1713.0000,1863.0000,1832.0000,9.4029,-5.5451,,
0.2041,129,0,123.7903,89.5248,722.4860,123.4411,121.3491,703.8680,0.0122,0.0153,-0.0182,0.9996,1712.0000,1863.0000,1832.0000,9.4207,-5.5383,,
0.2161,129,0,123.5706,91.0809,719.7442,123.2172,122.9052,701.1263,0.0119,0.0160,-0.0199,0.9996,1684.0000,1863.0000,1832.0000,9.4237,-5.5366,,
0.2280,129,0,123.8303,91.9445,719.9977,123.4684,123.7687,701.3798,0.0132,0.0135,-0.0210,0.9996,1684.0000,1863.0000,1832.0000,9.4237,-5.5366,,
0.2400,129,0,123.8303,91.9445,719.9977,123.4684,123.7687,701.3798,0.0132,0.0135,-0.0210,0.9996,1683.0000,1863.0000,1832.0000,9.4537,-5.5196,,
0.2480,129,0,123.7763,92.3016,718.0832,123.4345,124.1260,699.4653,0.0139,0.0144,-0.0223,0.9996,1683.0000,1863.0000,1832.0000,9.4597,-5.5162,,
0.2600,129,0,123.7763,92.3016,718.0832,123.4345,124.1260,699.4653,0.0139,0.0144,-0.0223,0.9996,1664.0000,1863.0000,1832.0000,9.4777,-5.5060,,
0.2720,129,0,124.0060,94.1532,716.4857,124.0056,125.9794,697.8677,0.0118,0.0138,-0.0230,0.9996,1664.0000,1863.0000,1832.0000,9.5436,-5.4653,,
0.2841,129,0,124.1383,94.8072,709.9970,124.1303,126.6334,691.3791,0.0118,0.0178,-0.0231,0.9995,1646.0000,1863.0000,1832.0000,9.7715,-5.3394,,
0.2961,129,0,124.4300,95.8746,711.5012,124.5855,127.7005,692.8832,0.0119,0.0159,-0.0245,0.9995,1574.0000,1863.0000,1832.0000,9.9939,-5.2000,,
0.3040,129,0,124.4300,95.8746,711.5012,124.5855,127.7005,692.8832,0.0119,0.0159,-0.0245,0.9995,1573.0000,1863.0000,1832.0000,10.1173,-5.1200,,
0.3161,129,0,124.6406,96.5703,710.2607,117.1822,127.5102,691.6428,-0.4909,0.2288,0.1778,0.8216,1571.0000,1863.0000,1832.0000,10.4999,-4.8897,,
0.3281,129,0,123.2982,96.2385,703.2368,123.4735,128.0643,684.6188,0.0139,0.0151,-0.0276,0.9994,1571.0000,1863.0000,1832.0000,10.9049,-4.6567,,
0.3400,129,0,123.2982,96.2385,703.2368,123.4735,128.0643,684.6188,0.0139,0.0151,-0.0276,0.9994,1494.0000,1863.0000,1832.0000,11.1656,-4.4956,,
0.3521,129,0,121.8035,96.4746,704.0145,122.1207,128.2993,685.3966,0.0144,0.0181,-0.0277,0.9993,1493.0000,1863.0000,1832.0000,11.1867,-4.4836,,
0.3642,129,0,118.1647,95.9044,699.4171,123.3745,127.3013,680.7992,0.2781,0.2210,0.0215,0.9346,1492.0000,1863.0000,1832.0000,11.2892,-4.4419,,
0.3722,129,0,118.1647,95.9044,699.4171,123.3745,127.3013,680.7992,0.2781,0.2210,0.0215,0.9346,1449.0000,1863.0000,1832.0000,11.5723,-4.3440,,
0.3841,129,0,116.8568,96.6404,701.0630,117.0023,128.4663,682.4451,0.0111,0.0148,-0.0321,0.9993,1449.0000,1863.0000,1832.0000,11.6768,-4.3275,,
0.3962,129,0,115.7932,98.2492,695.3234,116.2757,130.0718,676.7055,0.0125,0.0167,-0.0350,0.9992,1450.0000,1863.0000,1832.0000,12.0362,-4.2552,,
0.4082,129,0,115.7932,98.2492,695.3234,116.2757,130.0718,676.7055,0.0125,0.0167,-0.0350,0.9992,1405.0000,1863.0000,1832.0000,12.1863,-4.2227,,
0.4201,129,0,115.9263,97.9134,693.9083,116.5725,129.7331,675.2903,0.0109,0.0163,-0.0339,0.9992,1389.0000,1863.0000,1832.0000,12.5125,-4.1657,,
0.4322,129,0,115.0627,99.0993,690.0465,115.7010,130.9191,671.4286,0.0125,0.0157,-0.0344,0.9992,1389.0000,1863.0000,1832.0000,12.7478,-4.0122,,
0.4400,129,0,115.0627,99.0993,690.0465,115.7010,130.9191,671.4286,0.0125,0.0157,-0.0344,0.9992,1346.0000,1863.0000,1832.0000,12.8551,-3.9214,,
0.4521,129,0,114.8190,98.3678,686.8720,115.4174,130.1884,668.2541,0.0117,0.0181,-0.0349,0.9992,1346.0000,1863.0000,1832.0000,13.0516,-3.7533,,
0.4642,129,0,114.2914,99.2841,684.5401,114.9073,131.1044,665.9222,0.0129,0.0145,-0.0363,0.9992,1311.0000,1863.0000,1832.0000,13.3188,-3.5752,,
0.4761,129,0,114.2914,99.2841,684.5401,114.9073,131.1044,665.9222,0.0129,0.0145,-0.0363,0.9992,1284.0000,1863.0000,1832.0000,13.5466,-3.4361,,
0.4881,129,0,113.0596,97.1815,683.2573,113.6695,129.0019,664.6393,0.0103,0.0171,-0.0363,0.9991,1284.0000,1863.0000,1832.0000,13.7931,-3.2731,,
0.4962,129,0,110.9359,94.7268,679.5062,111.6857,126.5442,660.8882,0.0099,0.0137,-0.0374,0.9992,1270.0000,1863.0000,1832.0000,13.9567,-3.1470,,
