{HEADER}
user_id: 555
target_id: 142
target_screen_position_mm: [-88.11, -32.12]
fingertip_offset: [0.38, 31.82, 18.62]
completion_time: 5.5880
endpoint_error_mm: [6.6581, -6.6710, -0.7980]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.588962, 13.114713, 10.996150, 7.193988]
control_points_accel: [4.166954, -5.695001, 0.024310, 1.503737]
stiffness_measurements: [0.117744, 0.160014, 0.221429, 0.099805]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,142,0,-180.3170,76.3581,1070.3732,-177.6231,108.0701,1051.7552,-0.5285,0.4813,0.0433,0.6980,1852.0000,1846.0000,1841.0000,10.9801,7.4215,,
0.0120,142,0,-177.1132,76.5488,1063.0166,-176.1024,108.3589,1044.3987,-0.0079,0.0317,-0.0376,0.9988,1852.0000,1647.0000,1841.0000,10.9769,7.4233,,
0.0238,142,0,-177.1132,76.5488,1063.0166,-176.1024,108.3589,1044.3987,-0.0079,0.0317,-0.0376,0.9988,1852.0000,1651.0000,1841.0000,10.9737,7.4283,,
0.0358,142,0,-176.4705,76.8037,1066.7290,-183.2230,107.9054,1048.1111,0.0000,0.0000,0.0000,1.0000,1852.0000,1654.0000,1841.0000,10.5483,7.6726,,
0.0440,142,0,-172.1335,76.3688,1064.2249,-169.0010,108.0405,1045.6069,-0.4953,0.5164,-0.0055,0.6985,1852.0000,1654.0000,1841.0000,10.2811,7.8305,,
0.0559,142,0,-172.1335,76.3688,1064.2249,-169.0010,108.0405,1045.6069,-0.4953,0.5164,-0.0055,0.6985,1852.0000,1658.0000,1841.0000,9.8856,8.0867,,
0.0680,142,0,-171.2297,76.0860,1068.4988,-170.7129,107.9081,1049.8809,-0.0147,0.0366,-0.0349,0.9986,1852.0000,1660.0000,1841.0000,9.6940,8.1950,,
0.0799,142,0,-162.5570,71.7402,1064.6388,-161.5280,103.5498,1046.0209,-0.0080,0.0384,-0.0359,0.9986,1852.0000,1663.0000,1841.0000,9.6824,8.1702,,
0.0919,142,0,-157.1480,66.1751,1063.0568,-156.4016,97.9926,1044.4388,-0.0096,0.0396,-0.0358,0.9985,1852.0000,1666.0000,1841.0000,9.6514,8.1599,,
0.1039,142,0,-157.1480,66.1751,1063.0568,-156.4016,97.9926,1044.4388,-0.0096,0.0396,-0.0358,0.9985,1852.0000,1670.0000,1841.0000,9.6453,8.1565,,
0.1119,142,0,-155.6178,64.6492,1069.4219,-155.1320,96.4717,1050.8040,-0.0113,0.0431,-0.0333,0.9984,1852.0000,1673.0000,1841.0000,9.6453,8.1565,,
0.1240,142,0,-155.6178,64.6492,1069.4219,-155.1320,96.4717,1050.8040,-0.0113,0.0431,-0.0333,0.9984,1852.0000,1675.0000,1841.0000,9.6485,8.1546,,
0.1359,142,0,-151.7633,65.9326,1063.7466,-150.9529,97.7485,1045.1287,0.0778,-0.2238,0.3753,0.8961,1852.0000,1678.0000,1841.0000,9.6485,8.1546,,
0.1479,142,0,-150.8474,64.8132,1062.7166,-150.3637,96.6358,1044.0986,-0.0082,0.0420,-0.0313,0.9986,1852.0000,1677.0000,1841.0000,9.6453,8.1565,,
0.1599,142,0,-151.0527,64.9107,1063.3560,-150.8404,96.7362,1044.7380,-0.0049,0.0455,-0.0310,0.9985,1852.0000,1679.0000,1841.0000,9.6453,8.1565,,
