{HEADER}
user_id: 555
target_id: 184
target_screen_position_mm: [104.04, -15.92]
fingertip_offset: [0.38, 31.82, 18.62]
completion_time: 4.6961
endpoint_error_mm: [1.4689, -2.3777, -1.6954]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.588962, 13.114713, 10.996150, 7.193988]
control_points_accel: [4.166954, -5.695001, 0.024310, 1.503737]
stiffness_measurements: [0.117744, 0.160014, 0.221429, 0.099805]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,184,0,29.0907,98.9756,720.3878,31.0676,130.7403,701.7699,0.0021,0.0041,-0.0603,0.9982,1855.0000,1876.0000,1832.0000,19.1509,-10.2311,,
0.0119,184,0,28.8147,98.5347,721.3572,30.7916,130.2995,702.7393,0.0008,0.0010,-0.0602,0.9982,1849.0000,1861.0000,1832.0000,19.1509,-10.2311,,
0.0239,184,0,28.8147,98.5347,721.3572,30.7916,130.2995,702.7393,0.0008,0.0010,-0.0602,0.9982,1846.0000,1863.0000,1832.0000,19.1509,-10.2311,,
0.0360,184,0,29.2699,97.3360,721.6906,31.3849,129.0919,703.0727,0.0001,0.0035,-0.0592,0.9982,1843.0000,1864.0000,1832.0000,19.1509,-10.2311,,
0.0439,184,0,28.8585,97.0585,720.9910,30.9866,128.8135,702.3731,0.0010,0.0040,-0.0595,0.9982,1842.0000,1865.0000,1832.0000,19.1539,-10.2294,,
0.0559,184,0,28.8585,97.0585,720.9910,30.9866,128.8135,702.3731,0.0010,0.0040,-0.0595,0.9982,1840.0000,1866.0000,1832.0000,19.1539,-10.2294,,
0.0680,184,0,28.7195,96.5422,722.3902,31.0328,128.2842,703.7723,0.0047,0.0046,-0.0588,0.9983,1839.0000,1866.0000,1832.0000,19.1539,-10.2294,,
0.0799,184,0,27.9914,96.2173,721.2272,29.9287,127.9845,702.6093,0.0020,0.0035,-0.0593,0.9982,1838.0000,1867.0000,1832.0000,19.1539,-10.2294,,
0.0919,184,0,27.3547,96.5152,722.2678,29.6435,128.2591,703.6499,0.0038,0.0041,-0.0598,0.9982,1837.0000,1867.0000,1832.0000,19.1539,-10.2294,,
0.0999,184,0,27.3547,96.5152,722.2678,29.6435,128.2591,703.6499,0.0038,0.0041,-0.0598,0.9982,1837.0000,1867.0000,1832.0000,19.1539,-10.2294,,
0.1120,184,0,27.1551,96.7247,721.1459,29.1122,128.4907,702.5280,0.0024,0.0028,-0.0605,0.9982,1836.0000,1867.0000,1832.0000,19.1539,-10.2294,,
0.1240,184,0,25.6892,96.9839,721.7446,27.6463,128.7499,703.1267,0.0020,0.0043,-0.0602,0.9982,1836.0000,1867.0000,1832.0000,19.1539,-10.2294,,
0.1360,184,0,25.6892,96.9839,721.7446,27.6463,128.7499,703.1267,0.0020,0.0043,-0.0602,0.9982,1836.0000,1868.0000,1832.0000,19.1539,-10.2294,,
0.1480,184,0,25.0925,97.4830,720.8654,27.5786,129.2119,702.2475,0.0014,0.0024,-0.0608,0.9981,1835.0000,1868.0000,1832.0000,19.1539,-10.2294,,
0.1600,184,0,23.8869,98.2172,721.4926,26.3247,129.9499,702.8746,0.0042,0.0012,-0.0616,0.9981,1835.0000,1868.0000,1832.0000,19.1539,-10.2294,,
0.1679,184,0,23.8869,98.2172,721.4926,26.3247,129.9499,702.8746,0.0042,0.0012,-0.0616,0.9981,1835.0000,1868.0000,1832.0000,19.1539,-10.2294,,
0.1800,184,0,22.9744,98.5141,720.8848,25.1025,130.2691,702.2669,0.0040,0.0029,-0.0618,0.9981,1835.0000,1867.0000,1832.0000,19.1569,-10.2277,,
0.1919,184,0,22.7524,99.3446,720.2349,25.1912,131.0773,701.6169,0.0031,0.0007,-0.0619,0.9981,1835.0000,1867.0000,1832.0000,19.1569,-10.2277,,
0.2039,184,0,22.7524,99.3446,720.2349,25.1912,131.0773,701.6169,0.0031,0.0007,-0.0619,0.9981,1834.0000,1867.0000,1832.0000,19.1569,-10.2277,,
0.2159,184,0,22.6609,99.7951,720.9100,24.5982,131.5623,702.2921,0.0045,0.0004,-0.0623,0.9980,1834.0000,1867.0000,1832.0000,19.1569,-10.2277,,
0.2279,184,0,22.4745,100.5346,720.0193,25.1726,132.2462,701.4014,0.0000,0.0000,0.0000,1.0000,1834.0000,1867.0000,1832.0000,19.1569,-10.2277,,
0.2358,184,0,22.4745,100.5346,720.0193,25.1726,132.2462,701.4014,0.0000,0.0000,0.0000,1.0000,1833.0000,1866.0000,1832.0000,19.1569,-10.2277,,
0.2479,184,0,22.3650,101.2062,719.8156,24.4762,132.9623,701.1976,0.0051,-0.0006,-0.0635,0.9980,1832.0000,1866.0000,1832.0000,19.1569,-10.2277,,
0.2599,184,0,22.2404,102.1978,719.1764,24.7502,133.9249,700.5585,0.0036,0.0021,-0.0636,0.9980,1827.0000,1864.0000,1832.0000,19.1569,-10.2277,,
0.2719,184,0,22.4990,102.1466,718.6077,24.7878,133.8904,699.9897,0.0056,0.0032,-0.0635,0.9980,1823.0000,1862.0000,1832.0000,19.1569,-10.2277,,
