{HEADER}
user_id: 555
target_id: 200
target_screen_position_mm: [-119.96, 0.00]
fingertip_offset: [-0.45, 31.52, 19.74]
completion_time: 4.2678
endpoint_error_mm: [-20.8499, 18.0236, 8.6926]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.910235, 11.334611, 8.883801, 6.058065]
control_points_accel: [-0.504066, -2.719759, -0.471926, 3.695751]
stiffness_measurements: [0.214700, 0.088950, 0.087119, 0.274221]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,200,0,-79.2372,64.4919,644.8856,-81.9644,95.8919,625.1453,-0.0031,0.0047,0.0156,0.9999,1849.0000,1881.0000,1864.0000,4.7623,9.9431,,
0.0090,200,0,-79.2285,64.3758,644.5898,-82.1032,95.7627,624.8495,-0.0019,0.0051,0.0150,0.9999,1849.0000,1881.0000,1864.0000,4.7623,9.9431,,
0.0210,200,0,-79.0920,64.1718,643.4985,-81.6564,95.5856,623.7582,-0.0004,0.0047,0.0139,0.9999,1849.0000,1881.0000,1864.0000,4.7623,9.9431,,
0.0321,200,0,-79.0920,64.1718,643.4985,-81.6564,95.5856,623.7582,-0.0004,0.0047,0.0139,0.9999,1849.0000,1881.0000,1864.0000,4.7623,9.9431,,
0.0441,200,0,-78.9720,64.1515,643.0952,-81.5393,95.5650,623.3549,-0.0019,0.0048,0.0140,0.9999,1849.0000,1881.0000,1864.0000,4.7623,9.9431,,
0.0559,200,0,-78.4906,64.3850,642.5144,-81.0551,95.7988,622.7741,0.0003,0.0058,0.0140,0.9999,1849.0000,1880.0000,1864.0000,4.7623,9.9431,,
0.0643,200,0,-78.4906,64.3850,642.5144,-81.0551,95.7988,622.7741,0.0003,0.0058,0.0140,0.9999,1849.0000,1880.0000,1864.0000,4.7623,9.9431,,
0.0757,200,0,-78.0330,64.6497,642.3129,-80.7481,96.0508,622.5726,-0.0011,0.0062,0.0137,0.9999,1849.0000,1879.0000,1864.0000,4.7623,9.9431,,
0.0880,200,0,-78.0330,64.6497,642.3129,-80.7481,96.0508,622.5726,-0.0011,0.0062,0.0137,0.9999,1849.0000,1878.0000,1864.0000,4.7623,9.9431,,
0.0996,200,0,-77.0353,65.4265,640.6965,-79.4489,96.8522,620.9562,-0.0007,0.0072,0.0129,0.9999,1849.0000,1870.0000,1864.0000,4.7623,9.9431,,
