{HEADER}
user_id: 555
target_id: 201
target_screen_position_mm: [-104.04, 0.00]
fingertip_offset: [0.38, 31.82, 18.62]
completion_time: 4.6962
endpoint_error_mm: [-18.6007, -11.4446, 12.1576]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.588962, 13.114713, 10.996150, 7.193988]
control_points_accel: [4.166954, -5.695001, 0.024310, 1.503737]
stiffness_measurements: [0.117744, 0.160014, 0.221429, 0.099805]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,201,0,-157.3942,-197.4656,628.5042,-160.9008,-165.8332,609.8863,-0.1191,-0.0207,0.0340,0.9921,1854.0000,1851.0000,1843.0000,13.3308,5.4075,,
0.0121,201,0,-159.3977,-198.5698,628.7205,-163.0654,-166.9556,610.1025,-0.1210,-0.0227,0.0347,0.9918,1854.0000,1851.0000,1843.0000,13.3276,5.4127,,
0.0199,201,0,-159.3977,-198.5698,628.7205,-163.0654,-166.9556,610.1025,-0.1210,-0.0227,0.0347,0.9918,1854.0000,1851.0000,1843.0000,13.3246,5.4110,,
0.0321,201,0,-161.9283,-199.2942,629.9876,-165.2910,-167.6461,611.3697,-0.1224,-0.0229,0.0349,0.9916,1854.0000,1851.0000,1843.0000,13.3276,5.4127,,
0.0439,201,0,-161.9283,-199.2942,629.9876,-165.2910,-167.6461,611.3697,-0.1224,-0.0229,0.0349,0.9916,1854.0000,1851.0000,1843.0000,13.3184,5.4145,,
0.0560,201,0,-164.9801,-200.2089,630.8425,-168.3513,-168.5617,612.2246,-0.1223,-0.0248,0.0341,0.9916,1854.0000,1851.0000,1843.0000,13.3184,5.4145,,
0.0680,201,0,-165.9044,-199.4332,631.2170,-169.2916,-167.7878,612.5991,-0.1231,-0.0281,0.0335,0.9914,1854.0000,1851.0000,1843.0000,13.3124,5.4047,,
0.0760,201,0,-165.9044,-199.4332,631.2170,-169.2916,-167.7878,612.5991,-0.1231,-0.0281,0.0335,0.9914,1854.0000,1851.0000,1843.0000,13.3093,5.3906,,
0.0879,201,0,-166.7098,-198.5653,632.3844,-169.9303,-166.9024,613.7665,-0.1229,-0.0257,0.0320,0.9916,1854.0000,1851.0000,1843.0000,13.2941,5.3534,,
0.1000,201,0,-166.7098,-198.5653,632.3844,-169.9303,-166.9024,613.7665,-0.1229,-0.0257,0.0320,0.9916,1854.0000,1851.0000,1843.0000,13.2638,5.3012,,
