{HEADER}
user_id: 555
target_id: 225
target_screen_position_mm: [-200.11, 15.92]
fingertip_offset: [0.38, 31.82, 18.62]
completion_time: 3.0360
endpoint_error_mm: [1.3887, 4.3407, 7.5636]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.588962, 13.114713, 10.996150, 7.193988]
control_points_accel: [4.166954, -5.695001, 0.024310, 1.503737]
stiffness_measurements: [0.117744, 0.160014, 0.221429, 0.099805]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,225,0,-179.8774,-6.3846,774.9176,-184.3720,25.1227,756.2997,-0.0383,0.0436,0.0520,0.9970,1846.0000,1867.0000,1834.0000,20.2371,-1.7244,,
0.0120,225,0,-180.1210,-10.8280,776.1031,-185.0299,20.6174,757.4852,-0.0429,0.0396,0.0532,0.9969,1846.0000,1867.0000,1834.0000,20.2371,-1.7244,,
0.0239,225,0,-179.0947,-11.8414,775.5946,-183.7860,19.6372,756.9767,-0.0415,0.0424,0.0554,0.9967,1846.0000,1867.0000,1834.0000,20.2371,-1.7210,,
0.0318,225,0,-179.0947,-11.8414,775.5946,-183.7860,19.6372,756.9767,-0.0415,0.0424,0.0554,0.9967,1846.0000,1867.0000,1834.0000,20.2371,-1.7144,,
0.0439,225,0,-177.6218,-12.2032,774.9075,-182.7232,19.2116,756.2896,-0.0428,0.0411,0.0576,0.9966,1846.0000,1867.0000,1834.0000,20.2428,-1.7176,,
0.0559,225,0,-177.6218,-12.2032,774.9075,-182.7232,19.2116,756.2896,-0.0428,0.0411,0.0576,0.9966,1846.0000,1867.0000,1834.0000,20.2598,-1.7272,,
0.0679,225,0,-176.1861,-12.2360,776.4445,-180.8998,19.2392,757.8265,-0.0403,0.0456,0.0540,0.9967,1846.0000,1867.0000,1834.0000,20.3051,-1.7529,,
0.0799,225,0,-175.2992,-13.7757,776.9064,-179.4053,17.7845,758.2885,-0.0406,0.0462,0.0451,0.9971,1846.0000,1867.0000,1834.0000,20.3192,-1.7609,,
0.0919,225,0,-174.2828,-12.7645,774.5612,-178.6329,18.7630,755.9432,-0.0442,0.0438,0.0431,0.9971,1846.0000,1867.0000,1834.0000,20.3419,-1.7738,,
0.0999,225,0,-174.2828,-12.7645,774.5612,-178.6329,18.7630,755.9432,-0.0442,0.0438,0.0431,0.9971,1846.0000,1862.0000,1834.0000,20.3503,-1.7786,,
