{HEADER}
user_id: 555
target_id: 230
target_screen_position_mm: [-119.96, 15.92]
fingertip_offset: [2.19, 32.33, 20.84]
completion_time: 6.0281
endpoint_error_mm: [2.4178, -3.8361, 1.5633]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.127178, 10.825234, 8.078083, 10.389848]
control_points_accel: [6.061364, -6.355895, 6.121058, -5.826528]
stiffness_measurements: [0.282665, 0.180867, 0.149370, 0.122569]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,230,0,-214.0946,-78.4681,497.6571,-215.0807,-46.0835,476.8178,-0.0543,-0.1676,0.0020,0.9843,1865.0000,1600.0000,1440.0000,-3.9527,7.5330,,
0.0079,230,0,-214.0946,-78.4681,497.6571,-215.0807,-46.0835,476.8178,-0.0543,-0.1676,0.0020,0.9843,1865.0000,1572.0000,1460.0000,-3.9527,7.5330,,
0.0199,230,0,-214.2095,-78.5970,498.3116,-215.8243,-46.2376,477.4723,-0.0573,-0.1684,0.0043,0.9840,1865.0000,1532.0000,1486.0000,-4.1566,7.4599,,
0.0319,230,0,-213.3616,-79.1330,497.5381,-214.8030,-46.7654,476.6988,-0.0580,-0.1684,0.0060,0.9840,1865.0000,1498.0000,1506.0000,-4.8514,7.4258,,
0.0440,230,0,-213.3616,-79.1330,497.5381,-214.8030,-46.7654,476.6988,-0.0580,-0.1684,0.0060,0.9840,1865.0000,1478.0000,1519.0000,-5.6677,7.6323,,
0.0560,230,0,-212.6716,-79.7198,497.5383,-214.2222,-47.3572,476.6989,-0.0577,-0.1681,0.0073,0.9841,1865.0000,1452.0000,1535.0000,-6.3957,7.8991,,
0.0680,230,0,-208.8384,-77.5812,500.4710,-210.1182,-45.2068,479.6317,-0.0525,-0.1637,0.0060,0.9851,1865.0000,1437.0000,1544.0000,-7.0479,8.1737,,
0.0760,230,0,-208.8384,-77.5812,500.4710,-210.1182,-45.2068,479.6317,-0.0525,-0.1637,0.0060,0.9851,1866.0000,1427.0000,1552.0000,-7.5943,8.4100,,
0.0880,230,0,-204.1705,-77.5418,502.6808,-205.4933,-45.1692,481.8415,-0.0522,-0.1604,0.0050,0.9857,1866.0000,1416.0000,1560.0000,-7.7724,8.4850,,
0.1000,230,0,-196.1479,-79.9714,505.3306,-198.0235,-47.6260,484.4912,-0.0541,-0.1511,0.0099,0.9870,1866.0000,1410.0000,1567.0000,-7.9056,8.5562,,
