{HEADER}
user_id: 555
target_id: 277
target_screen_position_mm: [152.07, 32.12]
fingertip_offset: [0.38, 31.82, 18.62]
completion_time: 3.5002
endpoint_error_mm: [10.3210, 3.7109, 3.7937]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.588962, 13.114713, 10.996150, 7.193988]
control_points_accel: [4.166954, -5.695001, 0.024310, 1.503737]
stiffness_measurements: [0.117744, 0.160014, 0.221429, 0.099805]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,277,0,149.0632,45.3595,753.5128,148.7796,77.1844,734.8949,0.0011,0.0339,-0.0173,0.9993,1842.0000,1868.0000,1834.0000,23.0596,-0.0942,,
0.0121,277,0,149.0632,45.3595,753.5128,148.7796,77.1844,734.8949,0.0011,0.0339,-0.0173,0.9993,1842.0000,1868.0000,1834.0000,23.0596,-0.0942,,
0.0240,277,0,148.2460,42.5120,756.1970,147.9656,74.3370,737.5791,-0.0022,0.0327,-0.0195,0.9993,1842.0000,1868.0000,1834.0000,23.0596,-0.0942,,
0.0360,277,0,147.2822,35.0877,757.3076,147.3720,66.9138,738.6897,-0.0073,0.0322,-0.0212,0.9992,1842.0000,1868.0000,1834.0000,23.0596,-0.0942,,
0.0482,277,0,147.5055,32.8225,758.0507,147.6149,64.6485,739.4328,-0.0093,0.0331,-0.0209,0.9992,1842.0000,1868.0000,1834.0000,23.0624,-0.0925,,
0.0560,277,0,147.5055,32.8225,758.0507,147.6149,64.6485,739.4328,-0.0093,0.0331,-0.0209,0.9992,1842.0000,1868.0000,1834.0000,23.0709,-0.0973,,
0.0680,277,0,147.5011,30.8762,758.7309,147.8206,62.7008,740.1130,-0.0080,0.0334,-0.0210,0.9992,1842.0000,1868.0000,1834.0000,23.0793,-0.1021,,
0.0800,277,0,146.1537,30.0535,758.9046,146.4435,61.8785,740.2867,-0.0106,0.0313,-0.0247,0.9991,1842.0000,1868.0000,1834.0000,23.1100,-0.1264,,
0.0921,277,0,146.1537,30.0535,758.9046,146.4435,61.8785,740.2867,-0.0106,0.0313,-0.0247,0.9991,1842.0000,1868.0000,1834.0000,23.1124,-0.1315,,
0.1041,277,0,144.3790,30.4175,756.7015,144.6846,62.2422,738.0836,-0.0105,0.0336,-0.0273,0.9990,1842.0000,1868.0000,1834.0000,23.1124,-0.1315,,
0.1161,277,0,144.5709,29.5396,756.9250,145.2410,61.3588,738.3071,-0.0096,0.0324,-0.0295,0.9990,1842.0000,1868.0000,1834.0000,23.1124,-0.1315,,
0.1240,277,0,144.7880,29.3088,753.4830,145.2738,61.1313,734.8651,-0.0100,0.0328,-0.0290,0.9990,1842.0000,1868.0000,1834.0000,23.1124,-0.1315,,
0.1361,277,0,144.7880,29.3088,753.4830,145.2738,61.1313,734.8651,-0.0100,0.0328,-0.0290,0.9990,1842.0000,1868.0000,1834.0000,23.1124,-0.1315,,
0.1481,277,0,147.2996,29.1631,753.9089,147.9428,60.9828,735.2910,-0.0096,0.0309,-0.0292,0.9991,1842.0000,1868.0000,1834.0000,23.1124,-0.1447,,
