{HEADER}
user_id: 555
target_id: 304
target_screen_position_mm: [104.04, 48.04]
fingertip_offset: [-0.45, 31.52, 19.74]
completion_time: 4.9024
endpoint_error_mm: [-19.6632, 25.9782, -1.0960]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.910235, 11.334611, 8.883801, 6.058065]
control_points_accel: [-0.504066, -2.719759, -0.471926, 3.695751]
stiffness_measurements: [0.214700, 0.088950, 0.087119, 0.274221]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,304,0,151.6275,-10.6235,578.0251,150.5214,20.8753,558.2848,-0.0100,0.0135,-0.0081,0.9998,1848.0000,1845.0000,1864.0000,5.5243,11.1623,,
0.0109,304,0,150.8042,-9.2917,576.3693,149.5648,22.2022,556.6290,-0.0115,0.0130,-0.0081,0.9998,1838.0000,1858.0000,1864.0000,5.5243,11.1623,,
0.0230,304,0,149.3223,-8.0008,575.5010,148.3545,23.5026,555.7607,-0.0101,0.0137,-0.0089,0.9998,1810.0000,1873.0000,1864.0000,5.5183,11.1657,,
0.0344,304,0,149.3223,-8.0008,575.5010,148.3545,23.5026,555.7607,-0.0101,0.0137,-0.0089,0.9998,1771.0000,1881.0000,1864.0000,5.5255,11.1697,,
0.0464,304,0,149.0722,-6.8901,575.9387,148.1091,24.6135,556.1984,-0.0097,0.0131,-0.0097,0.9998,1737.0000,1881.0000,1864.0000,5.5434,11.1799,,
0.0584,304,0,148.0485,-5.4813,574.9782,146.9523,26.0180,555.2379,-0.0099,0.0132,-0.0103,0.9998,1704.0000,1881.0000,1864.0000,5.5613,11.1901,,
0.0668,304,0,148.0485,-5.4813,574.9782,146.9523,26.0180,555.2379,-0.0099,0.0132,-0.0103,0.9998,1689.0000,1881.0000,1864.0000,5.6906,11.2634,,
0.0786,304,0,148.2021,-5.1862,575.0947,147.2390,26.3173,555.3544,-0.0110,0.0109,-0.0102,0.9998,1670.0000,1881.0000,1864.0000,5.9495,11.4133,,
0.0905,304,0,146.4934,-4.5540,574.9060,145.5382,26.9498,555.1657,-0.0069,0.0116,-0.0102,0.9999,1653.0000,1881.0000,1864.0000,6.1295,11.5186,,
0.1033,304,0,146.4934,-4.5540,574.9060,145.5382,26.9498,555.1657,-0.0069,0.0116,-0.0102,0.9999,1642.0000,1881.0000,1864.0000,6.2087,11.5635,,
0.1148,304,0,145.2546,-3.9982,574.7866,144.4345,27.5094,555.0463,-0.0067,0.0111,-0.0113,0.9999,1632.0000,1881.0000,1864.0000,6.2159,11.5675,,
0.1269,304,0,142.1301,-4.1793,574.9708,141.3075,27.3283,555.2305,-0.0092,0.0095,-0.0140,0.9998,1625.0000,1881.0000,1864.0000,6.2591,11.5953,,
0.1357,304,0,142.1301,-4.1793,574.9708,141.3075,27.3283,555.2305,-0.0092,0.0095,-0.0140,0.9998,1622.0000,1881.0000,1864.0000,6.2627,11.5973,,
