{HEADER}
user_id: 555
target_id: 311
target_screen_position_mm: [216.03, 48.04]
fingertip_offset: [0.38, 31.82, 18.62]
completion_time: 4.3241
endpoint_error_mm: [14.8360, -5.0953, 4.0756]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.588962, 13.114713, 10.996150, 7.193988]
control_points_accel: [4.166954, -5.695001, 0.024310, 1.503737]
stiffness_measurements: [0.117744, 0.160014, 0.221429, 0.099805]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,311,0,190.7388,28.8865,791.2168,192.4589,60.6662,772.5989,-0.0076,0.0625,-0.0460,0.9970,1847.0000,882.0000,1842.0000,17.1121,9.2106,,
0.0120,311,0,190.7388,28.8865,791.2168,192.4589,60.6662,772.5989,-0.0076,0.0625,-0.0460,0.9970,1847.0000,1214.0000,1842.0000,17.1121,9.2106,,
0.0240,311,0,189.3961,26.6075,794.1304,190.9386,58.3963,775.5125,-0.0072,0.0612,-0.0471,0.9970,1809.0000,1560.0000,1842.0000,15.5274,10.1056,,
0.0320,311,0,184.9181,27.2989,793.4064,186.6260,59.0793,774.7885,-0.0094,0.0603,-0.0483,0.9970,1721.0000,1672.0000,1842.0000,15.5274,10.1056,,
0.0439,311,0,184.9181,27.2989,793.4064,186.6260,59.0793,774.7885,-0.0094,0.0603,-0.0483,0.9970,1569.0000,1842.0000,1843.0000,12.2311,11.8849,,
0.0560,311,0,182.9592,27.4226,794.6750,184.8619,59.1919,776.0571,-0.0091,0.0577,-0.0490,0.9971,1495.0000,1842.0000,1843.0000,12.0767,12.3969,,
0.0679,311,0,196.9081,29.3597,783.0224,198.8167,61.1287,764.4045,-0.0093,0.0718,-0.0603,0.9956,1348.0000,1843.0000,1843.0000,13.0054,12.2435,,
0.0800,311,0,211.1797,10.3520,786.0085,214.2100,42.0336,767.3906,-0.0217,0.0701,-0.0625,0.9953,1279.0000,1845.0000,1843.0000,14.5812,11.9689,,
0.0920,311,0,216.0883,-6.6047,781.4124,217.9890,25.1647,762.7945,-0.0265,0.0745,-0.0474,0.9957,1233.0000,1845.0000,1843.0000,15.5278,11.8816,,
0.0999,311,0,216.0883,-6.6047,781.4124,217.9890,25.1647,762.7945,-0.0265,0.0745,-0.0474,0.9957,1174.0000,1847.0000,1843.0000,17.5739,11.8849,,
0.1120,311,0,216.9792,-11.4631,776.6917,218.2707,20.3370,758.0738,-0.0269,0.0763,-0.0381,0.9960,1147.0000,1848.0000,1843.0000,19.6049,12.1496,,
0.1240,311,0,200.7683,-9.4262,781.9512,201.4468,22.3928,763.3333,-0.0223,0.0672,-0.0281,0.9971,1066.0000,1849.0000,1843.0000,21.4295,12.4950,,
0.1360,311,0,183.7808,-3.4468,789.1726,184.2311,28.3762,770.5547,-0.0213,0.0580,-0.0319,0.9976,1050.0000,1849.0000,1843.0000,22.9799,12.8857,,
0.1480,311,0,165.7978,0.4002,795.7572,167.5448,32.1784,777.1393,-0.0240,0.0462,-0.0434,0.9977,1049.0000,1850.0000,1843.0000,24.1473,13.3297,,
0.1560,311,0,165.7978,0.4002,795.7572,167.5448,32.1784,777.1393,-0.0240,0.0462,-0.0434,0.9977,1051.0000,1850.0000,1843.0000,24.5676,13.5616,,
0.1679,311,0,147.0273,0.7572,790.5274,149.1252,32.5143,771.9095,-0.0195,0.0440,-0.0563,0.9973,1056.0000,1850.0000,1844.0000,25.3100,14.2659,,
0.1800,311,0,123.4026,-4.8614,795.3151,126.5117,26.8126,776.6972,-0.0256,0.0312,-0.0679,0.9969,1073.0000,1850.0000,1844.0000,25.4135,14.4363,,
0.1920,311,0,123.4026,-4.8614,795.3151,126.5117,26.8126,776.6972,-0.0256,0.0312,-0.0679,0.9969,1099.0000,1850.0000,1844.0000,25.4802,14.6919,,
0.2040,311,0,119.4571,-10.1940,798.2003,122.6700,21.4697,779.5824,-0.0312,0.0250,-0.0699,0.9968,1137.0000,1849.0000,1844.0000,25.3556,14.8598,,
0.2161,311,0,121.5148,-23.5006,789.4062,124.7348,8.1623,770.7883,-0.0329,0.0268,-0.0693,0.9967,1166.0000,1849.0000,1844.0000,25.3556,14.8566,,
0.2240,311,0,124.6441,-30.2181,786.2617,127.2384,1.5022,767.6438,-0.0394,0.0299,-0.0663,0.9966,1190.0000,1849.0000,1844.0000,25.3554,14.8530,,
0.2360,311,0,124.6441,-30.2181,786.2617,127.2384,1.5022,767.6438,-0.0394,0.0299,-0.0663,0.9966,1212.0000,1849.0000,1844.0000,25.3587,14.8549,,
0.2480,311,0,128.3556,-34.9346,786.2717,130.3962,-3.1739,767.6537,-0.0384,0.0297,-0.0620,0.9969,1239.0000,1849.0000,1844.0000,25.3587,14.8549,,
0.2600,311,0,128.4885,-39.8459,778.7972,130.4935,-8.0829,760.1793,-0.0387,0.0337,-0.0581,0.9970,1255.0000,1849.0000,1844.0000,25.3654,14.8586,,
0.2720,311,0,128.4885,-39.8459,778.7972,130.4935,-8.0829,760.1793,-0.0387,0.0337,-0.0581,0.9970,1271.0000,1849.0000,1844.0000,25.3654,14.8586,,
0.2840,311,0,128.4821,-42.1697,779.9972,130.6624,-10.4182,761.3793,-0.0427,0.0298,-0.0588,0.9969,1289.0000,1849.0000,1844.0000,25.3687,14.8668,,
0.2920,311,0,127.0592,-45.1950,774.6384,129.4452,-13.4583,756.0204,-0.0402,0.0310,-0.0579,0.9970,1289.0000,1849.0000,1844.0000,25.3687,14.8731,,
0.3040,311,0,127.0592,-45.1950,774.6384,129.4452,-13.4583,756.0204,-0.0402,0.0310,-0.0579,0.9970,1300.0000,1849.0000,1842.0000,25.3687,14.8763,,
0.3160,311,0,126.4283,-46.9419,770.5944,128.1728,-15.1636,751.9765,-0.0405,0.0302,-0.0565,0.9971,1308.0000,1849.0000,1834.0000,25.3720,14.8813,,
0.3280,311,0,125.5495,-49.7275,765.6678,127.5011,-17.9611,747.0499,-0.0413,0.0295,-0.0559,0.9971,1270.0000,1849.0000,1818.0000,25.3720,14.8813,,
0.3400,311,0,125.5495,-49.7275,765.6678,127.5011,-17.9611,747.0499,-0.0413,0.0295,-0.0559,0.9971,1279.0000,1849.0000,1809.0000,25.3791,14.8924,,
0.3480,311,0,125.3176,-50.5859,762.1235,127.1974,-18.8153,743.5056,-0.0430,0.0300,-0.0554,0.9971,1286.0000,1849.0000,1803.0000,25.3824,14.8943,,
0.3600,311,0,125.3684,-51.9560,756.5081,127.0349,-20.1735,737.8901,-0.0435,0.0292,-0.0523,0.9973,1273.0000,1849.0000,1795.0000,25.3824,14.8943,,
0.3720,311,0,125.3684,-51.9560,756.5081,127.0349,-20.1735,737.8901,-0.0435,0.0292,-0.0523,0.9973,1252.0000,1849.0000,1782.0000,25.3857,14.8930,,
0.3840,311,0,124.3559,-52.3931,753.4410,125.8328,-20.6011,734.8231,-0.0446,0.0314,-0.0518,0.9972,1257.0000,1849.0000,1777.0000,25.4852,14.9459,,
0.3961,311,0,119.6645,-50.6163,747.3123,121.3198,-18.8332,728.6944,-0.0438,0.0309,-0.0533,0.9971,1248.0000,1849.0000,1769.0000,25.6414,15.0308,,
0.4081,311,0,119.6645,-50.6163,747.3123,121.3198,-18.8332,728.6944,-0.0438,0.0309,-0.0533,0.9971,1226.0000,1849.0000,1762.0000,25.7841,15.1047,,
0.4160,311,0,116.0382,-48.7909,745.0907,118.0592,-17.0289,726.4728,-0.0434,0.0285,-0.0544,0.9972,1228.0000,1849.0000,1761.0000,25.8008,15.1141,,
0.4281,311,0,106.5333,-45.6495,739.6667,108.6840,-13.8960,721.0488,-0.0386,0.0272,-0.0585,0.9972,1227.0000,1849.0000,1759.0000,25.8008,15.1141,,
0.4400,311,0,106.5333,-45.6495,739.6667,108.6840,-13.8960,721.0488,-0.0386,0.0272,-0.0585,0.9972,1214.0000,1849.0000,1758.0000,25.8074,15.1147,,
0.4520,311,0,102.1234,-44.6074,740.2239,104.4886,-12.8692,721.6060,-0.0398,0.0223,-0.0626,0.9970,1229.0000,1849.0000,1761.0000,25.8207,15.1223,,
0.4640,311,0,95.5134,-38.1346,734.2473,98.3602,-6.4360,715.6294,-0.0391,0.0213,-0.0674,0.9967,1242.0000,1849.0000,1764.0000,25.8707,15.1506,,
0.4761,311,0,91.2633,-37.2438,729.5082,93.9396,-5.5303,710.8903,-0.0353,0.0231,-0.0678,0.9968,1227.0000,1849.0000,1768.0000,26.0608,15.2615,,
0.4840,311,0,91.2633,-37.2438,729.5082,93.9396,-5.5303,710.8903,-0.0353,0.0231,-0.0678,0.9968,1219.0000,1849.0000,1773.0000,26.1275,15.3025,,
0.4960,311,0,87.9218,-34.8371,728.8683,90.7555,-3.1373,710.2504,-0.0363,0.0193,-0.0693,0.9968,1232.0000,1849.0000,1781.0000,26.1407,15.3222,,
0.5080,311,0,87.9218,-34.8371,728.8683,90.7555,-3.1373,710.2504,-0.0363,0.0193,-0.0693,0.9968,1243.0000,1849.0000,1790.0000,26.1440,15.3272,,
0.5201,311,0,77.6962,-31.6132,720.7596,80.6389,0.0767,702.1417,-0.0309,0.0152,-0.0725,0.9968,1252.0000,1849.0000,1797.0000,26.1473,15.3417,,
0.5321,311,0,65.0886,-29.4342,719.3095,68.3290,2.2267,700.6916,-0.0303,0.0092,-0.0775,0.9965,1238.0000,1849.0000,1806.0000,26.2074,15.4294,,
0.5400,311,0,65.0886,-29.4342,719.3095,68.3290,2.2267,700.6916,-0.0303,0.0092,-0.0775,0.9965,1256.0000,1849.0000,1812.0000,26.2074,15.4294,,
0.5520,311,0,58.9949,-27.2180,715.5989,62.3468,4.4312,696.9810,-0.0305,0.0070,-0.0791,0.9964,1273.0000,1849.0000,1818.0000,26.3945,15.6079,,
0.5641,311,0,47.1263,-25.1651,708.9545,50.2548,6.5070,690.3365,-0.0286,0.0038,-0.0792,0.9964,1294.0000,1849.0000,1830.0000,26.5917,15.8421,,
0.5761,311,0,47.1263,-25.1651,708.9545,50.2548,6.5070,690.3365,-0.0286,0.0038,-0.0792,0.9964,1302.0000,1849.0000,1839.0000,26.5984,15.9309,,
0.5880,311,0,39.9119,-24.3137,705.1763,42.4918,7.4078,686.5583,0.2626,-0.1717,-0.0289,0.9491,1329.0000,1849.0000,1845.0000,26.5984,15.9340,,
0.6000,311,0,22.8068,-26.8943,693.8167,26.4970,4.7172,675.1988,-0.0289,-0.0067,-0.0834,0.9961,1359.0000,1849.0000,1845.0000,26.5950,15.9353,,
0.6080,311,0,16.6889,-25.1588,692.5035,20.4201,6.4480,673.8856,-0.0285,-0.0095,-0.0861,0.9958,1368.0000,1849.0000,1845.0000,26.5917,15.9712,,
0.6201,311,0,16.6889,-25.1588,692.5035,20.4201,6.4480,673.8856,-0.0285,-0.0095,-0.0861,0.9958,1419.0000,1849.0000,1845.0000,26.5917,16.0215,,
0.6320,311,0,9.1208,-22.9788,693.7739,12.6770,8.6481,675.1560,-0.0274,-0.0128,-0.0865,0.9958,1470.0000,1849.0000,1845.0000,26.5850,16.0806,,
0.6440,311,0,-3.1655,-21.6022,688.6747,0.7610,9.9809,670.0568,-0.0249,-0.0192,-0.0885,0.9956,1513.0000,1849.0000,1845.0000,26.5749,16.1220,,
0.6561,311,0,-3.1655,-21.6022,688.6747,0.7610,9.9809,670.0568,-0.0249,-0.0192,-0.0885,0.9956,1559.0000,1849.0000,1845.0000,26.5649,16.1195,,
0.6680,311,0,-10.1263,-21.3717,683.8702,-6.0706,10.1951,665.2523,-0.0236,-0.0217,-0.0912,0.9953,1603.0000,1849.0000,1845.0000,26.5482,16.1100,,
0.6760,311,0,-22.8714,-18.6060,675.5765,-18.3245,12.8937,656.9586,-0.0240,-0.0254,-0.0992,0.9945,1625.0000,1849.0000,1845.0000,26.5381,16.1043,,
0.6880,311,0,-22.8714,-18.6060,675.5765,-18.3245,12.8937,656.9586,-0.0240,-0.0254,-0.0992,0.9945,1684.0000,1849.0000,1845.0000,26.5013,16.0834,,
0.7000,311,0,-28.8147,-16.3143,675.3145,-24.3992,15.2041,656.6966,-0.0208,-0.0313,-0.1025,0.9940,1723.0000,1846.0000,1845.0000,26.4445,16.0512,,
0.7120,311,0,-40.9316,-13.4374,667.3414,-36.0285,18.0088,648.7235,-0.0186,-0.0361,-0.1074,0.9934,1782.0000,1751.0000,1845.0000,26.2041,15.9185,,
0.7241,311,0,-40.9316,-13.4374,667.3414,-36.0285,18.0088,648.7235,-0.0186,-0.0361,-0.1074,0.9934,1835.0000,1654.0000,1845.0000,26.0519,15.8534,,
0.7321,311,0,-46.5710,-12.8706,664.4419,-41.7532,18.5889,645.8240,-0.0159,-0.0403,-0.1089,0.9931,1836.0000,1569.0000,1845.0000,25.6695,15.7036,,
