{HEADER}
user_id: 555
target_id: 333
target_screen_position_mm: [88.11, 63.96]
fingertip_offset: [0.87, 31.33, 18.42]
completion_time: 3.6240
endpoint_error_mm: [-14.8174, -7.4020, 9.6151]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [11.092576, 13.373429, 11.160791, 7.379013]
control_points_accel: [-1.783436, -1.819262, -1.866377, 5.469074]
stiffness_measurements: [0.147980, 0.201321, 0.067459, 0.029272]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,333,0,85.6745,-50.3675,618.4979,85.2853,-19.0319,600.0817,-0.0335,0.0040,-0.0309,0.9990,1827.0000,1814.0000,1818.0000,0.5173,14.0088,,
0.0120,333,0,85.6745,-50.3675,618.4979,85.2853,-19.0319,600.0817,-0.0335,0.0040,-0.0309,0.9990,1825.0000,1814.0000,1818.0000,0.4048,13.9451,,
0.0240,333,0,84.9867,-49.8300,618.0216,84.7433,-18.4930,599.6054,-0.0353,0.0041,-0.0316,0.9989,1823.0000,1814.0000,1818.0000,0.1254,13.7867,,
0.0320,333,0,84.9536,-49.2295,618.9735,84.5692,-17.8939,600.5573,-0.0365,0.0041,-0.0320,0.9988,1822.0000,1814.0000,1817.0000,-0.0386,13.6943,,
0.0440,333,0,84.9536,-49.2295,618.9735,84.5692,-17.8939,600.5573,-0.0365,0.0041,-0.0320,0.9988,1821.0000,1814.0000,1817.0000,-0.2778,13.5303,,
0.0559,333,0,84.3273,-49.0181,616.3604,84.0929,-17.6809,597.9442,-0.0376,0.0046,-0.0321,0.9988,1813.0000,1814.0000,1815.0000,-0.4471,13.3964,,
0.0680,333,0,87.2271,-45.7210,616.9532,87.1521,-14.3831,598.5370,-0.0376,0.0064,-0.0339,0.9987,1812.0000,1814.0000,1814.0000,-0.5346,13.3214,,
0.0800,333,0,87.2271,-45.7210,616.9532,87.1521,-14.3831,598.5370,-0.0376,0.0064,-0.0339,0.9987,1810.0000,1814.0000,1814.0000,-0.5558,13.2905,,
0.0879,333,0,88.0491,-44.4223,616.7422,87.8331,-13.0851,598.3260,-0.0343,0.0065,-0.0336,0.9988,1809.0000,1814.0000,1814.0000,-0.5558,13.2905,,
0.0999,333,0,90.1211,-42.2526,618.5164,89.8984,-10.9154,600.1002,-0.0304,0.0067,-0.0321,0.9990,1808.0000,1814.0000,1814.0000,-0.5528,13.2922,,
0.1120,333,0,90.1211,-42.2526,618.5164,89.8984,-10.9154,600.1002,-0.0304,0.0067,-0.0321,0.9990,1807.0000,1814.0000,1814.0000,-0.5528,13.2922,,
0.1241,333,0,89.3973,-41.2422,616.7559,89.2936,-9.9044,598.3397,-0.0308,0.0072,-0.0322,0.9990,1806.0000,1814.0000,1814.0000,-0.5528,13.2922,,
0.1360,333,0,89.1046,-40.6033,616.2930,89.1703,-9.2654,597.8768,-0.0299,0.0078,-0.0331,0.9990,1805.0000,1814.0000,1814.0000,-0.5528,13.2922,,
0.1480,333,0,89.1046,-40.6033,616.2930,89.1703,-9.2654,597.8768,-0.0299,0.0078,-0.0331,0.9990,1804.0000,1814.0000,1814.0000,-0.5528,13.2953,,
0.1560,333,0,89.1281,-40.2081,615.8142,89.0624,-8.8702,597.3980,-0.0295,0.0080,-0.0332,0.9990,1801.0000,1814.0000,1814.0000,-0.5528,13.2953,,
0.1680,333,0,89.1281,-40.2081,615.8142,89.0624,-8.8702,597.3980,-0.0295,0.0080,-0.0332,0.9990,1801.0000,1814.0000,1814.0000,-0.5528,13.2922,,
0.1800,333,0,89.0703,-39.4996,614.9047,88.6723,-8.1641,596.4885,-0.0312,0.0090,-0.0331,0.9989,1795.0000,1814.0000,1813.0000,-0.5528,13.2922,,
0.1919,333,0,89.8096,-37.9838,614.6676,89.7144,-6.6460,596.2514,-0.0296,0.0086,-0.0334,0.9990,1795.0000,1814.0000,1814.0000,-0.5528,13.2922,,
0.2040,333,0,89.6247,-37.5486,613.8323,89.5177,-6.2108,595.4161,-0.0300,0.0078,-0.0332,0.9990,1793.0000,1814.0000,1814.0000,-0.5528,13.2922,,
0.2160,333,0,89.6247,-37.5486,613.8323,89.5177,-6.2108,595.4161,-0.0300,0.0078,-0.0332,0.9990,1788.0000,1814.0000,1814.0000,-0.5528,13.2922,,
0.2240,333,0,90.3011,-37.4922,613.6894,90.2096,-6.1544,595.2732,-0.0293,0.0096,-0.0328,0.9990,1786.0000,1814.0000,1814.0000,-0.5528,13.2922,,
0.2361,333,0,89.8866,-36.7022,612.1473,89.4941,-5.3666,593.7311,-0.0295,0.0106,-0.0336,0.9989,1786.0000,1814.0000,1814.0000,-0.5528,13.2922,,
0.2480,333,0,89.8866,-36.7022,612.1473,89.4941,-5.3666,593.7311,-0.0295,0.0106,-0.0336,0.9989,1777.0000,1814.0000,1813.0000,-0.5528,13.2922,,
0.2601,333,0,89.9024,-36.4801,611.5054,89.9808,-5.1422,593.0892,-0.0292,0.0088,-0.0339,0.9990,1772.0000,1814.0000,1813.0000,-0.5497,13.2939,,
0.2720,333,0,91.6033,-36.2702,610.8911,91.6250,-4.9322,592.4749,-0.0284,0.0090,-0.0333,0.9990,1772.0000,1814.0000,1813.0000,-0.5497,13.2939,,
0.2799,333,0,91.6033,-36.2702,610.8911,91.6250,-4.9322,592.4749,-0.0284,0.0090,-0.0333,0.9990,1768.0000,1814.0000,1813.0000,-0.5497,13.2970,,
0.2920,333,0,91.2588,-35.2532,610.5170,91.1523,-3.9153,592.1008,-0.0312,0.0100,-0.0334,0.9989,1767.0000,1814.0000,1814.0000,-0.5467,13.2988,,
0.3040,333,0,92.2348,-34.6571,608.4617,92.1306,-3.3193,590.0455,-0.0295,0.0120,-0.0342,0.9989,1765.0000,1814.0000,1814.0000,-0.5437,13.3005,,
0.3160,333,0,92.2348,-34.6571,608.4617,92.1306,-3.3193,590.0455,-0.0295,0.0120,-0.0342,0.9989,1751.0000,1814.0000,1813.0000,-0.5437,13.3005,,
0.3280,333,0,93.3524,-34.3392,608.7387,93.2460,-3.0014,590.3225,-0.0277,0.0108,-0.0344,0.9990,1751.0000,1814.0000,1814.0000,-0.5407,13.3022,,
0.3399,333,0,95.8677,-33.1128,606.4670,95.7507,-1.7750,588.0508,-0.0297,0.0133,-0.0348,0.9989,1750.0000,1814.0000,1814.0000,-0.5407,13.3022,,
0.3480,333,0,95.8677,-33.1128,606.4670,95.7507,-1.7750,588.0508,-0.0297,0.0133,-0.0348,0.9989,1736.0000,1814.0000,1814.0000,-0.5407,13.3022,,
0.3600,333,0,96.9803,-32.5657,605.5334,96.8546,-1.2279,587.1172,-0.0295,0.0136,-0.0345,0.9989,1728.0000,1814.0000,1814.0000,-0.5377,13.3039,,
0.3720,333,0,99.6152,-31.1187,602.9733,99.4789,0.2190,584.5571,-0.0267,0.0157,-0.0342,0.9989,1727.0000,1814.0000,1815.0000,-0.5377,13.3039,,
0.3839,333,0,99.6152,-31.1187,602.9733,99.4789,0.2190,584.5571,-0.0267,0.0157,-0.0342,0.9989,1708.0000,1814.0000,1815.0000,-0.5346,13.3056,,
0.3960,333,0,100.7553,-30.0855,601.6289,100.4771,1.2513,583.2127,-0.0259,0.0162,-0.0339,0.9990,1706.0000,1814.0000,1816.0000,-0.5286,13.3090,,
0.4080,333,0,103.7711,-28.5326,599.2123,103.6327,2.8051,580.7961,-0.0282,0.0183,-0.0330,0.9989,1695.0000,1814.0000,1816.0000,-0.5226,13.3156,,
0.4160,333,0,103.7711,-28.5326,599.2123,103.6327,2.8051,580.7961,-0.0282,0.0183,-0.0330,0.9989,1675.0000,1814.0000,1817.0000,-0.5226,13.3156,,
0.4280,333,0,105.3141,-27.9393,598.0165,105.3117,3.3987,579.6003,-0.0258,0.0196,-0.0321,0.9990,1672.0000,1814.0000,1818.0000,-0.5195,13.3173,,
0.4400,333,0,107.9158,-26.6652,594.0642,107.3086,4.6669,575.6480,-0.0236,0.0231,-0.0300,0.9990,1631.0000,1814.0000,1818.0000,-0.5105,13.3224,,
0.4519,333,0,107.9158,-26.6652,594.0642,107.3086,4.6669,575.6480,-0.0236,0.0231,-0.0300,0.9990,1628.0000,1814.0000,1818.0000,-0.4984,13.3293,,
0.4640,333,0,109.9814,-25.7031,593.2857,109.8386,5.6346,574.8695,-0.0229,0.0220,-0.0304,0.9990,1625.0000,1814.0000,1818.0000,-0.3745,13.3995,,
0.4720,333,0,109.9814,-25.7031,593.2857,109.8386,5.6346,574.8695,-0.0229,0.0220,-0.0304,0.9990,1615.0000,1814.0000,1818.0000,-0.2415,13.4749,,
0.4839,333,0,112.1296,-24.2860,589.9594,111.8054,7.0503,571.5432,-0.0217,0.0259,-0.0300,0.9990,1612.0000,1814.0000,1818.0000,-0.1325,13.5430,,
0.4960,333,0,113.5097,-24.0188,585.4895,113.1888,7.3176,567.0733,-0.0233,0.0269,-0.0293,0.9989,1581.0000,1814.0000,1818.0000,0.0586,13.6476,,
0.5080,333,0,113.3656,-24.7055,583.4454,112.9029,6.6291,565.0292,-0.0233,0.0281,-0.0288,0.9989,1541.0000,1814.0000,1818.0000,0.1284,13.6904,,
0.5200,333,0,113.3656,-24.7055,583.4454,112.9029,6.6291,565.0292,-0.0233,0.0281,-0.0288,0.9989,1521.0000,1814.0000,1818.0000,0.1681,13.7218,,
0.5320,333,0,113.7803,-25.1775,581.4935,113.7217,6.1604,563.0773,-0.0248,0.0276,-0.0295,0.9989,1517.0000,1814.0000,1818.0000,0.2531,13.7700,,
0.5399,333,0,113.7803,-25.1775,581.4935,113.7217,6.1604,563.0773,-0.0248,0.0276,-0.0295,0.9989,1500.0000,1814.0000,1818.0000,0.3533,13.8268,,
0.5520,333,0,114.4542,-25.4862,579.0760,114.2351,5.8511,560.6598,-0.0224,0.0272,-0.0305,0.9989,1497.0000,1814.0000,1818.0000,0.5634,13.9738,,
0.5640,333,0,115.8546,-26.0903,573.6292,115.7455,5.2476,555.2130,-0.0253,0.0296,-0.0304,0.9988,1474.0000,1814.0000,1818.0000,0.5969,14.0023,,
0.5760,333,0,116.2315,-27.3151,572.0429,115.8541,4.0207,553.6267,-0.0256,0.0297,-0.0296,0.9988,1425.0000,1814.0000,1818.0000,0.7888,14.1079,,
0.5880,333,0,116.2315,-27.3151,572.0429,115.8541,4.0207,553.6267,-0.0256,0.0297,-0.0296,0.9988,1410.0000,1814.0000,1818.0000,0.8315,14.1352,,
0.6000,333,0,117.3142,-28.7292,569.5954,117.2214,2.6086,551.1792,-0.0268,0.0322,-0.0293,0.9987,1387.0000,1814.0000,1818.0000,0.8681,14.1560,,
0.6080,333,0,117.3142,-28.7292,569.5954,117.2214,2.6086,551.1792,-0.0268,0.0322,-0.0293,0.9987,1386.0000,1814.0000,1818.0000,0.8746,14.1523,,
0.6199,333,0,118.5330,-29.4153,565.2532,118.4114,1.9225,546.8370,-0.0265,0.0335,-0.0292,0.9987,1385.0000,1814.0000,1818.0000,0.9266,14.1263,,
0.6320,333,0,120.7158,-29.2658,560.4271,120.7307,2.0722,542.0109,-0.0262,0.0348,-0.0298,0.9986,1303.0000,1814.0000,1818.0000,1.0341,14.0654,,
0.6440,333,0,120.7158,-29.2658,560.4271,120.7307,2.0722,542.0109,-0.0262,0.0348,-0.0298,0.9986,1300.0000,1814.0000,1818.0000,1.1332,14.0372,,
0.6560,333,0,121.4217,-28.8080,557.0663,121.3917,2.5300,538.6501,-0.0279,0.0380,-0.0295,0.9985,1267.0000,1814.0000,1818.0000,1.3777,14.1721,,
0.6639,333,0,123.7520,-27.6091,552.3416,123.3404,3.7262,533.9254,-0.0250,0.0400,-0.0287,0.9985,1266.0000,1814.0000,1818.0000,1.5245,14.2584,,
0.6759,333,0,123.7520,-27.6091,552.3416,123.3404,3.7262,533.9254,-0.0250,0.0400,-0.0287,0.9985,1217.0000,1814.0000,1818.0000,1.8494,14.4452,,
0.6880,333,0,124.6073,-26.2394,549.5278,124.1502,5.0953,531.1116,-0.0249,0.0406,-0.0281,0.9985,1212.0000,1814.0000,1818.0000,1.9476,14.5072,,
0.7000,333,0,124.9178,-27.0828,544.3383,124.5903,4.2535,525.9221,-0.0269,0.0412,-0.0256,0.9985,1133.0000,1814.0000,1818.0000,2.2912,14.6756,,
0.7120,333,0,124.9178,-27.0828,544.3383,124.5903,4.2535,525.9221,-0.0269,0.0412,-0.0256,0.9985,1128.0000,1815.0000,1818.0000,2.4439,14.7342,,
0.7240,333,0,124.6941,-27.0979,542.5767,124.0892,4.2343,524.1605,-0.0248,0.0424,-0.0234,0.9985,1123.0000,1815.0000,1818.0000,2.8202,14.8074,,
0.7320,333,0,123.6661,-27.0714,538.2878,123.1719,4.2627,519.8716,-0.0256,0.0414,-0.0210,0.9986,1066.0000,1815.0000,1818.0000,3.3346,14.8480,,
0.7440,333,0,123.6661,-27.0714,538.2878,123.1719,4.2627,519.8716,-0.0256,0.0414,-0.0210,0.9986,1064.0000,1815.0000,1818.0000,3.5432,14.8559,,
0.7560,333,0,122.9557,-27.3365,535.8038,122.4646,3.9976,517.3876,-0.0263,0.0403,-0.0203,0.9986,1040.0000,1816.0000,1818.0000,4.1872,14.9123,,
0.7680,333,0,118.9717,-27.4617,533.0791,118.3516,3.8701,514.6629,-0.0247,0.0399,-0.0179,0.9987,1038.0000,1816.0000,1818.0000,4.5505,14.9421,,
0.7800,333,0,118.9717,-27.4617,533.0791,118.3516,3.8701,514.6629,-0.0247,0.0399,-0.0179,0.9987,1017.0000,1816.0000,1818.0000,4.7254,14.9271,,
0.7920,333,0,116.3054,-26.6993,531.1326,115.5425,4.6294,512.7164,-0.0246,0.0375,-0.0185,0.9988,1021.0000,1816.0000,1818.0000,5.3293,14.9759,,
0.8000,333,0,110.5373,-26.6893,527.7282,109.7555,4.6390,509.3120,-0.0227,0.0352,-0.0196,0.9989,980.0000,1817.0000,1818.0000,5.5313,15.0094,,
0.8120,333,0,110.5373,-26.6893,527.7282,109.7555,4.6390,509.3120,-0.0227,0.0352,-0.0196,0.9989,991.0000,1817.0000,1818.0000,5.8063,15.0595,,
0.8240,333,0,107.8889,-26.7472,525.5386,106.8525,4.5736,507.1224,-0.0207,0.0350,-0.0198,0.9990,1000.0000,1817.0000,1818.0000,5.8817,15.0908,,
0.8359,333,0,102.6977,-28.0446,522.3750,101.6384,3.2755,503.9588,-0.0235,0.0329,-0.0186,0.9990,969.0000,1817.0000,1818.0000,6.0537,15.1842,,
0.8481,333,0,102.6977,-28.0446,522.3750,101.6384,3.2755,503.9588,-0.0235,0.0329,-0.0186,0.9990,986.0000,1817.0000,1818.0000,6.1669,15.2675,,
