{HEADER}
user_id: 555
target_id: 352
target_screen_position_mm: [-40.08, 79.88]
fingertip_offset: [2.19, 32.33, 20.84]
completion_time: 4.7201
endpoint_error_mm: [-10.3073, -3.2296, 1.3070]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.127178, 10.825234, 8.078083, 10.389848]
control_points_accel: [6.061364, -6.355895, 6.121058, -5.826528]
stiffness_measurements: [0.282665, 0.180867, 0.149370, 0.122569]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,352,0,-122.9304,-156.9872,525.6818,-125.2808,-124.6728,504.8424,-0.0655,-0.1499,0.0229,0.9863,1876.0000,1817.0000,1736.0000,-8.7572,3.0922,,
0.0119,352,0,-120.3738,-157.2828,524.0720,-122.8105,-124.9748,503.2327,-0.0668,-0.1485,0.0231,0.9864,1876.0000,1810.0000,1714.0000,-8.7572,3.0922,,
0.0239,352,0,-120.3738,-157.2828,524.0720,-122.8105,-124.9748,503.2327,-0.0668,-0.1485,0.0231,0.9864,1876.0000,1810.0000,1714.0000,-8.7572,3.0922,,
0.0318,352,0,-118.7855,-157.4231,522.0560,-121.1773,-125.1118,501.2166,-0.0662,-0.1468,0.0221,0.9867,1876.0000,1810.0000,1714.0000,-8.7564,3.0890,,
0.0440,352,0,-118.7855,-157.4231,522.0560,-121.1773,-125.1118,501.2166,-0.0662,-0.1468,0.0221,0.9867,1876.0000,1801.0000,1686.0000,-8.7564,3.0890,,
0.0560,352,0,-116.4249,-157.9547,519.6926,-118.6483,-125.6314,498.8532,-0.0681,-0.1456,0.0201,0.9868,1876.0000,1801.0000,1686.0000,-8.7564,3.0890,,
0.0679,352,0,-113.4443,-157.9629,517.2098,-115.3785,-125.6210,496.3705,-0.0661,-0.1435,0.0196,0.9872,1876.0000,1781.0000,1618.0000,-8.7572,3.0879,,
0.0799,352,0,-113.4443,-157.9629,517.2098,-115.3785,-125.6210,496.3705,-0.0661,-0.1435,0.0196,0.9872,1876.0000,1782.0000,1618.0000,-8.7604,3.0854,,
0.0920,352,0,-111.9893,-157.6512,515.8974,-114.1615,-125.3244,495.0581,-0.0670,-0.1416,0.0199,0.9875,1876.0000,1778.0000,1599.0000,-8.7636,3.0743,,
0.1000,352,0,-110.5011,-157.5298,512.1310,-112.4375,-125.1880,491.2917,-0.0678,-0.1381,0.0192,0.9879,1876.0000,1778.0000,1599.0000,-8.7636,3.0743,,
