{HEADER}
user_id: 555
target_id: 354
target_screen_position_mm: [-7.96, 79.88]
fingertip_offset: [0.87, 31.33, 18.42]
completion_time: 7.9722
endpoint_error_mm: [-19.8969, -20.9012, 9.7866]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [11.092576, 13.373429, 11.160791, 7.379013]
control_points_accel: [-1.783436, -1.819262, -1.866377, 5.469074]
stiffness_measurements: [0.147980, 0.201321, 0.067459, 0.029272]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,354,0,-35.9060,-31.2628,705.8096,-36.7184,0.0647,687.3934,0.0102,0.0055,-0.0258,0.9996,1856.0000,1832.0000,1810.0000,-3.1791,-6.7514,,
0.0121,354,0,-36.6112,-30.3265,707.6896,-37.4200,1.0011,689.2734,0.0095,0.0054,-0.0259,0.9996,1856.0000,1832.0000,1810.0000,-3.1791,-6.7514,,
0.0200,354,0,-36.6112,-30.3265,707.6896,-37.4200,1.0011,689.2734,0.0095,0.0054,-0.0259,0.9996,1856.0000,1832.0000,1810.0000,-3.1791,-6.7482,,
0.0320,354,0,-37.6196,-28.9908,706.9606,-38.4287,2.3367,688.5444,0.0099,0.0039,-0.0274,0.9996,1856.0000,1832.0000,1810.0000,-3.1791,-6.7514,,
0.0441,354,0,-38.9366,-27.8649,706.2866,-39.2472,3.4716,687.8704,0.0109,0.0034,-0.0267,0.9996,1856.0000,1832.0000,1810.0000,-3.1791,-6.7514,,
0.0561,354,0,-38.9366,-27.8649,706.2866,-39.2472,3.4716,687.8704,0.0109,0.0034,-0.0267,0.9996,1856.0000,1832.0000,1810.0000,-3.1791,-6.7514,,
0.0679,354,0,-39.5793,-26.9977,706.2050,-40.3732,4.3302,687.7888,0.0100,0.0038,-0.0266,0.9996,1856.0000,1832.0000,1810.0000,-3.1791,-6.7514,,
0.0801,354,0,-41.4937,-25.7997,707.0699,-42.1396,5.5316,688.6537,0.0121,0.0050,-0.0260,0.9996,1856.0000,1832.0000,1810.0000,-3.1791,-6.7514,,
0.0880,354,0,-41.4937,-25.7997,707.0699,-42.1396,5.5316,688.6537,0.0121,0.0050,-0.0260,0.9996,1856.0000,1832.0000,1810.0000,-3.1817,-6.7497,,
0.1001,354,0,-41.9571,-24.5692,705.8597,-42.0952,6.7685,687.4435,0.0086,0.0028,-0.0259,0.9996,1856.0000,1832.0000,1810.0000,-3.1817,-6.7530,,
