{HEADER}
user_id: 555
target_id: 354
target_screen_position_mm: [-7.96, 79.88]
fingertip_offset: [2.19, 32.33, 20.84]
completion_time: 8.0402
endpoint_error_mm: [2.3121, 1.7497, 2.2847]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.127178, 10.825234, 8.078083, 10.389848]
control_points_accel: [6.061364, -6.355895, 6.121058, -5.826528]
stiffness_measurements: [0.282665, 0.180867, 0.149370, 0.122569]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,354,0,-240.3954,27.6512,563.8701,-246.1679,59.5325,543.0307,0.0534,-0.2288,0.0378,0.9713,1880.0000,1824.0000,1733.0000,-14.0252,-8.1465,,
0.0120,354,0,-241.5045,24.8703,563.4591,-247.0080,56.7991,542.6198,0.0499,-0.2286,0.0359,0.9716,1880.0000,1824.0000,1733.0000,-14.0252,-8.1465,,
0.0240,354,0,-241.5045,24.8703,563.4591,-247.0080,56.7991,542.6198,0.0499,-0.2286,0.0359,0.9716,1880.0000,1820.0000,1733.0000,-14.0252,-8.1465,,
0.0361,354,0,-242.1653,23.5710,563.9829,-247.7975,55.4774,543.1436,0.0521,-0.2293,0.0360,0.9713,1880.0000,1819.0000,1733.0000,-14.0252,-8.1465,,
0.0441,354,0,-242.1653,23.5710,563.9829,-247.7975,55.4774,543.1436,0.0521,-0.2293,0.0360,0.9713,1880.0000,1819.0000,1733.0000,-14.0252,-8.1465,,
0.0560,354,0,-242.2794,21.9854,564.1173,-247.7171,53.9255,543.2780,0.0486,-0.2303,0.0349,0.9713,1880.0000,1818.0000,1733.0000,-14.0252,-8.1465,,
0.0680,354,0,-242.6190,19.9805,563.8972,-248.2355,51.8896,543.0579,0.0512,-0.2297,0.0353,0.9713,1880.0000,1817.0000,1733.0000,-14.0252,-8.1421,,
0.0800,354,0,-242.6190,19.9805,563.8972,-248.2355,51.8896,543.0579,0.0512,-0.2297,0.0353,0.9713,1880.0000,1817.0000,1733.0000,-14.0252,-8.1421,,
0.0921,354,0,-242.3608,19.5855,564.2639,-247.6953,51.5430,543.4246,0.0496,-0.2301,0.0346,0.9713,1880.0000,1816.0000,1733.0000,-14.0252,-8.1421,,
0.1041,354,0,-240.9582,18.0854,563.3469,-245.6962,50.1367,542.5076,-0.1081,0.0598,0.0061,0.9923,1880.0000,1816.0000,1733.0000,-14.0283,-8.1360,,
0.1120,354,0,-240.9582,18.0854,563.3469,-245.6962,50.1367,542.5076,-0.1081,0.0598,0.0061,0.9923,1880.0000,1813.0000,1733.0000,-14.0283,-8.1360,,
0.1240,354,0,-240.3399,17.1034,563.1073,-245.7233,49.0527,542.2679,0.0460,-0.2279,0.0321,0.9721,1880.0000,1813.0000,1733.0000,-14.0283,-8.1360,,
0.1360,354,0,-238.5563,15.2858,563.3508,-243.6274,47.2861,542.5115,0.0466,-0.2258,0.0306,0.9726,1880.0000,1808.0000,1733.0000,-14.0283,-8.1360,,
0.1480,354,0,-238.5563,15.2858,563.3508,-243.6274,47.2861,542.5115,0.0466,-0.2258,0.0306,0.9726,1880.0000,1808.0000,1733.0000,-14.0283,-8.1360,,
0.1600,354,0,-237.0524,14.8688,563.1709,-242.1635,46.8628,542.3315,0.0444,-0.2255,0.0297,0.9728,1880.0000,1807.0000,1733.0000,-14.0252,-8.1378,,
0.1680,354,0,-234.2933,14.5304,563.0996,-239.2159,46.5539,542.2603,0.0442,-0.2217,0.0296,0.9737,1880.0000,1807.0000,1733.0000,-14.0283,-8.1360,,
0.1800,354,0,-234.2933,14.5304,563.0996,-239.2159,46.5539,542.2603,0.0442,-0.2217,0.0296,0.9737,1880.0000,1807.0000,1733.0000,-14.0283,-8.1360,,
0.1921,354,0,-232.6272,14.6499,563.5438,-237.5418,46.6747,542.7045,0.0445,-0.2215,0.0294,0.9737,1880.0000,1807.0000,1733.0000,-14.0283,-8.1360,,
0.2040,354,0,-228.8854,14.7202,562.6265,-233.9651,46.7192,541.7872,0.0448,-0.2199,0.0296,0.9740,1880.0000,1807.0000,1733.0000,-14.0283,-8.1360,,
0.2160,354,0,-228.8854,14.7202,562.6265,-233.9651,46.7192,541.7872,0.0448,-0.2199,0.0296,0.9740,1880.0000,1797.0000,1733.0000,-14.0283,-8.1360,,
0.2280,354,0,-227.2696,14.7015,562.3829,-232.1657,46.7291,541.5435,0.0438,-0.2166,0.0294,0.9748,1880.0000,1791.0000,1733.0000,-14.0283,-8.1360,,
0.2360,354,0,-223.1997,14.7265,561.7021,-228.2601,46.7285,540.8628,0.0439,-0.2144,0.0294,0.9753,1880.0000,1791.0000,1733.0000,-14.0283,-8.1360,,
0.2480,354,0,-223.1997,14.7265,561.7021,-228.2601,46.7285,540.8628,0.0439,-0.2144,0.0294,0.9753,1880.0000,1776.0000,1733.0000,-14.0314,-8.1343,,
0.2600,354,0,-221.3333,14.3698,562.4323,-226.2591,46.3928,541.5929,0.0475,-0.2137,0.0303,0.9753,1880.0000,1776.0000,1733.0000,-14.0408,-8.1290,,
0.2720,354,0,-217.3433,14.2498,561.6662,-222.2711,46.2725,540.8268,0.0459,-0.2083,0.0306,0.9765,1880.0000,1777.0000,1733.0000,-14.0408,-8.1290,,
0.2840,354,0,-215.1109,14.1428,561.2662,-220.2167,46.1376,540.4269,0.0443,-0.2074,0.0305,0.9768,1880.0000,1776.0000,1733.0000,-14.0408,-8.1290,,
0.2961,354,0,-215.1109,14.1428,561.2662,-220.2167,46.1376,540.4269,0.0443,-0.2074,0.0305,0.9768,1880.0000,1768.0000,1733.0000,-14.0408,-8.1290,,
0.3040,354,0,-213.0500,13.9199,560.9043,-217.9015,45.9543,540.0649,0.0448,-0.2065,0.0309,0.9769,1880.0000,1768.0000,1733.0000,-14.0501,-8.1237,,
0.3160,354,0,-213.0500,13.9199,560.9043,-217.9015,45.9543,540.0649,0.0448,-0.2065,0.0309,0.9769,1880.0000,1761.0000,1733.0000,-14.0782,-8.1034,,
0.3280,354,0,-209.3228,13.3216,559.8619,-214.7050,45.2711,539.0225,0.0438,-0.2041,0.0318,0.9775,1880.0000,1739.0000,1733.0000,-14.0883,-8.0950,,
0.3400,354,0,-205.6586,11.8918,558.6668,-210.7090,43.8954,537.8275,0.0437,-0.2012,0.0322,0.9780,1880.0000,1740.0000,1733.0000,-14.0883,-8.0950,,
0.3520,354,0,-203.9336,10.8406,558.7587,-208.9841,42.8442,537.9194,0.0442,-0.2009,0.0325,0.9781,1880.0000,1715.0000,1733.0000,-14.0976,-8.0854,,
0.3600,354,0,-203.9336,10.8406,558.7587,-208.9841,42.8442,537.9194,0.0442,-0.2009,0.0325,0.9781,1880.0000,1716.0000,1733.0000,-14.1008,-8.0836,,
0.3720,354,0,-201.8488,9.7836,558.3282,-207.3035,41.7208,537.4889,0.0414,-0.1995,0.0322,0.9785,1880.0000,1717.0000,1733.0000,-14.1101,-8.0783,,
0.3840,354,0,-201.8488,9.7836,558.3282,-207.3035,41.7208,537.4889,0.0414,-0.1995,0.0322,0.9785,1880.0000,1711.0000,1733.0000,-14.1163,-8.0748,,
0.3960,354,0,-198.6306,7.7169,557.0438,-203.8069,39.7004,536.2044,0.0403,-0.1952,0.0333,0.9794,1880.0000,1712.0000,1733.0000,-14.1234,-8.0638,,
0.4080,354,0,-195.3429,5.4085,555.4469,-200.5273,37.3907,534.6075,0.0389,-0.1905,0.0338,0.9803,1880.0000,1656.0000,1733.0000,-14.1273,-8.0589,,
0.4200,354,0,-193.7319,4.1975,555.6487,-198.9227,36.1787,534.8094,0.0400,-0.1923,0.0338,0.9799,1880.0000,1657.0000,1733.0000,-14.1304,-8.0572,,
0.4280,354,0,-193.7319,4.1975,555.6487,-198.9227,36.1787,534.8094,0.0400,-0.1923,0.0338,0.9799,1880.0000,1659.0000,1733.0000,-14.2021,-8.0122,,
0.4400,354,0,-192.5182,3.3286,554.4612,-197.6179,35.3244,533.6219,0.0383,-0.1880,0.0334,0.9809,1880.0000,1660.0000,1733.0000,-14.2240,-7.9955,,
0.4521,354,0,-189.7276,1.2253,552.5894,-194.8072,33.2243,531.7501,0.0379,-0.1880,0.0329,0.9809,1880.0000,1607.0000,1733.0000,-14.2193,-7.9928,,
0.4641,354,0,-189.7276,1.2253,552.5894,-194.8072,33.2243,531.7501,0.0379,-0.1880,0.0329,0.9809,1880.0000,1609.0000,1733.0000,-14.2349,-7.9840,,
0.4761,354,0,-188.1799,0.7565,552.3353,-193.2913,32.7505,531.4959,0.0360,-0.1892,0.0322,0.9808,1880.0000,1611.0000,1733.0000,-14.2723,-7.9627,,
0.4880,354,0,-185.1024,-0.3646,549.7036,-189.8927,31.6790,528.8642,0.0362,-0.1857,0.0335,0.9814,1880.0000,1559.0000,1733.0000,-14.6067,-7.7732,,
