{HEADER}
user_id: 555
target_id: 356
target_screen_position_mm: [23.88, 79.88]
fingertip_offset: [0.38, 31.82, 18.62]
completion_time: 5.7922
endpoint_error_mm: [-5.7064, -1.8605, -1.4012]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.588962, 13.114713, 10.996150, 7.193988]
control_points_accel: [4.166954, -5.695001, 0.024310, 1.503737]
stiffness_measurements: [0.117744, 0.160014, 0.221429, 0.099805]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,356,0,-83.1738,-129.8729,592.7684,-83.3383,-98.0471,574.1505,-0.0488,-0.0372,-0.0226,0.9979,1849.0000,1851.0000,1843.0000,17.0160,7.6327,,
0.0080,356,0,-83.1738,-129.8729,592.7684,-83.3383,-98.0471,574.1505,-0.0488,-0.0372,-0.0226,0.9979,1849.0000,1851.0000,1843.0000,17.0160,7.6327,,
0.0201,356,0,-84.0877,-128.0157,592.8953,-84.3965,-96.1909,574.2774,-0.0487,-0.0396,-0.0239,0.9977,1849.0000,1851.0000,1843.0000,17.0160,7.6327,,
0.0321,356,0,-86.3682,-125.1727,591.6185,-86.5255,-93.3469,573.0006,-0.0461,-0.0393,-0.0266,0.9978,1849.0000,1851.0000,1843.0000,17.0160,7.6359,,
0.0441,356,0,-86.3682,-125.1727,591.6185,-86.5255,-93.3469,573.0006,-0.0461,-0.0393,-0.0266,0.9978,1849.0000,1851.0000,1843.0000,17.0160,7.6359,,
0.0560,356,0,-87.0379,-123.1869,590.4717,-86.7893,-91.3617,571.8538,-0.0458,-0.0385,-0.0270,0.9978,1849.0000,1850.0000,1841.0000,17.0160,7.6359,,
0.0680,356,0,-87.6351,-120.2762,588.5714,-87.3975,-88.4508,569.9534,-0.0439,-0.0393,-0.0273,0.9979,1849.0000,1850.0000,1841.0000,17.0160,7.6359,,
0.0760,356,0,-87.6351,-120.2762,588.5714,-87.3975,-88.4508,569.9534,-0.0439,-0.0393,-0.0273,0.9979,1849.0000,1838.0000,1827.0000,17.0160,7.6359,,
0.0881,356,0,-86.9116,-118.7474,587.9944,-86.9612,-86.9212,569.3765,-0.0430,-0.0391,-0.0274,0.9979,1849.0000,1839.0000,1827.0000,17.0160,7.6327,,
0.1000,356,0,-86.9116,-118.7474,587.9944,-86.9612,-86.9212,569.3765,-0.0430,-0.0391,-0.0274,0.9979,1849.0000,1837.0000,1823.0000,17.0160,7.6327,,
0.1119,356,0,-86.0517,-116.9863,588.0290,-85.6858,-85.1622,569.4111,-0.0399,-0.0381,-0.0272,0.9981,1849.0000,1839.0000,1823.0000,17.0129,7.6345,,
0.1240,356,0,-83.9933,-115.6367,584.3247,-83.7641,-83.8113,565.7068,-0.0408,-0.0379,-0.0278,0.9981,1849.0000,1839.0000,1823.0000,17.0129,7.6345,,
0.1359,356,0,-83.9933,-115.6367,584.3247,-83.7641,-83.8113,565.7068,-0.0408,-0.0379,-0.0278,0.9981,1849.0000,1825.0000,1795.0000,17.0067,7.6380,,
0.1440,356,0,-82.9289,-115.5802,585.1747,-82.8559,-83.7540,566.5568,-0.0395,-0.0359,-0.0286,0.9982,1849.0000,1826.0000,1796.0000,16.9882,7.6453,,
0.1560,356,0,-82.9289,-115.5802,585.1747,-82.8559,-83.7540,566.5568,-0.0395,-0.0359,-0.0286,0.9982,1849.0000,1827.0000,1796.0000,16.9728,7.6477,,
0.1680,356,0,-79.9185,-115.0710,582.3130,-79.8323,-83.2449,563.6951,-0.0378,-0.0332,-0.0275,0.9984,1849.0000,1828.0000,1796.0000,16.9697,7.6494,,
0.1800,356,0,-76.9880,-115.0766,580.2110,-77.0608,-83.2505,561.5931,-0.0400,-0.0323,-0.0249,0.9984,1849.0000,1822.0000,1782.0000,16.9697,7.6494,,
0.1920,356,0,-76.9880,-115.0766,580.2110,-77.0608,-83.2505,561.5931,-0.0400,-0.0323,-0.0249,0.9984,1849.0000,1818.0000,1767.0000,16.9697,7.6494,,
0.2001,356,0,-74.8874,-115.1808,577.6541,-75.1087,-83.3553,559.0362,-0.0392,-0.0303,-0.0244,0.9985,1849.0000,1819.0000,1767.0000,16.9697,7.6462,,
0.2121,356,0,-71.1345,-115.4413,574.5302,-71.3292,-83.6156,555.9123,-0.0401,-0.0271,-0.0239,0.9985,1849.0000,1805.0000,1727.0000,16.9388,7.6574,,
0.2241,356,0,-71.1345,-115.4413,574.5302,-71.3292,-83.6156,555.9123,-0.0401,-0.0271,-0.0239,0.9985,1849.0000,1808.0000,1727.0000,16.9326,7.6545,,
0.2360,356,0,-68.5015,-115.3126,574.9164,-68.5671,-83.4865,556.2985,-0.0393,-0.0261,-0.0235,0.9986,1849.0000,1811.0000,1728.0000,16.9017,7.6561,,
0.2482,356,0,-64.5350,-115.0952,570.2904,-64.7485,-83.2697,551.6725,-0.0409,-0.0218,-0.0214,0.9987,1849.0000,1804.0000,1699.0000,16.8987,7.6547,,
0.2601,356,0,-64.5350,-115.0952,570.2904,-64.7485,-83.2697,551.6725,-0.0409,-0.0218,-0.0214,0.9987,1849.0000,1808.0000,1700.0000,16.8987,7.6483,,
0.2681,356,0,-62.8602,-115.0677,570.1630,-63.0901,-83.2423,551.5451,-0.0390,-0.0214,-0.0207,0.9988,1849.0000,1810.0000,1701.0000,16.8956,7.5960,,
0.2801,356,0,-62.8602,-115.0677,570.1630,-63.0901,-83.2423,551.5451,-0.0390,-0.0214,-0.0207,0.9988,1849.0000,1812.0000,1700.0000,16.8956,7.5482,,
0.2921,356,0,-60.4151,-115.0642,568.2783,-60.5068,-83.2381,549.6604,-0.0365,-0.0196,-0.0201,0.9989,1849.0000,1812.0000,1688.0000,16.8956,7.4335,,
0.3041,356,0,-58.5588,-114.3606,564.9165,-58.9188,-82.5364,546.2986,-0.0369,-0.0192,-0.0191,0.9990,1849.0000,1815.0000,1689.0000,16.8956,7.4016,,
0.3161,356,0,-58.5588,-114.3606,564.9165,-58.9188,-82.5364,546.2986,-0.0369,-0.0192,-0.0191,0.9990,1849.0000,1814.0000,1667.0000,16.8956,7.3953,,
0.3282,356,0,-58.0133,-113.1421,563.3588,-58.6352,-81.3219,544.7408,-0.0347,-0.0181,-0.0187,0.9991,1849.0000,1816.0000,1668.0000,16.8925,7.3811,,
0.3360,356,0,-58.0133,-113.1421,563.3588,-58.6352,-81.3219,544.7408,-0.0347,-0.0181,-0.0187,0.9991,1849.0000,1816.0000,1659.0000,16.8925,7.3715,,
0.3482,356,0,-56.7908,-110.6781,560.0560,-57.3046,-78.8561,541.4380,-0.0335,-0.0161,-0.0181,0.9991,1849.0000,1817.0000,1660.0000,16.8925,7.3460,,
0.3601,356,0,-54.0212,-110.3941,557.0026,-54.4019,-78.5702,538.3846,-0.0317,-0.0152,-0.0172,0.9992,1849.0000,1815.0000,1640.0000,16.8894,7.3222,,
0.3721,356,0,-52.7255,-109.3065,554.4236,-53.1000,-77.4825,535.8057,-0.0336,-0.0138,-0.0169,0.9992,1849.0000,1812.0000,1606.0000,16.8863,7.3176,,
0.3842,356,0,-52.7255,-109.3065,554.4236,-53.1000,-77.4825,535.8057,-0.0336,-0.0138,-0.0169,0.9992,1849.0000,1814.0000,1609.0000,16.8801,7.3115,,
0.3921,356,0,-51.2473,-108.1518,553.6179,-51.7553,-76.3296,535.0000,-0.0309,-0.0117,-0.0167,0.9993,1849.0000,1816.0000,1610.0000,16.8770,7.2747,,
0.4042,356,0,-51.2473,-108.1518,553.6179,-51.7553,-76.3296,535.0000,-0.0309,-0.0117,-0.0167,0.9993,1849.0000,1818.0000,1608.0000,16.8583,7.2322,,
0.4161,356,0,-50.5072,-107.8530,550.9464,-50.9013,-76.0292,532.3284,-0.0305,-0.0097,-0.0149,0.9994,1849.0000,1818.0000,1594.0000,16.6556,7.0024,,
0.4282,356,0,-48.9292,-106.8456,548.1276,-52.6574,-75.2385,529.5097,0.4792,0.2194,-0.1592,0.8348,1849.0000,1817.0000,1579.0000,16.5995,6.9355,,
0.4401,356,0,-48.9292,-106.8456,548.1276,-52.6574,-75.2385,529.5097,0.4792,0.2194,-0.1592,0.8348,1849.0000,1817.0000,1580.0000,16.5466,6.8032,,
0.4521,356,0,-48.0286,-106.0309,548.3577,-48.7012,-74.2118,529.7397,-0.0289,-0.0078,-0.0129,0.9995,1849.0000,1817.0000,1582.0000,16.5061,6.7163,,
0.4601,356,0,-48.0286,-106.0309,548.3577,-48.7012,-74.2118,529.7397,-0.0289,-0.0078,-0.0129,0.9995,1849.0000,1819.0000,1584.0000,16.5061,6.7163,,
