{HEADER}
user_id: 557
target_id: 166
target_screen_position_mm: [-183.92, -15.92]
fingertip_offset: [2.22, 32.55, 20.53]
completion_time: 3.8833
endpoint_error_mm: [1.3821, -4.3799, 3.9532]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.080284, 10.094810, 11.601222, 6.393821]
control_points_accel: [1.905966, -0.799570, -4.806690, 3.700294]
stiffness_measurements: [0.281301, 0.389743, 0.154518, 0.363417]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,166,0,-169.0902,38.9679,519.0589,-168.7727,71.5955,498.5323,-0.0349,0.0456,-0.0337,0.9978,1852.0000,1820.0000,1854.0000,12.4737,2.9282,,
0.0123,166,0,-170.2548,39.0096,518.3511,-170.2770,71.6388,497.8245,-0.0328,0.0451,-0.0350,0.9978,1852.0000,1820.0000,1854.0000,12.4737,2.9282,,
0.0211,166,0,-170.2548,39.0096,518.3511,-170.2770,71.6388,497.8245,-0.0328,0.0451,-0.0350,0.9978,1852.0000,1820.0000,1854.0000,12.4737,2.9282,,
0.0310,166,0,-171.7303,38.9566,518.3719,-171.2797,71.5827,497.8453,-0.0337,0.0444,-0.0359,0.9978,1852.0000,1820.0000,1854.0000,12.4737,2.9282,,
0.0430,166,0,-171.7303,38.9566,518.3719,-171.2797,71.5827,497.8453,-0.0337,0.0444,-0.0359,0.9978,1852.0000,1820.0000,1854.0000,12.4769,2.9264,,
0.0551,166,0,-172.9082,39.4735,517.7084,-172.5689,72.1009,497.1818,-0.0331,0.0434,-0.0361,0.9979,1852.0000,1820.0000,1854.0000,12.4769,2.9237,,
0.0670,166,0,-172.6145,40.5844,517.2932,-172.5291,73.2135,496.7666,-0.0321,0.0446,-0.0350,0.9979,1852.0000,1820.0000,1854.0000,12.4741,2.8982,,
0.0789,166,0,-172.6145,40.5844,517.2932,-172.5291,73.2135,496.7666,-0.0321,0.0446,-0.0350,0.9979,1852.0000,1820.0000,1854.0000,12.4741,2.7861,,
0.0879,166,0,-172.4096,41.0443,516.8196,-172.1878,73.6727,496.2930,-0.0321,0.0441,-0.0349,0.9979,1852.0000,1820.0000,1854.0000,12.4741,2.7408,,
0.0991,166,0,-172.4096,41.0443,516.8196,-172.1878,73.6727,496.2930,-0.0321,0.0441,-0.0349,0.9979,1852.0000,1820.0000,1854.0000,12.4741,2.7381,,
0.1113,166,0,-171.0436,42.3478,515.6925,-170.5633,74.9734,495.1659,-0.0315,0.0446,-0.0352,0.9979,1852.0000,1820.0000,1854.0000,12.4741,2.7408,,
0.1233,166,0,-169.8200,45.8374,517.1697,-168.0788,78.4201,496.6431,0.2083,-0.3581,0.0352,0.9095,1852.0000,1820.0000,1854.0000,12.4741,2.7408,,
0.1353,166,0,-169.8200,45.8374,517.1697,-168.0788,78.4201,496.6431,0.2083,-0.3581,0.0352,0.9095,1852.0000,1820.0000,1854.0000,12.4710,2.7399,,
0.1470,166,0,-168.4007,46.9761,516.0148,-168.1952,79.6047,495.4883,-0.0279,0.0457,-0.0333,0.9980,1852.0000,1820.0000,1854.0000,12.4710,2.7426,,
0.1566,166,0,-167.4709,46.2659,515.7585,-167.2654,78.8944,495.2319,-0.0286,0.0472,-0.0334,0.9979,1852.0000,1820.0000,1854.0000,12.4710,2.7399,,
