{HEADER}
user_id: 557
target_id: 349
target_screen_position_mm: [-88.11, 79.88]
fingertip_offset: [2.22, 32.55, 20.53]
completion_time: 5.4755
endpoint_error_mm: [-3.2509, -8.9141, 4.6528]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.080284, 10.094810, 11.601222, 6.393821]
control_points_accel: [1.905966, -0.799570, -4.806690, 3.700294]
stiffness_measurements: [0.281301, 0.389743, 0.154518, 0.363417]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,349,0,-33.3796,-64.0413,626.0232,-33.4865,-31.4123,605.4966,-0.0283,0.0188,-0.0299,0.9990,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
0.0121,349,0,-32.6116,-64.4344,624.0990,-33.0176,-31.8077,603.5724,-0.0285,0.0185,-0.0302,0.9990,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
0.0239,349,0,-32.6116,-64.4344,624.0990,-33.0176,-31.8077,603.5724,-0.0285,0.0185,-0.0302,0.9990,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
0.0358,349,0,-32.0862,-64.0834,625.6588,-32.5085,-31.4569,605.1323,-0.0280,0.0173,-0.0300,0.9990,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
0.0444,349,0,-31.7580,-63.6295,624.2988,-32.3472,-31.0056,603.7723,-0.0316,0.0194,-0.0295,0.9989,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
0.0554,349,0,-31.7580,-63.6295,624.2988,-32.3472,-31.0056,603.7723,-0.0316,0.0194,-0.0295,0.9989,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
0.0677,349,0,-31.7753,-63.3479,624.1785,-32.2058,-30.7215,603.6520,-0.0286,0.0197,-0.0295,0.9990,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
0.0796,349,0,-31.4545,-62.0617,624.3356,-32.1961,-29.4410,603.8091,-0.0289,0.0204,-0.0294,0.9989,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
0.0917,349,0,-31.4545,-62.0617,624.3356,-32.1961,-29.4410,603.8091,-0.0289,0.0204,-0.0294,0.9989,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
0.1041,349,0,-31.8593,-61.5786,624.3151,-31.9605,-28.9495,603.7885,-0.0280,0.0204,-0.0298,0.9990,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
0.1127,349,0,-31.8503,-60.2937,623.1523,-31.9657,-27.6647,602.6257,-0.0284,0.0186,-0.0311,0.9989,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
0.1237,349,0,-31.8503,-60.2937,623.1523,-31.9657,-27.6647,602.6257,-0.0284,0.0186,-0.0311,0.9989,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
0.1356,349,0,-32.9053,-60.0322,625.3673,-27.6254,-27.8330,604.8408,0.1616,-0.3325,-0.0906,0.9247,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
0.1476,349,0,-32.5637,-58.7670,625.3668,-33.4947,-26.1511,604.8402,0.4849,-0.2468,0.1371,0.8278,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
0.1598,349,0,-32.5637,-58.7670,625.3668,-33.4947,-26.1511,604.8402,0.4849,-0.2468,0.1371,0.8278,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
0.1717,349,0,-33.3681,-58.3137,625.4185,-33.6713,-25.6859,604.8920,-0.0261,0.0212,-0.0317,0.9989,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
0.1803,349,0,-33.3681,-58.3137,625.4185,-33.6713,-25.6859,604.8920,-0.0261,0.0212,-0.0317,0.9989,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
0.1917,349,0,-33.6791,-57.3713,624.3914,-33.7952,-24.7423,603.8649,-0.0276,0.0201,-0.0334,0.9989,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
0.2036,349,0,-35.1802,-56.5343,624.7900,-35.0000,-23.9056,604.2635,-0.0256,0.0223,-0.0343,0.9988,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
0.2156,349,0,-34.7143,-55.8568,622.3005,-34.5319,-23.2281,601.7740,-0.0268,0.0202,-0.0348,0.9988,1847.0000,1814.0000,1854.0000,11.2145,6.9207,,
