{HEADER}
user_id: 558
target_id: 110
target_screen_position_mm: [-119.96, -48.04]
fingertip_offset: [4.77, 32.92, 22.47]
completion_time: 4.7759
endpoint_error_mm: [-2.9527, -16.3410, -0.5672]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [11.518785, 8.800805, 9.492031, 10.986540]
control_points_accel: [-2.719680, 2.816329, -0.255444, 0.158794]
stiffness_measurements: [0.194895, 0.026543, 0.154207, 0.122753]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,110,0,-193.8251,16.2360,536.2617,-192.5731,49.4794,513.7935,-0.0460,-0.0329,-0.0587,0.9967,1806.0000,1794.0000,1857.0000,14.9488,20.3792,,
0.0126,110,0,-193.8251,16.2360,536.2617,-192.5731,49.4794,513.7935,-0.0460,-0.0329,-0.0587,0.9967,1827.0000,1770.0000,1857.0000,14.7643,20.2786,,
0.0213,110,0,-194.8032,15.0423,537.2535,-193.4299,48.2809,514.7852,-0.0453,-0.0329,-0.0596,0.9966,1829.0000,1738.0000,1857.0000,14.1755,19.9567,,
0.0322,110,0,-194.8032,15.0423,537.2535,-193.4299,48.2809,514.7852,-0.0453,-0.0329,-0.0596,0.9966,1831.0000,1702.0000,1857.0000,12.4187,19.1567,,
0.0436,110,0,-196.8986,13.4228,539.9066,-195.4285,46.6573,517.4384,-0.0461,-0.0359,-0.0616,0.9964,1834.0000,1673.0000,1857.0000,10.5975,18.5836,,
0.0558,110,0,-197.7984,11.9697,543.3348,-195.9502,45.1853,520.8666,-0.0467,-0.0353,-0.0647,0.9962,1834.0000,1644.0000,1857.0000,9.8067,18.4675,,
0.0677,110,0,-197.7984,11.9697,543.3348,-195.9502,45.1853,520.8666,-0.0467,-0.0353,-0.0647,0.9962,1836.0000,1621.0000,1857.0000,7.8160,18.5324,,
0.0767,110,0,-189.7096,14.3605,547.4927,-187.7623,47.5704,525.0245,-0.0438,-0.0298,-0.0685,0.9962,1837.0000,1606.0000,1857.0000,7.0393,18.6488,,
0.0879,110,0,-167.5383,29.5467,559.0477,-167.1560,62.8115,536.5795,-0.0384,-0.0142,-0.0453,0.9981,1837.0000,1595.0000,1857.0000,6.8425,18.7169,,
0.0999,110,0,-167.5383,29.5467,559.0477,-167.1560,62.8115,536.5795,-0.0384,-0.0142,-0.0453,0.9981,1837.0000,1591.0000,1857.0000,6.7886,18.7942,,
0.1119,110,0,-158.0446,29.4791,564.5479,-158.3524,62.7446,542.0797,-0.0419,-0.0082,-0.0360,0.9984,1837.0000,1587.0000,1857.0000,6.7704,18.8079,,
0.1241,110,0,-151.4681,24.5713,569.5181,-151.3733,57.8381,547.0499,-0.0450,-0.0023,-0.0377,0.9983,1837.0000,1587.0000,1857.0000,6.6998,18.8478,,
0.1360,110,0,-151.4681,24.5713,569.5181,-151.3733,57.8381,547.0499,-0.0450,-0.0023,-0.0377,0.9983,1837.0000,1589.0000,1857.0000,6.6686,18.8622,,
0.1446,110,0,-153.0197,24.2667,570.8562,-152.8762,57.5333,548.3879,-0.0444,-0.0023,-0.0414,0.9982,1837.0000,1589.0000,1857.0000,6.6686,18.8622,,
0.1558,110,0,-153.0197,24.2667,570.8562,-152.8762,57.5333,548.3879,-0.0444,-0.0023,-0.0414,0.9982,1837.0000,1590.0000,1857.0000,6.6722,18.8602,,
0.1679,110,0,-155.2538,23.6399,571.3488,-154.9916,56.9058,548.8806,-0.0436,-0.0046,-0.0475,0.9979,1837.0000,1590.0000,1857.0000,6.6722,18.8602,,
0.1799,110,0,-154.5675,23.6624,572.1042,-154.1130,56.9262,549.6360,-0.0451,-0.0050,-0.0438,0.9980,1837.0000,1590.0000,1857.0000,6.6722,18.8602,,
0.1920,110,0,-154.5675,23.6624,572.1042,-154.1130,56.9262,549.6360,-0.0451,-0.0050,-0.0438,0.9980,1837.0000,1590.0000,1857.0000,6.6722,18.8602,,
0.2006,110,0,-155.0907,23.9121,573.5472,-154.5218,57.1742,551.0789,-0.0459,-0.0056,-0.0439,0.9980,1837.0000,1590.0000,1857.0000,6.6722,18.8602,,
0.2119,110,0,-155.7935,22.4765,573.9514,-155.4891,55.7421,551.4832,-0.0452,-0.0049,-0.0473,0.9978,1837.0000,1590.0000,1857.0000,6.6516,18.8685,,
0.2241,110,0,-155.7935,22.4765,573.9514,-155.4891,55.7421,551.4832,-0.0452,-0.0049,-0.0473,0.9978,1837.0000,1590.0000,1857.0000,6.6057,18.8919,,
0.2359,110,0,-155.5107,21.9329,574.1193,-154.9344,55.1949,551.6511,-0.0447,-0.0066,-0.0482,0.9978,1837.0000,1590.0000,1857.0000,6.5675,18.9102,,
0.2479,110,0,-154.9026,20.8700,575.0483,-154.3083,54.1316,552.5800,-0.0457,-0.0050,-0.0482,0.9978,1837.0000,1589.0000,1857.0000,6.5021,18.9372,,
0.2599,110,0,-154.9026,20.8700,575.0483,-154.3083,54.1316,552.5800,-0.0457,-0.0050,-0.0482,0.9978,1837.0000,1589.0000,1857.0000,6.4921,18.9396,,
0.2689,110,0,-154.5962,20.2398,575.9015,-154.0409,53.5021,553.4332,-0.0481,-0.0057,-0.0482,0.9977,1837.0000,1589.0000,1857.0000,6.4886,18.9389,,
0.2801,110,0,-154.5962,20.2398,575.9015,-154.0409,53.5021,553.4332,-0.0481,-0.0057,-0.0482,0.9977,1837.0000,1590.0000,1857.0000,6.4745,18.9469,,
0.2920,110,0,-152.6629,18.5808,575.9565,-151.7775,51.8359,553.4882,-0.0480,-0.0026,-0.0499,0.9976,1837.0000,1590.0000,1857.0000,6.4468,18.9593,,
0.3039,110,0,-151.7807,18.6519,577.0483,-151.0289,51.9104,554.5801,-0.0459,-0.0025,-0.0503,0.9977,1837.0000,1590.0000,1857.0000,6.4338,18.9599,,
0.3158,110,0,-151.7807,18.6519,577.0483,-151.0289,51.9104,554.5801,-0.0459,-0.0025,-0.0503,0.9977,1837.0000,1591.0000,1857.0000,6.4103,18.9440,,
0.3282,110,0,-151.2235,18.5915,577.5079,-150.3153,51.8460,555.0396,-0.0476,-0.0023,-0.0507,0.9976,1837.0000,1592.0000,1857.0000,6.3720,18.9196,,
0.3368,110,0,-151.2235,18.5915,577.5079,-150.3153,51.8460,555.0396,-0.0476,-0.0023,-0.0507,0.9976,1837.0000,1592.0000,1857.0000,6.3190,18.8870,,
0.3489,110,0,-149.8788,18.8853,576.7858,-149.1282,52.1437,554.3175,-0.0456,-0.0021,-0.0522,0.9976,1837.0000,1593.0000,1857.0000,6.2602,18.8510,,
0.3599,110,0,-147.6261,20.0697,576.1882,-146.4742,53.3167,553.7200,-0.0453,-0.0007,-0.0524,0.9976,1837.0000,1594.0000,1857.0000,6.2484,18.8417,,
0.3719,110,0,-147.6261,20.0697,576.1882,-146.4742,53.3167,553.7200,-0.0453,-0.0007,-0.0524,0.9976,1837.0000,1595.0000,1857.0000,6.2161,18.8182,,
0.3840,110,0,-147.0934,21.1066,577.9396,-146.2162,54.3619,555.4713,-0.0461,0.0010,-0.0526,0.9976,1837.0000,1596.0000,1857.0000,6.2014,18.8072,,
0.3926,110,0,-147.0934,21.1066,577.9396,-146.2162,54.3619,555.4713,-0.0461,0.0010,-0.0526,0.9976,1837.0000,1597.0000,1857.0000,6.1455,18.7677,,
0.4039,110,0,-142.8516,22.9661,575.3138,-142.0021,56.2222,552.8455,-0.0440,0.0003,-0.0519,0.9977,1837.0000,1598.0000,1857.0000,6.0457,18.7058,,
0.4161,110,0,-140.6090,24.4547,573.5884,-139.8766,57.7135,551.1201,-0.0426,0.0031,-0.0513,0.9978,1837.0000,1600.0000,1857.0000,5.9811,18.6614,,
0.4279,110,0,-140.6090,24.4547,573.5884,-139.8766,57.7135,551.1201,-0.0426,0.0031,-0.0513,0.9978,1837.0000,1602.0000,1857.0000,5.9517,18.6369,,
0.4398,110,0,-140.2561,25.3315,574.1412,-139.4006,58.5875,551.6729,-0.0422,0.0055,-0.0513,0.9978,1837.0000,1604.0000,1857.0000,5.9517,18.6369,,
0.4517,110,0,-137.8316,28.2113,572.8932,-137.1094,61.4704,550.4249,-0.0420,0.0053,-0.0507,0.9978,1837.0000,1605.0000,1857.0000,5.9517,18.6369,,
0.4603,110,0,-137.8316,28.2113,572.8932,-137.1094,61.4704,550.4249,-0.0420,0.0053,-0.0507,0.9978,1837.0000,1607.0000,1857.0000,5.9517,18.6369,,
