{HEADER}
user_id: 558
target_id: 204
target_screen_position_mm: [-56.00, 0.00]
fingertip_offset: [4.77, 32.92, 22.47]
completion_time: 5.4639
endpoint_error_mm: [0.8325, -15.6519, -3.3886]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [11.518785, 8.800805, 9.492031, 10.986540]
control_points_accel: [-2.719680, 2.816329, -0.255444, 0.158794]
stiffness_measurements: [0.194895, 0.026543, 0.154207, 0.122753]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,204,0,-59.9272,48.2755,587.8132,-63.7430,81.3229,565.3449,-0.0111,-0.0051,0.0163,0.9998,1848.0000,1806.0000,1854.0000,7.4598,9.2034,,
0.0088,204,0,-61.2212,46.3474,588.9363,-65.0478,79.3935,566.4681,-0.0099,-0.0060,0.0180,0.9998,1848.0000,1806.0000,1854.0000,7.4598,9.2008,,
0.0199,204,0,-61.2212,46.3474,588.9363,-65.0478,79.3935,566.4681,-0.0099,-0.0060,0.0180,0.9998,1848.0000,1806.0000,1854.0000,7.4598,9.1954,,
0.0320,204,0,-60.5898,42.7030,590.8189,-64.5502,75.7334,568.3506,-0.0127,-0.0066,0.0210,0.9997,1848.0000,1806.0000,1854.0000,7.4626,9.1970,,
0.0439,204,0,-60.8648,38.6263,592.2659,-65.3022,71.5959,569.7977,-0.0148,-0.0062,0.0232,0.9996,1848.0000,1806.0000,1854.0000,7.4626,9.1970,,
0.0559,204,0,-61.7583,36.4947,593.9314,-66.2007,69.4637,571.4631,-0.0165,-0.0065,0.0248,0.9995,1848.0000,1806.0000,1854.0000,7.4558,9.2008,,
0.0677,204,0,-61.7583,36.4947,593.9314,-66.2007,69.4637,571.4631,-0.0165,-0.0065,0.0248,0.9995,1848.0000,1806.0000,1854.0000,7.4524,9.2028,,
0.0763,204,0,-61.4779,34.0004,594.3433,-65.7539,66.9914,571.8750,-0.0157,-0.0066,0.0254,0.9995,1848.0000,1806.0000,1854.0000,7.4152,9.2238,,
0.0878,204,0,-61.4779,34.0004,594.3433,-65.7539,66.9914,571.8750,-0.0157,-0.0066,0.0254,0.9995,1848.0000,1805.0000,1854.0000,7.3814,9.2430,,
0.0998,204,0,-62.3957,29.9884,594.1205,-67.1367,62.9158,571.6523,-0.0177,-0.0087,0.0264,0.9995,1848.0000,1805.0000,1854.0000,7.3679,9.2507,,
