{HEADER}
user_id: 558
target_id: 341
target_screen_position_mm: [216.03, 63.96]
fingertip_offset: [4.48, 32.26, 22.12]
completion_time: 5.8601
endpoint_error_mm: [6.5422, -10.7234, 1.7774]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.596215, 15.924016, 15.873529, 6.328770]
control_points_accel: [3.552359, -4.353565, -6.511649, 7.312855]
stiffness_measurements: [0.152226, 0.273656, 0.113171, 0.157294]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,341,0,144.2888,-44.3992,646.0239,138.1265,-12.4134,623.9048,-0.0072,-0.0273,0.0639,0.9976,1839.0000,1801.0000,1854.0000,9.4107,11.8607,,
0.0092,341,0,143.4138,-43.5153,644.6750,137.3011,-11.5200,622.5560,-0.0060,-0.0289,0.0633,0.9976,1839.0000,1801.0000,1854.0000,9.4107,11.8607,,
0.0200,341,0,142.7273,-41.6078,646.1658,136.2753,-9.6792,624.0468,0.0755,0.3155,0.0555,0.9443,1839.0000,1801.0000,1854.0000,9.4107,11.8580,,
0.0319,341,0,142.7273,-41.6078,646.1658,136.2753,-9.6792,624.0468,0.0755,0.3155,0.0555,0.9443,1839.0000,1801.0000,1854.0000,9.4107,11.8580,,
0.0437,341,0,142.3978,-40.6094,645.6351,136.4262,-8.5875,623.5161,-0.0073,-0.0300,0.0596,0.9977,1839.0000,1801.0000,1854.0000,9.4107,11.8580,,
0.0559,341,0,141.7347,-39.4567,642.8805,135.4764,-7.4895,620.7615,-0.0070,-0.0295,0.0597,0.9978,1839.0000,1801.0000,1854.0000,9.4107,11.8580,,
0.0678,341,0,141.7347,-39.4567,642.8805,135.4764,-7.4895,620.7615,-0.0070,-0.0295,0.0597,0.9978,1839.0000,1801.0000,1854.0000,9.4107,11.8607,,
0.0767,341,0,141.7306,-39.1206,641.9968,135.6506,-7.1191,619.8778,-0.0071,-0.0290,0.0597,0.9978,1839.0000,1801.0000,1854.0000,9.4107,11.8607,,
0.0879,341,0,141.7306,-39.1206,641.9968,135.6506,-7.1191,619.8778,-0.0071,-0.0290,0.0597,0.9978,1839.0000,1801.0000,1854.0000,9.4107,11.8634,,
0.0998,341,0,142.4592,-37.8048,639.7795,136.5035,-5.7799,617.6605,-0.0071,-0.0282,0.0598,0.9978,1839.0000,1801.0000,1854.0000,9.4107,11.8634,,
0.1123,341,0,143.7487,-37.6006,637.8286,137.7956,-5.5752,615.7096,-0.0037,-0.0274,0.0600,0.9978,1839.0000,1801.0000,1854.0000,9.4107,11.8607,,
0.1239,341,0,143.7487,-37.6006,637.8286,137.7956,-5.5752,615.7096,-0.0037,-0.0274,0.0600,0.9978,1839.0000,1801.0000,1854.0000,9.4107,11.8634,,
0.1359,341,0,144.8870,-36.8442,636.3243,139.1105,-4.7865,614.2053,-0.0065,-0.0269,0.0594,0.9979,1839.0000,1801.0000,1854.0000,9.4107,11.8607,,
0.1445,341,0,146.9785,-36.0114,633.7605,141.0414,-3.9830,611.6415,-0.0050,-0.0259,0.0593,0.9979,1833.0000,1801.0000,1853.0000,9.4107,11.8607,,
0.1559,341,0,146.9785,-36.0114,633.7605,141.0414,-3.9830,611.6415,-0.0050,-0.0259,0.0593,0.9979,1833.0000,1801.0000,1854.0000,9.4107,11.8607,,
0.1679,341,0,148.6462,-35.7048,633.4157,142.4546,-3.7247,611.2967,-0.0044,-0.0259,0.0588,0.9979,1830.0000,1801.0000,1853.0000,9.4107,11.8607,,
0.1799,341,0,150.7786,-33.2324,630.1498,145.0682,-1.1629,608.0308,-0.0048,-0.0256,0.0562,0.9981,1799.0000,1801.0000,1852.0000,9.4107,11.8634,,
0.1920,341,0,150.7786,-33.2324,630.1498,145.0682,-1.1629,608.0308,-0.0048,-0.0256,0.0562,0.9981,1799.0000,1801.0000,1853.0000,9.4107,11.8634,,
0.2005,341,0,151.7090,-31.8735,628.3001,146.1335,0.2198,606.1811,-0.0049,-0.0238,0.0544,0.9982,1780.0000,1801.0000,1852.0000,9.4107,11.8634,,
0.2119,341,0,154.9460,-31.0282,623.8149,149.6850,1.1181,601.6959,-0.0030,-0.0218,0.0529,0.9984,1736.0000,1801.0000,1852.0000,9.4107,11.8634,,
0.2249,341,0,154.9460,-31.0282,623.8149,149.6850,1.1181,601.6959,-0.0030,-0.0218,0.0529,0.9984,1734.0000,1801.0000,1852.0000,9.4136,11.8650,,
0.2360,341,0,157.1611,-30.9682,622.9078,151.6012,1.1278,600.7888,-0.0019,-0.0208,0.0533,0.9984,1724.0000,1801.0000,1853.0000,9.4224,11.8700,,
0.2480,341,0,161.3329,-31.1838,617.0338,155.9443,0.9414,594.9147,-0.0027,-0.0176,0.0544,0.9984,1662.0000,1801.0000,1853.0000,9.4224,11.8700,,
0.2599,341,0,161.3329,-31.1838,617.0338,155.9443,0.9414,594.9147,-0.0027,-0.0176,0.0544,0.9984,1659.0000,1801.0000,1853.0000,9.4224,11.8700,,
0.2685,341,0,164.2352,-30.8818,615.7514,158.2836,1.1439,593.6324,0.1985,0.2831,0.0809,0.9348,1644.0000,1801.0000,1853.0000,9.4718,11.8980,,
0.2799,341,0,164.2352,-30.8818,615.7514,158.2836,1.1439,593.6324,0.1985,0.2831,0.0809,0.9348,1641.0000,1801.0000,1854.0000,9.5621,11.9519,,
0.2919,341,0,167.7732,-30.1331,608.7402,162.0982,1.9427,586.6212,-0.0026,-0.0115,0.0535,0.9985,1564.0000,1801.0000,1854.0000,9.6320,11.9915,,
0.3037,341,0,171.9672,-30.0965,604.1943,166.3277,1.9856,582.0753,-0.0021,-0.0104,0.0525,0.9986,1509.0000,1801.0000,1854.0000,9.8649,12.1461,,
0.3160,341,0,171.9672,-30.0965,604.1943,166.3277,1.9856,582.0753,-0.0021,-0.0104,0.0525,0.9986,1503.0000,1801.0000,1854.0000,9.9935,12.2189,,
0.3281,341,0,174.2033,-31.0334,602.9114,168.5649,1.0489,580.7924,-0.0014,-0.0103,0.0527,0.9986,1482.0000,1801.0000,1854.0000,10.6025,12.5734,,
0.3375,341,0,176.9135,-33.8814,596.4225,171.7482,-1.7195,574.3035,-0.0039,-0.0062,0.0536,0.9985,1404.0000,1801.0000,1854.0000,10.9972,12.8012,,
0.3479,341,0,176.9135,-33.8814,596.4225,171.7482,-1.7195,574.3035,-0.0039,-0.0062,0.0536,0.9985,1399.0000,1801.0000,1854.0000,11.1329,12.8807,,
