{HEADER}
user_id: 788
target_id: 354
target_screen_position_mm: [-7.96, 79.88]
fingertip_offset: [0, 0, 0]
completion_time: 13.2320
endpoint_error_mm: [-14.3671, -24.6025, 50.7887]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: []
control_points_radius: []
control_points_accel: []
stiffness_measurements: []
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,354,0,-136.4293,-176.2069,1159.2433,-136.4293,-176.2069,1159.2433,0.0148,-0.1219,-0.1928,0.9735,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.0126,354,0,-136.4293,-176.2069,1159.2433,-136.4293,-176.2069,1159.2433,0.0148,-0.1219,-0.1928,0.9735,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.0243,354,0,-137.9793,-176.0604,1158.5605,-137.9793,-176.0604,1158.5605,0.0140,-0.1138,-0.1950,0.9741,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.0330,354,0,-138.4843,-174.7198,1161.2699,-138.4843,-174.7198,1161.2699,0.0195,-0.1168,-0.1947,0.9737,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.0440,354,0,-138.4843,-174.7198,1161.2699,-138.4843,-174.7198,1161.2699,0.0195,-0.1168,-0.1947,0.9737,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.0559,354,0,-137.6756,-174.2329,1161.4043,-137.6756,-174.2329,1161.4043,0.0166,-0.1201,-0.1944,0.9734,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.0678,354,0,-137.4557,-173.3237,1160.3022,-137.4557,-173.3237,1160.3022,0.0176,-0.1214,-0.1942,0.9733,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.0798,354,0,-137.4557,-173.3237,1160.3022,-137.4557,-173.3237,1160.3022,0.0176,-0.1214,-0.1942,0.9733,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.0920,354,0,-137.5398,-173.4568,1159.1749,-137.5398,-173.4568,1159.1749,0.0153,-0.1180,-0.1952,0.9735,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.1018,354,0,-136.6451,-171.7757,1156.0283,-136.6451,-171.7757,1156.0283,0.0128,-0.1166,-0.1957,0.9736,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.1119,354,0,-136.6451,-171.7757,1156.0283,-136.6451,-171.7757,1156.0283,0.0128,-0.1166,-0.1957,0.9736,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.1239,354,0,-136.4641,-172.0998,1159.9846,-136.4641,-172.0998,1159.9846,0.0180,-0.1172,-0.1949,0.9736,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.1359,354,0,-137.1642,-171.3200,1161.8124,-137.1642,-171.3200,1161.8124,0.0243,-0.1194,-0.1939,0.9734,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.1479,354,0,-137.1642,-171.3200,1161.8124,-137.1642,-171.3200,1161.8124,0.0243,-0.1194,-0.1939,0.9734,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.1566,354,0,-137.2403,-171.4186,1159.0299,-137.2403,-171.4186,1159.0299,0.0188,-0.1150,-0.1963,0.9736,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.1677,354,0,-136.3256,-170.9752,1159.5969,-136.3256,-170.9752,1159.5969,0.0170,-0.1156,-0.1966,0.9735,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.1798,354,0,-136.3256,-170.9752,1159.5969,-136.3256,-170.9752,1159.5969,0.0170,-0.1156,-0.1966,0.9735,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.1919,354,0,-136.9124,-171.7760,1161.8650,-136.9124,-171.7760,1161.8650,0.0185,-0.1118,-0.1972,0.9738,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.2039,354,0,-136.3596,-171.9047,1159.9170,-136.3596,-171.9047,1159.9170,0.0217,-0.1161,-0.1961,0.9734,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.2159,354,0,-136.3596,-171.9047,1159.9170,-136.3596,-171.9047,1159.9170,0.0217,-0.1161,-0.1961,0.9734,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.2245,354,0,-135.8318,-171.8280,1161.6869,-135.8318,-171.8280,1161.6869,0.0268,-0.1217,-0.1947,0.9729,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.2357,354,0,-137.1516,-171.4666,1161.6456,-137.1516,-171.4666,1161.6456,0.0310,-0.1223,-0.1939,0.9729,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.2481,354,0,-137.1516,-171.4666,1161.6456,-137.1516,-171.4666,1161.6456,0.0310,-0.1223,-0.1939,0.9729,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.2599,354,0,-136.3658,-169.9780,1157.7841,-136.3658,-169.9780,1157.7841,0.0217,-0.1226,-0.1963,0.9726,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.2719,354,0,-138.0890,-168.8022,1160.1260,-138.0890,-168.8022,1160.1260,0.0257,-0.1196,-0.1974,0.9726,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.2839,354,0,-138.0102,-168.5565,1161.3322,-138.0102,-168.5565,1161.3322,0.0276,-0.1152,-0.1980,0.9730,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.2924,354,0,-138.0102,-168.5565,1161.3322,-138.0102,-168.5565,1161.3322,0.0276,-0.1152,-0.1980,0.9730,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.3040,354,0,-137.4416,-167.5687,1158.7806,-137.4416,-167.5687,1158.7806,0.0215,-0.1229,-0.1970,0.9724,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.3161,354,0,-137.4416,-167.5687,1158.7806,-137.4416,-167.5687,1158.7806,0.0215,-0.1229,-0.1970,0.9724,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.3281,354,0,-137.6789,-168.0343,1157.3914,-137.6789,-168.0343,1157.3914,0.0237,-0.1163,-0.1970,0.9732,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.3399,354,0,-138.5176,-167.5450,1159.7921,-138.5176,-167.5450,1159.7921,0.0240,-0.1177,-0.1970,0.9730,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.3485,354,0,-138.5176,-167.5450,1159.7921,-138.5176,-167.5450,1159.7921,0.0240,-0.1177,-0.1970,0.9730,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.3598,354,0,-138.3667,-166.6650,1160.7690,-138.3667,-166.6650,1160.7690,0.0250,-0.1177,-0.1981,0.9728,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.3718,354,0,-138.1921,-165.3616,1160.0992,-138.1921,-165.3616,1160.0992,0.0307,-0.1191,-0.1973,0.9726,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.3840,354,0,-137.5940,-163.8616,1155.6149,-137.5940,-163.8616,1155.6149,0.0215,-0.1176,-0.1980,0.9729,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.3959,354,0,-137.5940,-163.8616,1155.6149,-137.5940,-163.8616,1155.6149,0.0215,-0.1176,-0.1980,0.9729,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.4078,354,0,-137.6281,-163.2950,1158.0404,-137.6281,-163.2950,1158.0404,0.0254,-0.1179,-0.1974,0.9729,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.4164,354,0,-137.3273,-161.0918,1158.5629,-137.3273,-161.0918,1158.5629,0.0244,-0.1185,-0.1960,0.9731,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.4279,354,0,-137.3273,-161.0918,1158.5629,-137.3273,-161.0918,1158.5629,0.0244,-0.1185,-0.1960,0.9731,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.4398,354,0,-135.8311,-160.3927,1159.7108,-135.8311,-160.3927,1159.7108,0.0310,-0.1207,-0.1956,0.9727,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.4519,354,0,-136.2552,-158.8883,1156.6393,-136.2552,-158.8883,1156.6393,0.0198,-0.1136,-0.1967,0.9736,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.4639,354,0,-136.2552,-158.8883,1156.6393,-136.2552,-158.8883,1156.6393,0.0198,-0.1136,-0.1967,0.9736,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.4761,354,0,-134.7389,-157.3265,1156.8134,-134.7389,-157.3265,1156.8134,0.0229,-0.1180,-0.1961,0.9732,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.4850,354,0,-135.4584,-156.5183,1157.0643,-135.4584,-156.5183,1157.0643,0.0261,-0.1096,-0.1963,0.9741,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.4958,354,0,-135.4584,-156.5183,1157.0643,-135.4584,-156.5183,1157.0643,0.0261,-0.1096,-0.1963,0.9741,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.5078,354,0,-135.2606,-156.1893,1156.8716,-135.2606,-156.1893,1156.8716,0.0308,-0.1169,-0.1952,0.9733,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.5199,354,0,-135.6938,-155.2421,1161.7831,-135.6938,-155.2421,1161.7831,0.0396,-0.1167,-0.1952,0.9730,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.5319,354,0,-135.6938,-155.2421,1161.7831,-135.6938,-155.2421,1161.7831,0.0396,-0.1167,-0.1952,0.9730,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.5403,354,0,-134.3771,-154.6525,1159.6678,-134.3771,-154.6525,1159.6678,0.0313,-0.1127,-0.1958,0.9737,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.5518,354,0,-132.1780,-152.6007,1152.0529,-132.1780,-152.6007,1152.0529,0.0167,-0.1156,-0.1966,0.9735,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
0.5638,354,0,-132.1780,-152.6007,1152.0529,-132.1780,-152.6007,1152.0529,0.0167,-0.1156,-0.1966,0.9735,2028.0000,2027.0000,2028.0000,-24.3643,3.2718,,
