{HEADER}
user_id: 789
target_id: 063
target_screen_position_mm: [40.08, -79.88]
fingertip_offset: [-1.99, 32.86, 20.26]
completion_time: 6.7311
endpoint_error_mm: [0.2128, 9.8113, 30.0783]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.166339, 14.558929, 12.456643, 8.418297]
control_points_accel: [3.646828, -5.379620, -0.353702, 2.086494]
stiffness_measurements: [0.175111, 0.116433, 0.156206, 0.181919]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,63,0,124.5060,80.9007,508.5535,123.2254,113.7958,488.2926,-0.0141,0.0657,-0.0089,0.9977,1860.0000,1772.0000,1706.0000,1.8741,3.1176,,
0.0115,63,0,122.8711,79.7029,510.8193,121.6643,112.6008,490.5584,-0.0167,0.0647,-0.0108,0.9977,1860.0000,1805.0000,1773.0000,1.8741,3.1176,,
0.0235,63,0,122.8711,79.7029,510.8193,121.6643,112.6008,490.5584,-0.0167,0.0647,-0.0108,0.9977,1807.0000,1809.0000,1807.0000,1.8541,3.0957,,
0.0359,63,0,122.2759,79.2701,511.0835,123.8688,112.1516,490.8225,-0.5742,0.3013,0.7285,-0.2208,1736.0000,1809.0000,1807.0000,1.8608,3.0986,,
0.0471,63,0,121.7836,77.8821,512.1835,120.8406,110.7886,491.9226,-0.0165,0.0652,-0.0130,0.9976,1687.0000,1809.0000,1807.0000,1.9105,3.1334,,
0.0562,63,0,121.7836,77.8821,512.1835,120.8406,110.7886,491.9226,-0.0165,0.0652,-0.0130,0.9976,1655.0000,1809.0000,1807.0000,2.1541,3.2715,,
0.0669,63,0,121.7320,77.6026,513.3445,120.7001,110.5065,493.0835,-0.0177,0.0656,-0.0139,0.9976,1623.0000,1809.0000,1807.0000,2.3011,3.3548,,
0.0789,63,0,121.0404,77.4187,513.4683,120.2124,110.3283,493.2073,-0.0167,0.0653,-0.0170,0.9976,1593.0000,1809.0000,1807.0000,2.7197,3.5920,,
0.0910,63,0,121.0404,77.4187,513.4683,120.2124,110.3283,493.2073,-0.0167,0.0653,-0.0170,0.9976,1569.0000,1809.0000,1807.0000,3.5115,4.0257,,
0.1031,63,0,120.7482,77.1240,514.2540,120.1103,110.0378,493.9930,-0.0177,0.0647,-0.0178,0.9976,1550.0000,1809.0000,1807.0000,3.7856,4.1811,,
0.1150,63,0,116.8733,75.3885,516.0564,116.4353,108.3056,495.7954,-0.0184,0.0620,-0.0196,0.9977,1534.0000,1809.0000,1807.0000,4.3575,4.5118,,
0.1239,63,0,116.8733,75.3885,516.0564,116.4353,108.3056,495.7954,-0.0184,0.0620,-0.0196,0.9977,1527.0000,1809.0000,1807.0000,4.5023,4.5939,,
0.1350,63,0,113.6627,74.9376,517.4529,113.2365,107.8549,497.1920,-0.0190,0.0590,-0.0219,0.9978,1519.0000,1809.0000,1807.0000,4.6823,4.6959,,
0.1470,63,0,105.6352,73.9155,520.5999,105.5722,106.8354,500.3390,-0.0197,0.0523,-0.0280,0.9980,1514.0000,1809.0000,1807.0000,4.8733,4.8042,,
0.1592,63,0,102.1385,73.8008,521.2578,102.1463,106.7208,500.9968,-0.0198,0.0510,-0.0311,0.9980,1514.0000,1809.0000,1807.0000,4.9379,4.8408,,
0.1710,63,0,102.1385,73.8008,521.2578,102.1463,106.7208,500.9968,-0.0198,0.0510,-0.0311,0.9980,1515.0000,1809.0000,1807.0000,5.1489,4.9599,,
0.1831,63,0,100.4776,73.7031,522.3293,100.7264,106.6222,502.0684,-0.0206,0.0488,-0.0325,0.9981,1517.0000,1809.0000,1807.0000,5.1381,4.9538,,
0.1918,63,0,98.3680,72.3138,522.9877,98.4250,105.2337,502.7268,-0.0207,0.0468,-0.0312,0.9982,1518.0000,1809.0000,1807.0000,5.1408,4.9554,,
0.2030,63,0,98.3680,72.3138,522.9877,98.4250,105.2337,502.7268,-0.0207,0.0468,-0.0312,0.9982,1521.0000,1809.0000,1807.0000,5.1408,4.9554,,
0.2150,63,0,97.3964,72.0989,523.1089,97.5625,105.0185,502.8480,-0.0201,0.0464,-0.0313,0.9982,1523.0000,1809.0000,1807.0000,5.1408,4.9554,,
0.2269,63,0,96.8975,73.0190,522.7325,97.2301,105.9373,502.4715,-0.0191,0.0459,-0.0336,0.9982,1525.0000,1809.0000,1807.0000,5.1408,4.9554,,
0.2390,63,0,96.8975,73.0190,522.7325,97.2301,105.9373,502.4715,-0.0191,0.0459,-0.0336,0.9982,1527.0000,1809.0000,1807.0000,5.1408,4.9554,,
0.2476,63,0,97.5284,72.9812,522.8931,97.7168,105.9007,502.6321,-0.0191,0.0463,-0.0333,0.9982,1528.0000,1809.0000,1807.0000,5.1408,4.9554,,
0.2590,63,0,98.1303,73.5990,522.0740,98.3365,106.5184,501.8131,-0.0198,0.0473,-0.0327,0.9981,1529.0000,1809.0000,1807.0000,5.1375,4.9572,,
0.2708,63,0,98.1303,73.5990,522.0740,98.3365,106.5184,501.8131,-0.0198,0.0473,-0.0327,0.9981,1529.0000,1809.0000,1807.0000,5.1375,4.9572,,
0.2830,63,0,97.9043,74.0207,522.1805,98.0889,106.9402,501.9196,-0.0193,0.0481,-0.0334,0.9981,1530.0000,1809.0000,1807.0000,5.1375,4.9572,,
0.2950,63,0,96.1890,75.5767,522.0057,96.5201,108.4950,501.7447,-0.0182,0.0464,-0.0353,0.9981,1530.0000,1809.0000,1807.0000,5.1375,4.9572,,
0.3070,63,0,94.9041,76.1145,521.8219,95.1163,109.0338,501.5609,-0.0185,0.0463,-0.0360,0.9981,1531.0000,1809.0000,1807.0000,5.1375,4.9572,,
0.3156,63,0,94.9041,76.1145,521.8219,95.1163,109.0338,501.5609,-0.0185,0.0463,-0.0360,0.9981,1532.0000,1809.0000,1807.0000,5.1375,4.9639,,
0.3270,63,0,94.1456,76.2150,521.9701,94.6246,109.1316,501.7091,-0.0180,0.0456,-0.0361,0.9981,1533.0000,1809.0000,1807.0000,5.1342,4.9658,,
0.3393,63,0,92.7951,76.4169,522.0626,92.9907,109.3364,501.8017,-0.0187,0.0447,-0.0349,0.9982,1534.0000,1809.0000,1807.0000,5.1342,4.9658,,
0.3510,63,0,92.7951,76.4169,522.0626,92.9907,109.3364,501.8017,-0.0187,0.0447,-0.0349,0.9982,1536.0000,1809.0000,1807.0000,5.1342,4.9658,,
0.3631,63,0,91.7767,76.5727,522.2573,92.0618,109.4915,501.9964,-0.0184,0.0448,-0.0353,0.9982,1537.0000,1809.0000,1807.0000,5.1342,4.9658,,
0.3751,63,0,89.6971,77.0853,522.0935,90.0193,110.0037,501.8326,-0.0179,0.0442,-0.0363,0.9982,1539.0000,1809.0000,1807.0000,5.1342,4.9658,,
0.3838,63,0,89.6971,77.0853,522.0935,90.0193,110.0037,501.8326,-0.0179,0.0442,-0.0363,0.9982,1540.0000,1809.0000,1807.0000,5.1342,4.9658,,
0.3948,63,0,88.4125,77.5256,522.0720,88.8744,110.4423,501.8111,-0.0164,0.0443,-0.0370,0.9982,1542.0000,1809.0000,1807.0000,5.1342,4.9658,,
0.4074,63,0,85.9774,78.0148,522.2940,86.4554,110.9314,502.0331,-0.0160,0.0418,-0.0382,0.9983,1544.0000,1809.0000,1807.0000,5.1342,4.9658,,
0.4193,63,0,85.9774,78.0148,522.2940,86.4554,110.9314,502.0331,-0.0160,0.0418,-0.0382,0.9983,1547.0000,1809.0000,1807.0000,5.1396,4.9688,,
0.4310,63,0,84.6379,78.2138,522.3298,85.2295,111.1285,502.0689,-0.0177,0.0410,-0.0389,0.9982,1549.0000,1809.0000,1807.0000,5.1396,4.9688,,
0.4397,63,0,82.3954,77.7148,523.1017,83.0348,110.6286,502.8407,-0.0171,0.0408,-0.0389,0.9983,1550.0000,1809.0000,1807.0000,5.1396,4.9688,,
0.4510,63,0,82.3954,77.7148,523.1017,83.0348,110.6286,502.8407,-0.0171,0.0408,-0.0389,0.9983,1553.0000,1809.0000,1807.0000,5.1396,4.9688,,
0.4630,63,0,81.0206,77.6565,523.1095,81.6554,110.5704,502.8485,-0.0175,0.0406,-0.0390,0.9983,1556.0000,1809.0000,1807.0000,5.1396,4.9688,,
0.4762,63,0,78.2424,78.0375,523.2561,78.9911,110.9490,502.9951,-0.0163,0.0391,-0.0408,0.9983,1559.0000,1809.0000,1807.0000,5.1396,4.9688,,
0.4872,63,0,76.9708,78.3691,523.3422,77.7393,111.2802,503.0812,-0.0162,0.0373,-0.0415,0.9983,1562.0000,1809.0000,1807.0000,5.1396,4.9688,,
0.4993,63,0,76.9708,78.3691,523.3422,77.7393,111.2802,503.0812,-0.0162,0.0373,-0.0415,0.9983,1565.0000,1809.0000,1807.0000,5.1396,4.9688,,
0.5081,63,0,75.3993,78.5519,522.8600,76.4245,111.4559,502.5991,-0.0170,0.0376,-0.0421,0.9983,1567.0000,1809.0000,1807.0000,5.1369,4.9673,,
0.5192,63,0,75.3993,78.5519,522.8600,76.4245,111.4559,502.5991,-0.0170,0.0376,-0.0421,0.9983,1570.0000,1809.0000,1807.0000,5.1369,4.9673,,
0.5311,63,0,72.9257,78.6763,522.8036,74.0318,111.5777,502.5426,-0.0144,0.0366,-0.0438,0.9983,1572.0000,1809.0000,1807.0000,5.1369,4.9673,,
0.5430,63,0,70.7664,78.8329,523.0372,71.5879,111.7426,502.7762,-0.0161,0.0366,-0.0440,0.9982,1575.0000,1809.0000,1807.0000,5.1369,4.9673,,
0.5551,63,0,69.4631,78.7959,523.0204,70.4055,111.7025,502.7594,-0.0151,0.0359,-0.0440,0.9983,1579.0000,1809.0000,1807.0000,5.1369,4.9673,,
0.5672,63,0,69.4631,78.7959,523.0204,70.4055,111.7025,502.7594,-0.0151,0.0359,-0.0440,0.9983,1582.0000,1809.0000,1807.0000,5.1369,4.9673,,
0.5767,63,0,68.0034,78.9614,522.7516,69.0238,111.8656,502.4907,-0.0151,0.0347,-0.0437,0.9983,1584.0000,1809.0000,1807.0000,5.1369,4.9673,,
0.5869,63,0,64.5765,79.2317,522.7848,65.5893,112.1361,502.5238,-0.0153,0.0326,-0.0436,0.9984,1587.0000,1809.0000,1807.0000,5.1369,4.9673,,
0.5990,63,0,64.5765,79.2317,522.7848,65.5893,112.1361,502.5238,-0.0153,0.0326,-0.0436,0.9984,1591.0000,1809.0000,1807.0000,5.1369,4.9673,,
0.6110,63,0,62.6791,79.8389,522.4203,63.6515,112.7445,502.1594,-0.0149,0.0317,-0.0441,0.9984,1594.0000,1809.0000,1807.0000,5.1369,4.9673,,
0.6232,63,0,58.7178,80.7193,521.8793,59.5919,113.6277,501.6183,-0.0140,0.0300,-0.0451,0.9984,1598.0000,1809.0000,1807.0000,5.1342,4.9658,,
0.6318,63,0,58.7178,80.7193,521.8793,59.5919,113.6277,501.6183,-0.0140,0.0300,-0.0451,0.9984,1601.0000,1809.0000,1807.0000,5.1342,4.9658,,
0.6429,63,0,56.8001,81.1866,521.7300,57.7604,114.0927,501.4690,-0.0134,0.0283,-0.0458,0.9985,1605.0000,1809.0000,1807.0000,5.1342,4.9658,,
0.6550,63,0,53.1902,81.9602,521.2999,54.0705,114.8685,501.0390,-0.0132,0.0275,-0.0460,0.9985,1609.0000,1809.0000,1807.0000,5.1342,4.9658,,
0.6669,63,0,53.1902,81.9602,521.2999,54.0705,114.8685,501.0390,-0.0132,0.0275,-0.0460,0.9985,1613.0000,1804.0000,1807.0000,5.1315,4.9642,,
0.6791,63,0,51.2698,82.2579,520.5936,52.3242,115.1610,500.3327,-0.0126,0.0272,-0.0464,0.9985,1617.0000,1799.0000,1807.0000,5.1315,4.9642,,
0.6910,63,0,48.1405,82.8735,519.6252,49.2047,115.7764,499.3642,-0.0115,0.0253,-0.0467,0.9985,1621.0000,1795.0000,1807.0000,5.1281,4.9661,,
0.6999,63,0,46.7293,83.0665,519.3076,47.7864,115.9695,499.0467,-0.0117,0.0240,-0.0463,0.9986,1624.0000,1791.0000,1807.0000,5.1281,4.9661,,
0.7110,63,0,46.7293,83.0665,519.3076,47.7864,115.9695,499.0467,-0.0117,0.0240,-0.0463,0.9986,1628.0000,1786.0000,1807.0000,5.1248,4.9680,,
0.7229,63,0,44.9085,83.1504,519.0024,45.9909,116.0527,498.7415,-0.0124,0.0240,-0.0463,0.9986,1631.0000,1782.0000,1807.0000,5.1215,4.9699,,
0.7351,63,0,42.0491,83.3932,517.4659,43.0843,116.2970,497.2050,-0.0113,0.0217,-0.0459,0.9986,1635.0000,1778.0000,1807.0000,5.1148,4.9737,,
