{HEADER}
user_id: 789
target_id: 144
target_screen_position_mm: [-56.00, -32.12]
fingertip_offset: [-1.99, 32.86, 20.26]
completion_time: 7.0884
endpoint_error_mm: [-2.4637, -11.8495, 29.7726]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.166339, 14.558929, 12.456643, 8.418297]
control_points_accel: [3.646828, -5.379620, -0.353702, 2.086494]
stiffness_measurements: [0.175111, 0.116433, 0.156206, 0.181919]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,144,0,72.4014,-104.3583,926.4263,78.0364,-71.9241,906.1653,-0.0592,0.1323,-0.1258,0.9814,1859.0000,1794.0000,1809.0000,1.1884,11.4135,,
0.0122,144,0,67.7871,-105.1029,928.0114,73.4412,-72.6720,907.7504,-0.0630,0.1330,-0.1247,0.9812,1859.0000,1794.0000,1809.0000,1.1884,11.4135,,
0.0212,144,0,67.7871,-105.1029,928.0114,73.4412,-72.6720,907.7504,-0.0630,0.1330,-0.1247,0.9812,1859.0000,1794.0000,1809.0000,1.1884,11.4135,,
0.0317,144,0,59.4001,-106.4793,929.0363,68.0225,-74.7085,908.7753,0.0577,-0.4570,0.1091,0.8809,1859.0000,1794.0000,1809.0000,1.1884,11.4135,,
0.0443,144,0,52.5120,-108.4243,931.8321,57.8221,-75.9354,911.5711,-0.0565,0.1258,-0.1219,0.9829,1859.0000,1794.0000,1809.0000,1.1884,11.4168,,
0.0559,144,0,49.5307,-109.1925,931.7875,53.5982,-76.5247,911.5265,-0.6259,0.4054,0.0716,0.6624,1859.0000,1794.0000,1809.0000,1.1884,11.4168,,
0.0678,144,0,49.5307,-109.1925,931.7875,53.5982,-76.5247,911.5265,-0.6259,0.4054,0.0716,0.6624,1859.0000,1794.0000,1809.0000,1.1884,11.4168,,
0.0799,144,0,47.0701,-110.6510,932.0471,52.5245,-78.1860,911.7861,-0.0638,0.1186,-0.1195,0.9837,1859.0000,1794.0000,1809.0000,1.1849,11.4188,,
0.0886,144,0,47.0701,-110.6510,932.0471,52.5245,-78.1860,911.7861,-0.0638,0.1186,-0.1195,0.9837,1859.0000,1794.0000,1809.0000,1.1849,11.4188,,
0.0997,144,0,42.3589,-113.1121,935.5558,47.8531,-80.6538,915.2949,-0.0692,0.1187,-0.1170,0.9836,1859.0000,1794.0000,1809.0000,1.1813,11.4208,,
0.1120,144,0,38.9573,-115.5690,935.3088,43.5825,-82.9755,915.0478,-0.0670,0.1185,-0.1161,0.9839,1859.0000,1794.0000,1809.0000,1.1813,11.4208,,
0.1237,144,0,37.3648,-116.2284,935.8357,45.3683,-84.2961,915.5747,0.0000,0.0000,0.0000,1.0000,1859.0000,1794.0000,1809.0000,1.1813,11.4208,,
0.1357,144,0,37.3648,-116.2284,935.8357,45.3683,-84.2961,915.5747,0.0000,0.0000,0.0000,1.0000,1859.0000,1794.0000,1809.0000,1.1813,11.4208,,
0.1447,144,0,37.3824,-115.6624,930.7344,41.7533,-83.0339,910.4734,-0.0631,0.1123,-0.1139,0.9851,1859.0000,1794.0000,1809.0000,1.1813,11.4208,,
0.1558,144,0,37.3824,-115.6624,930.7344,41.7533,-83.0339,910.4734,-0.0631,0.1123,-0.1139,0.9851,1859.0000,1794.0000,1809.0000,1.1813,11.4208,,
0.1676,144,0,35.8585,-118.2900,934.9332,32.7026,-85.5216,914.6722,-0.6406,0.3839,0.1277,0.6526,1859.0000,1794.0000,1809.0000,1.1813,11.4208,,
0.1799,144,0,35.7653,-118.7877,933.8676,40.5770,-86.2212,913.6066,-0.0685,0.1143,-0.1115,0.9848,1859.0000,1794.0000,1809.0000,1.1778,11.4228,,
0.1917,144,0,35.7189,-118.9782,933.8464,40.5188,-86.4100,913.5854,-0.0667,0.1157,-0.1116,0.9847,1859.0000,1794.0000,1809.0000,1.1778,11.4228,,
0.2037,144,0,35.7189,-118.9782,933.8464,40.5188,-86.4100,913.5854,-0.0667,0.1157,-0.1116,0.9847,1859.0000,1794.0000,1809.0000,1.1742,11.4248,,
0.2125,144,0,35.9792,-118.9386,933.3130,40.6326,-86.3491,913.0520,-0.0632,0.1143,-0.1119,0.9851,1859.0000,1794.0000,1809.0000,1.1742,11.4248,,
0.2238,144,0,36.1440,-116.9693,931.1282,40.9542,-84.4026,910.8672,-0.0641,0.1141,-0.1114,0.9851,1859.0000,1794.0000,1809.0000,1.1742,11.4248,,
0.2356,144,0,36.1440,-116.9693,931.1282,40.9542,-84.4026,910.8672,-0.0641,0.1141,-0.1114,0.9851,1859.0000,1794.0000,1809.0000,1.1707,11.4269,,
0.2477,144,0,36.1317,-115.6517,930.0557,40.8076,-83.0655,909.7947,-0.0673,0.1156,-0.1106,0.9848,1859.0000,1794.0000,1809.0000,1.1707,11.4269,,
0.2597,144,0,35.5791,-112.6340,930.1855,40.2025,-80.0403,909.9245,-0.0659,0.1172,-0.1101,0.9848,1859.0000,1794.0000,1809.0000,1.1707,11.4269,,
