{HEADER}
user_id: 789
target_id: 317
target_screen_position_mm: [-167.99, 63.96]
fingertip_offset: [-1.99, 32.86, 20.26]
completion_time: 5.7796
endpoint_error_mm: [-0.3060, 7.5448, 30.3771]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.166339, 14.558929, 12.456643, 8.418297]
control_points_accel: [3.646828, -5.379620, -0.353702, 2.086494]
stiffness_measurements: [0.175111, 0.116433, 0.156206, 0.181919]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,317,0,-202.2870,-182.2733,800.0437,-200.2760,-149.4148,779.7827,-0.0514,-0.0377,-0.0668,0.9957,1857.0000,1718.0000,1808.0000,-5.6182,10.1188,,
0.0091,317,0,-202.2870,-182.2733,800.0437,-200.2760,-149.4148,779.7827,-0.0514,-0.0377,-0.0668,0.9957,1857.0000,1664.0000,1774.0000,-5.6182,10.1188,,
0.0205,317,0,-202.2475,-182.4419,798.7698,-199.6464,-149.6248,778.5089,-0.0513,-0.0397,-0.0667,0.9957,1857.0000,1615.0000,1697.0000,-5.6463,10.1348,,
0.0334,317,0,-202.1739,-183.1830,796.6918,-199.7791,-150.3502,776.4308,-0.0547,-0.0418,-0.0677,0.9953,1857.0000,1562.0000,1611.0000,-5.6886,10.1356,,
0.0439,317,0,-202.1739,-183.1830,796.6918,-199.7791,-150.3502,776.4308,-0.0547,-0.0418,-0.0677,0.9953,1857.0000,1535.0000,1562.0000,-5.7308,10.1133,,
0.0557,317,0,-202.0582,-183.1299,795.3000,-199.3737,-150.3195,775.0391,-0.0535,-0.0406,-0.0684,0.9954,1857.0000,1500.0000,1504.0000,-5.8435,10.0548,,
0.0681,317,0,-201.9836,-182.9326,795.4037,-199.5719,-150.1010,775.1428,-0.0536,-0.0431,-0.0691,0.9952,1857.0000,1480.0000,1467.0000,-5.9211,9.7774,,
0.0769,317,0,-201.9836,-182.9326,795.4037,-199.5719,-150.1010,775.1428,-0.0536,-0.0431,-0.0691,0.9952,1857.0000,1465.0000,1440.0000,-5.9669,9.4350,,
0.0878,317,0,-202.5498,-182.6239,795.2874,-199.8861,-149.8118,775.0264,-0.0540,-0.0402,-0.0695,0.9953,1857.0000,1453.0000,1418.0000,-6.0507,9.1501,,
0.0997,317,0,-202.1660,-177.7097,795.3662,-199.7672,-144.8772,775.1052,-0.0494,-0.0412,-0.0695,0.9955,1857.0000,1441.0000,1397.0000,-6.0922,9.0174,,
0.1119,317,0,-202.1660,-177.7097,795.3662,-199.7672,-144.8772,775.1052,-0.0494,-0.0412,-0.0695,0.9955,1857.0000,1430.0000,1384.0000,-6.1804,8.8440,,
0.1241,317,0,-204.1967,-172.0145,798.7208,-201.6086,-139.1964,778.4598,-0.0488,-0.0362,-0.0691,0.9958,1857.0000,1421.0000,1374.0000,-6.2414,8.7973,,
0.1329,317,0,-205.4636,-156.8672,801.4814,-202.9676,-124.0419,781.2205,-0.0376,-0.0378,-0.0685,0.9962,1857.0000,1413.0000,1372.0000,-6.2715,8.7963,,
0.1440,317,0,-205.1920,-152.0117,800.7766,-202.6188,-119.1924,780.5156,-0.0369,-0.0385,-0.0690,0.9962,1857.0000,1398.0000,1379.0000,-6.3192,8.7866,,
0.1558,317,0,-205.1920,-152.0117,800.7766,-202.6188,-119.1924,780.5156,-0.0369,-0.0385,-0.0690,0.9962,1857.0000,1385.0000,1387.0000,-6.3502,8.7423,,
0.1678,317,0,-204.8251,-148.6564,800.5312,-202.7116,-115.8043,780.2702,-0.0368,-0.0389,-0.0693,0.9962,1857.0000,1374.0000,1395.0000,-6.3794,8.6977,,
0.1801,317,0,-204.4705,-147.3707,799.4086,-201.9710,-114.5457,779.1476,-0.0343,-0.0384,-0.0698,0.9962,1857.0000,1365.0000,1403.0000,-6.4342,8.6853,,
0.1918,317,0,-204.4705,-147.3707,799.4086,-201.9710,-114.5457,779.1476,-0.0343,-0.0384,-0.0698,0.9962,1857.0000,1357.0000,1410.0000,-6.4660,8.7033,,
0.2006,317,0,-204.7355,-146.3161,800.6488,-202.6903,-113.4597,780.3878,-0.0304,-0.0366,-0.0699,0.9964,1857.0000,1352.0000,1414.0000,-6.5411,8.7488,,
0.2118,317,0,-203.6836,-143.6175,796.7209,-200.9521,-110.8110,776.4600,-0.0364,-0.0387,-0.0711,0.9960,1857.0000,1346.0000,1419.0000,-6.7631,8.8716,,
0.2239,317,0,-203.6836,-143.6175,796.7209,-200.9521,-110.8110,776.4600,-0.0364,-0.0387,-0.0711,0.9960,1857.0000,1341.0000,1425.0000,-6.9507,8.9659,,
0.2358,317,0,-203.5942,-143.1892,798.9299,-201.1076,-110.3632,778.6689,-0.0308,-0.0361,-0.0715,0.9963,1857.0000,1337.0000,1430.0000,-7.0934,9.0136,,
0.2477,317,0,-200.3631,-143.2539,797.7672,-197.4283,-110.4650,777.5062,-0.0292,-0.0349,-0.0730,0.9963,1857.0000,1334.0000,1434.0000,-7.2875,9.0725,,
0.2564,317,0,-200.3631,-143.2539,797.7672,-197.4283,-110.4650,777.5062,-0.0292,-0.0349,-0.0730,0.9963,1857.0000,1334.0000,1437.0000,-7.3557,9.0780,,
