{HEADER}
user_id: 789
target_id: 334
target_screen_position_mm: [104.04, 63.96]
fingertip_offset: [-1.99, 32.86, 20.26]
completion_time: 8.0394
endpoint_error_mm: [-2.7157, 5.5821, 29.8979]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.166339, 14.558929, 12.456643, 8.418297]
control_points_accel: [3.646828, -5.379620, -0.353702, 2.086494]
stiffness_measurements: [0.175111, 0.116433, 0.156206, 0.181919]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,334,0,40.7427,-219.9660,827.2867,40.6094,-187.0462,807.0257,-0.0783,-0.0578,-0.0255,0.9949,1854.0000,1796.0000,1810.0000,5.3779,13.2734,,
0.0119,334,0,40.8462,-220.0402,827.9244,40.7365,-187.1203,807.6634,-0.0799,-0.0594,-0.0255,0.9947,1854.0000,1796.0000,1810.0000,5.3779,13.2734,,
0.0252,334,0,40.1658,-218.6222,825.7841,39.9010,-185.7033,805.5231,-0.0772,-0.0574,-0.0260,0.9950,1854.0000,1796.0000,1810.0000,5.3779,13.2734,,
0.0364,334,0,40.1658,-218.6222,825.7841,39.9010,-185.7033,805.5231,-0.0772,-0.0574,-0.0260,0.9950,1854.0000,1796.0000,1810.0000,5.3779,13.2734,,
0.0477,334,0,40.4285,-218.0134,826.3473,40.1293,-185.0948,806.0863,-0.0764,-0.0580,-0.0262,0.9950,1854.0000,1796.0000,1810.0000,5.3779,13.2734,,
0.0566,334,0,40.9832,-215.8643,826.4566,41.2457,-182.9453,806.1956,-0.0768,-0.0594,-0.0276,0.9949,1854.0000,1796.0000,1810.0000,5.3779,13.2734,,
0.0672,334,0,40.9832,-215.8643,826.4566,41.2457,-182.9453,806.1956,-0.0768,-0.0594,-0.0276,0.9949,1854.0000,1796.0000,1810.0000,5.3779,13.2734,,
0.0796,334,0,41.3187,-214.6592,826.1265,41.3501,-181.7392,805.8655,-0.0731,-0.0584,-0.0283,0.9952,1854.0000,1796.0000,1810.0000,5.3779,13.2734,,
0.0916,334,0,42.0637,-211.8536,824.9980,42.2760,-178.9342,804.7370,-0.0773,-0.0574,-0.0296,0.9949,1854.0000,1796.0000,1810.0000,5.3779,13.2734,,
0.1036,334,0,43.0736,-210.8190,826.2491,43.4389,-177.9010,805.9881,-0.0745,-0.0582,-0.0294,0.9951,1854.0000,1796.0000,1810.0000,5.3752,13.2719,,
0.1155,334,0,43.0736,-210.8190,826.2491,43.4389,-177.9010,805.9881,-0.0745,-0.0582,-0.0294,0.9951,1854.0000,1796.0000,1810.0000,5.3725,13.2573,,
0.1243,334,0,43.6292,-209.3851,824.0704,43.8950,-176.4661,803.8094,-0.0729,-0.0570,-0.0292,0.9953,1854.0000,1796.0000,1810.0000,5.3698,13.2492,,
0.1354,334,0,43.6292,-209.3851,824.0704,43.8950,-176.4661,803.8094,-0.0729,-0.0570,-0.0292,0.9953,1854.0000,1796.0000,1810.0000,5.3563,13.2382,,
0.1476,334,0,45.5387,-206.6080,822.2111,45.5244,-173.6880,801.9501,-0.0728,-0.0548,-0.0290,0.9954,1854.0000,1796.0000,1810.0000,5.3184,13.2135,,
0.1595,334,0,47.8187,-204.3833,823.2629,47.9610,-171.4636,803.0019,-0.0736,-0.0578,-0.0278,0.9952,1854.0000,1796.0000,1810.0000,5.2616,13.1748,,
0.1715,334,0,48.7066,-202.9473,822.3322,48.7972,-170.0275,802.0712,-0.0718,-0.0559,-0.0275,0.9955,1854.0000,1796.0000,1810.0000,5.2022,13.1247,,
0.1804,334,0,48.7066,-202.9473,822.3322,48.7972,-170.0275,802.0712,-0.0718,-0.0559,-0.0275,0.9955,1854.0000,1796.0000,1810.0000,5.1563,13.0889,,
0.1914,334,0,49.7917,-201.8513,821.8765,49.6690,-168.9315,801.6155,-0.0703,-0.0514,-0.0275,0.9958,1854.0000,1796.0000,1810.0000,5.1266,13.0688,,
0.2038,334,0,52.9639,-198.7952,820.6183,52.8490,-165.8754,800.3573,-0.0684,-0.0517,-0.0273,0.9959,1854.0000,1796.0000,1810.0000,5.1212,13.0657,,
0.2157,334,0,52.9639,-198.7952,820.6183,52.8490,-165.8754,800.3573,-0.0684,-0.0517,-0.0273,0.9959,1854.0000,1796.0000,1810.0000,5.1185,13.0642,,
0.2275,334,0,53.9351,-196.9500,819.0988,53.9616,-164.0300,798.8378,-0.0668,-0.0489,-0.0276,0.9962,1854.0000,1796.0000,1810.0000,5.1185,13.0642,,
0.2394,334,0,56.2184,-194.4923,816.9495,56.2014,-161.5723,796.6885,-0.0674,-0.0491,-0.0273,0.9961,1854.0000,1796.0000,1810.0000,5.1123,13.0614,,
0.2484,334,0,56.2184,-194.4923,816.9495,56.2014,-161.5723,796.6885,-0.0674,-0.0491,-0.0273,0.9961,1854.0000,1796.0000,1810.0000,5.1123,13.0614,,
0.2594,334,0,57.2837,-193.7031,816.5309,60.0584,-160.9002,796.2699,0.0000,0.0000,0.0000,1.0000,1854.0000,1796.0000,1810.0000,5.1150,13.0629,,
0.2715,334,0,59.6585,-191.4119,814.8997,59.5548,-158.4920,794.6387,-0.0675,-0.0484,-0.0279,0.9962,1854.0000,1796.0000,1810.0000,5.1123,13.0614,,
0.2837,334,0,59.6585,-191.4119,814.8997,59.5548,-158.4920,794.6387,-0.0675,-0.0484,-0.0279,0.9962,1854.0000,1796.0000,1810.0000,5.1123,13.0614,,
0.2955,334,0,60.4598,-190.1481,813.0394,60.4699,-157.2281,792.7784,-0.0667,-0.0472,-0.0280,0.9963,1854.0000,1796.0000,1810.0000,5.1123,13.0614,,
