{HEADER}
user_id: 789
target_id: 345
target_screen_position_mm: [-152.07, 79.88]
fingertip_offset: [-1.99, 32.86, 20.26]
completion_time: 6.6152
endpoint_error_mm: [-4.3580, -10.9619, 31.1873]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.166339, 14.558929, 12.456643, 8.418297]
control_points_accel: [3.646828, -5.379620, -0.353702, 2.086494]
stiffness_measurements: [0.175111, 0.116433, 0.156206, 0.181919]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,345,0,-112.6243,-123.4062,781.9381,-111.1022,-90.5213,761.6771,-0.0447,0.0082,-0.0591,0.9972,1851.0000,1730.0000,1793.0000,4.7591,15.5906,,
0.0118,345,0,-112.6243,-123.4062,781.9381,-111.1022,-90.5213,761.6771,-0.0447,0.0082,-0.0591,0.9972,1851.0000,1735.0000,1787.0000,4.7591,15.5906,,
0.0241,345,0,-111.1781,-124.5753,780.1505,-103.8939,-92.4713,759.8895,0.6632,-0.0892,-0.6035,0.4337,1851.0000,1729.0000,1775.0000,4.7413,15.6006,,
0.0352,345,0,-111.2920,-126.0601,780.7516,-109.7210,-93.1776,760.4907,-0.0412,0.0061,-0.0570,0.9975,1851.0000,1734.0000,1770.0000,4.7413,15.6006,,
0.0440,345,0,-111.2920,-126.0601,780.7516,-109.7210,-93.1776,760.4907,-0.0412,0.0061,-0.0570,0.9975,1851.0000,1737.0000,1767.0000,4.7413,15.5974,,
0.0553,345,0,-110.9589,-126.1964,778.3448,-109.5425,-93.3068,758.0839,-0.0451,0.0053,-0.0560,0.9974,1851.0000,1729.0000,1755.0000,4.7413,15.5974,,
0.0678,345,0,-110.8317,-127.3512,778.7093,-106.1670,-94.7634,758.4483,0.0000,0.0000,0.0000,1.0000,1851.0000,1733.0000,1751.0000,4.7413,15.5974,,
0.0799,345,0,-110.4423,-127.3746,778.1093,-108.9077,-94.4904,757.8483,-0.0431,0.0083,-0.0558,0.9975,1851.0000,1735.0000,1746.0000,4.7413,15.5941,,
0.0916,345,0,-110.4423,-127.3746,778.1093,-108.9077,-94.4904,757.8483,-0.0431,0.0083,-0.0558,0.9975,1851.0000,1737.0000,1744.0000,4.7413,15.5941,,
0.1034,345,0,-110.0569,-127.3590,776.7456,-108.4615,-94.4777,756.4846,-0.0424,0.0070,-0.0549,0.9976,1851.0000,1732.0000,1734.0000,4.7413,15.5941,,
