{HEADER}
user_id: 789
target_id: 354
target_screen_position_mm: [-7.96, 79.88]
fingertip_offset: [0, 0, 0]
completion_time: 18.3112
endpoint_error_mm: [9.0216, -27.6962, 50.8719]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: []
control_points_radius: []
control_points_accel: []
stiffness_measurements: []
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,354,0,-240.5196,-40.3545,672.7408,-240.5196,-40.3545,672.7408,-0.0009,-0.1729,-0.0434,0.9840,2028.0000,2027.0000,2028.0000,-24.3672,2.9925,,
0.0101,354,0,-239.1954,-38.3403,671.4982,-239.1954,-38.3403,671.4982,0.1610,-0.6202,0.1763,0.7473,2028.0000,2027.0000,2028.0000,-24.3672,2.9925,,
0.0192,354,0,-239.1954,-38.3403,671.4982,-239.1954,-38.3403,671.4982,0.1610,-0.6202,0.1763,0.7473,2028.0000,2027.0000,2028.0000,-24.3672,2.9925,,
0.0312,354,0,-239.1954,-38.3403,671.4982,-239.1954,-38.3403,671.4982,0.1610,-0.6202,0.1763,0.7473,2028.0000,2027.0000,2028.0000,-24.3672,2.9925,,
0.0432,354,0,-238.5787,-37.5541,669.6653,-238.5787,-37.5541,669.6653,0.1619,-0.6197,0.1777,0.7471,2028.0000,2027.0000,2028.0000,-24.3672,2.9925,,
0.0545,354,0,-238.5787,-37.5541,669.6653,-238.5787,-37.5541,669.6653,0.1619,-0.6197,0.1777,0.7471,2028.0000,2027.0000,2028.0000,-24.3672,2.9925,,
0.0669,354,0,-239.3299,-40.6183,672.6061,-239.3299,-40.6183,672.6061,-0.0020,-0.1747,-0.0424,0.9837,2028.0000,2027.0000,2028.0000,-24.3672,2.9925,,
0.0758,354,0,-239.3299,-40.6183,672.6061,-239.3299,-40.6183,672.6061,-0.0020,-0.1747,-0.0424,0.9837,2028.0000,2027.0000,2028.0000,-24.3672,2.9925,,
0.0870,354,0,-238.4951,-41.9611,671.1627,-238.4951,-41.9611,671.1627,-0.0002,-0.1743,-0.0430,0.9838,2028.0000,2027.0000,2028.0000,-24.3672,2.9925,,
0.0989,354,0,-238.4951,-41.9611,671.1627,-238.4951,-41.9611,671.1627,-0.0002,-0.1743,-0.0430,0.9838,2028.0000,2027.0000,2028.0000,-24.3672,2.9925,,
0.1108,354,0,-239.4752,-41.5560,673.0574,-239.4752,-41.5560,673.0574,-0.0083,-0.1731,-0.0436,0.9839,2028.0000,2027.0000,2028.0000,-24.3672,2.9925,,
0.1225,354,0,-239.4752,-41.5560,673.0574,-239.4752,-41.5560,673.0574,-0.0083,-0.1731,-0.0436,0.9839,2028.0000,2027.0000,2028.0000,-24.3672,2.9925,,
