{HEADER}
user_id: 789
target_id: 354
target_screen_position_mm: [-7.96, 79.88]
fingertip_offset: [-1.99, 32.86, 20.26]
completion_time: 7.6874
endpoint_error_mm: [13.4571, 14.3337, 29.7395]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.166339, 14.558929, 12.456643, 8.418297]
control_points_accel: [3.646828, -5.379620, -0.353702, 2.086494]
stiffness_measurements: [0.175111, 0.116433, 0.156206, 0.181919]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,354,0,-244.6922,-151.4353,811.8718,-244.6494,-118.5153,791.6108,-0.3486,-0.3425,-0.0054,0.8724,1878.0000,1804.0000,1803.0000,-1.2386,-1.9636,,
0.0094,354,0,-243.4454,-149.4748,812.4630,-243.8276,-116.5570,792.2020,-0.0271,-0.0412,-0.0226,0.9985,1878.0000,1804.0000,1803.0000,-1.2386,-1.9636,,
0.0202,354,0,-243.4454,-149.4748,812.4630,-243.8276,-116.5570,792.2020,-0.0271,-0.0412,-0.0226,0.9985,1878.0000,1804.0000,1803.0000,-1.2386,-1.9636,,
0.0335,354,0,-241.9996,-148.6086,811.9338,-242.5508,-115.6932,791.6729,-0.0272,-0.0418,-0.0225,0.9985,1878.0000,1804.0000,1803.0000,-1.2386,-1.9636,,
0.0433,354,0,-241.7348,-147.2888,813.0281,-242.2181,-114.3724,792.7672,-0.0242,-0.0423,-0.0222,0.9986,1878.0000,1804.0000,1803.0000,-1.2386,-1.9636,,
0.0552,354,0,-241.7348,-147.2888,813.0281,-242.2181,-114.3724,792.7672,-0.0242,-0.0423,-0.0222,0.9986,1878.0000,1804.0000,1803.0000,-1.2386,-1.9636,,
0.0674,354,0,-240.8512,-146.4916,811.7756,-241.3746,-113.5758,791.5146,-0.0263,-0.0399,-0.0218,0.9986,1878.0000,1803.0000,1802.0000,-1.2386,-1.9636,,
0.0765,354,0,-239.8777,-145.3985,811.9774,-240.3702,-112.4822,791.7164,-0.0256,-0.0399,-0.0209,0.9987,1878.0000,1803.0000,1802.0000,-1.2386,-1.9636,,
0.0875,354,0,-239.8777,-145.3985,811.9774,-240.3702,-112.4822,791.7164,-0.0256,-0.0399,-0.0209,0.9987,1878.0000,1803.0000,1802.0000,-1.2386,-1.9636,,
0.0992,354,0,-239.2926,-145.0017,810.9199,-239.8073,-112.0857,790.6589,-0.0259,-0.0386,-0.0210,0.9987,1878.0000,1794.0000,1797.0000,-1.2386,-1.9636,,
