{HEADER}
user_id: 790
target_id: 155
target_screen_position_mm: [119.96, -32.12]
fingertip_offset: [-0.06, 33.09, 21.49]
completion_time: 4.0518
endpoint_error_mm: [12.8475, 7.0668, 29.2598]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.201843, 12.199990, 12.138453, 7.347800]
control_points_accel: [-0.394181, -0.770353, -3.964669, 5.129203]
stiffness_measurements: [0.196251, 0.271653, 0.229283, 0.129463]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,155,0,374.4883,37.3282,333.5184,376.2964,70.3708,312.0273,-0.0421,0.2669,-0.0605,0.9609,739.0000,1823.0000,1401.0000,5.6543,1.5784,,
0.0122,155,0,371.2088,38.8540,327.9468,373.3259,71.8782,306.4557,-0.0444,0.2678,-0.0612,0.9605,739.0000,1823.0000,1632.0000,5.6543,1.5784,,
0.0217,155,0,379.5323,38.9289,341.9634,381.5052,71.9620,320.4723,-0.0442,0.2649,-0.0609,0.9613,734.0000,1823.0000,1778.0000,6.0671,1.6610,,
0.0324,155,0,379.5323,38.9289,341.9634,381.5052,71.9620,320.4723,-0.0442,0.2649,-0.0609,0.9613,690.0000,1824.0000,1835.0000,10.1299,3.0670,,
0.0436,155,0,375.9137,38.1285,332.2859,377.8159,71.1658,310.7948,-0.0413,0.2539,-0.0615,0.9644,679.0000,1824.0000,1835.0000,11.4512,3.5627,,
0.0557,155,0,379.5572,38.7435,338.5418,381.4301,71.7825,317.0507,-0.0441,0.2584,-0.0608,0.9631,664.0000,1825.0000,1836.0000,13.6865,4.3421,,
0.0676,155,0,378.5112,35.3797,362.1718,379.6375,68.4525,340.6807,-0.0368,0.2838,-0.0554,0.9566,654.0000,1826.0000,1836.0000,15.3555,4.9779,,
0.0761,155,0,378.5112,35.3797,362.1718,379.6375,68.4525,340.6807,-0.0368,0.2838,-0.0554,0.9566,650.0000,1826.0000,1837.0000,15.9534,5.2433,,
0.0879,155,0,370.6345,30.1473,372.5258,371.9325,63.2138,351.0347,-0.0453,0.2728,-0.0566,0.9593,643.0000,1827.0000,1837.0000,16.7963,5.7562,,
0.0998,155,0,351.7866,46.1030,380.8207,355.2374,79.0146,359.3296,-0.0426,0.2327,-0.0857,0.9678,643.0000,1827.0000,1837.0000,16.8379,5.7929,,
0.1120,155,0,352.1992,43.1405,383.9070,356.4677,75.9560,362.4158,-0.0451,0.2145,-0.0839,0.9721,643.0000,1827.0000,1837.0000,16.8389,5.7889,,
0.1240,155,0,352.1992,43.1405,383.9070,356.4677,75.9560,362.4158,-0.0451,0.2145,-0.0839,0.9721,643.0000,1827.0000,1837.0000,16.8379,5.8093,,
0.1360,155,0,348.1414,37.9672,386.1630,352.0117,70.8321,364.6719,-0.0500,0.2092,-0.0815,0.9732,643.0000,1827.0000,1837.0000,16.8339,5.8312,,
0.1447,155,0,346.3367,33.2167,387.1333,352.8646,65.6584,365.6422,-0.4430,0.6008,0.3204,0.5832,643.0000,1827.0000,1837.0000,16.8486,5.8918,,
0.1558,155,0,346.3367,33.2167,387.1333,352.8646,65.6584,365.6422,-0.4430,0.6008,0.3204,0.5832,642.0000,1827.0000,1837.0000,16.8623,5.9531,,
0.1675,155,0,346.0812,33.9602,387.6767,350.0869,66.8089,366.1855,-0.0541,0.2058,-0.0821,0.9737,642.0000,1827.0000,1837.0000,16.8894,5.9678,,
0.1806,155,0,345.7683,35.1268,387.3550,348.4603,68.1091,365.8639,-0.3688,0.5974,0.0137,0.7119,642.0000,1827.0000,1837.0000,16.9406,5.9889,,
0.1919,155,0,345.2564,34.4912,387.0025,349.4764,67.3130,365.5114,-0.0555,0.2064,-0.0863,0.9731,641.0000,1827.0000,1837.0000,17.0026,6.0240,,
0.2006,155,0,345.2564,34.4912,387.0025,349.4764,67.3130,365.5114,-0.0555,0.2064,-0.0863,0.9731,639.0000,1827.0000,1837.0000,17.2184,6.1260,,
0.2117,155,0,343.8144,34.3363,386.4654,348.0441,67.1569,364.9743,-0.0582,0.2061,-0.0860,0.9730,639.0000,1827.0000,1837.0000,17.2609,6.1708,,
0.2238,155,0,340.9627,33.9618,388.0602,345.2733,66.7718,366.5691,-0.0573,0.2016,-0.0870,0.9739,638.0000,1827.0000,1837.0000,17.2741,6.2684,,
0.2357,155,0,340.9627,33.9618,388.0602,345.2733,66.7718,366.5691,-0.0573,0.2016,-0.0870,0.9739,638.0000,1827.0000,1838.0000,17.3446,6.4003,,
0.2478,155,0,340.0553,33.3136,390.4928,353.4592,63.5695,369.0016,0.0151,0.6267,-0.0290,0.7786,635.0000,1827.0000,1838.0000,17.5939,6.6354,,
0.2597,155,0,337.7657,33.8967,392.8443,341.9253,66.7262,371.3532,-0.0576,0.1939,-0.0886,0.9753,634.0000,1827.0000,1838.0000,17.7126,6.7645,,
0.2683,155,0,337.7657,33.8967,392.8443,341.9253,66.7262,371.3532,-0.0576,0.1939,-0.0886,0.9753,631.0000,1827.0000,1838.0000,17.9388,6.9310,,
0.2796,155,0,336.2325,32.8109,393.4966,340.7161,65.5977,372.0054,-0.0563,0.1912,-0.0893,0.9759,631.0000,1827.0000,1838.0000,17.9586,6.9892,,
0.2917,155,0,332.3547,30.6252,396.4880,336.8988,63.4037,374.9969,-0.0590,0.1851,-0.0903,0.9768,630.0000,1827.0000,1838.0000,18.0657,7.1962,,
0.3037,155,0,332.3547,30.6252,396.4880,336.8988,63.4037,374.9969,-0.0590,0.1851,-0.0903,0.9768,626.0000,1827.0000,1838.0000,18.4054,7.5641,,
0.3157,155,0,330.7367,30.5068,399.4741,334.9833,63.3252,377.9829,-0.0623,0.1824,-0.0901,0.9771,625.0000,1827.0000,1838.0000,18.5188,7.6544,,
0.3277,155,0,325.4043,28.0859,402.1560,329.8097,60.8833,380.6649,-0.0644,0.1765,-0.0899,0.9781,624.0000,1827.0000,1839.0000,18.5477,7.8116,,
0.3363,155,0,323.1895,25.0342,405.1750,327.2212,57.8796,383.6839,-0.0640,0.1709,-0.0895,0.9791,624.0000,1827.0000,1839.0000,18.5477,7.8116,,
0.3477,155,0,323.1895,25.0342,405.1750,327.2212,57.8796,383.6839,-0.0640,0.1709,-0.0895,0.9791,624.0000,1827.0000,1839.0000,18.5433,7.8793,,
0.3597,155,0,319.3076,24.2525,406.0664,322.8243,57.1571,384.5753,-0.0967,0.1855,-0.0847,0.9742,624.0000,1827.0000,1839.0000,18.5547,7.8897,,
0.3716,155,0,313.7548,24.2866,409.5646,317.4420,57.1725,388.0735,-0.0943,0.1783,-0.0871,0.9756,624.0000,1827.0000,1839.0000,18.5637,7.8948,,
0.3836,155,0,313.7548,24.2866,409.5646,317.4420,57.1725,388.0735,-0.0943,0.1783,-0.0871,0.9756,624.0000,1827.0000,1839.0000,18.5687,7.9185,,
0.3923,155,0,311.0611,23.3571,410.5462,314.7974,56.2374,389.0551,-0.0941,0.1764,-0.0871,0.9759,624.0000,1827.0000,1839.0000,18.5682,7.9318,,
0.4036,155,0,305.6362,22.2998,413.1427,309.3153,55.1866,391.6516,-0.0926,0.1695,-0.0862,0.9774,623.0000,1827.0000,1839.0000,18.6186,7.9838,,
0.4157,155,0,305.6362,22.2998,413.1427,309.3153,55.1866,391.6516,-0.0926,0.1695,-0.0862,0.9774,621.0000,1827.0000,1839.0000,18.8549,8.1404,,
0.4276,155,0,302.6120,21.9602,415.0537,306.3040,54.8455,393.5626,-0.0919,0.1663,-0.0861,0.9780,619.0000,1827.0000,1839.0000,18.9812,8.2793,,
0.4397,155,0,295.3685,21.1486,418.3805,299.0402,54.0362,396.8893,-0.0896,0.1598,-0.0862,0.9793,617.0000,1827.0000,1839.0000,19.1522,8.4345,,
0.4518,155,0,291.1783,20.4787,420.7270,294.6596,53.3871,399.2359,-0.0879,0.1546,-0.0860,0.9803,617.0000,1827.0000,1839.0000,19.2122,8.5430,,
