{HEADER}
user_id: 790
target_id: 249
target_screen_position_mm: [183.92, 15.92]
fingertip_offset: [-0.06, 33.09, 21.49]
completion_time: 4.6282
endpoint_error_mm: [10.7514, 12.6122, 28.7994]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.201843, 12.199990, 12.138453, 7.347800]
control_points_accel: [-0.394181, -0.770353, -3.964669, 5.129203]
stiffness_measurements: [0.196251, 0.271653, 0.229283, 0.129463]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,249,0,316.3487,59.3899,482.4942,318.1056,92.4353,461.0031,-0.0142,0.1211,-0.0435,0.9916,1164.0000,1829.0000,1840.0000,6.1144,10.5354,,
0.0124,249,0,316.1008,58.8309,482.8077,323.0602,91.1828,461.3166,0.5657,0.2938,-0.2839,0.7163,732.0000,1829.0000,1840.0000,6.1256,10.5918,,
0.0248,249,0,316.1711,57.7767,482.7070,318.0367,90.8161,461.2159,-0.0164,0.1232,-0.0439,0.9913,716.0000,1829.0000,1840.0000,7.4262,11.3250,,
0.0356,249,0,316.8943,57.1350,482.4969,318.5589,90.1850,461.0058,-0.0162,0.1234,-0.0443,0.9912,690.0000,1829.0000,1840.0000,9.8378,12.5744,,
0.0440,249,0,316.8943,57.1350,482.4969,318.5589,90.1850,461.0058,-0.0162,0.1234,-0.0443,0.9912,668.0000,1829.0000,1840.0000,12.3567,13.6669,,
0.0557,249,0,317.6158,56.3767,482.6992,319.3753,89.4219,461.2081,-0.0168,0.1227,-0.0445,0.9913,659.0000,1830.0000,1841.0000,13.4500,14.0404,,
0.0672,249,0,308.4488,46.9081,491.6674,309.7960,79.9726,470.1763,-0.0222,0.1092,-0.0359,0.9931,648.0000,1831.0000,1841.0000,15.2959,14.4644,,
0.0797,249,0,293.3430,38.0323,506.6714,294.6977,71.0965,485.1803,-0.0294,0.0983,-0.0383,0.9940,640.0000,1832.0000,1841.0000,16.6228,14.5677,,
0.0918,249,0,280.5545,42.6614,522.8345,282.5362,75.6940,501.3434,-0.0322,0.0834,-0.0555,0.9944,635.0000,1832.0000,1841.0000,17.3986,14.6549,,
0.1035,249,0,280.5545,42.6614,522.8345,282.5362,75.6940,501.3434,-0.0322,0.0834,-0.0555,0.9944,632.0000,1832.0000,1841.0000,17.7438,14.7381,,
0.1121,249,0,265.9200,48.4628,535.0783,268.8267,81.4269,513.5872,-0.0305,0.0702,-0.0684,0.9947,632.0000,1832.0000,1841.0000,17.7438,14.7381,,
0.1239,249,0,243.3589,52.3700,548.1328,246.3089,85.3303,526.6417,-0.0286,0.0510,-0.0749,0.9955,632.0000,1832.0000,1841.0000,17.7375,14.7864,,
0.1355,249,0,243.3589,52.3700,548.1328,246.3089,85.3303,526.6417,-0.0286,0.0510,-0.0749,0.9955,632.0000,1832.0000,1841.0000,17.7371,14.8156,,
0.1476,249,0,239.2079,52.1656,551.5490,242.1908,85.1228,530.0579,-0.0281,0.0472,-0.0750,0.9957,632.0000,1832.0000,1841.0000,17.7367,14.8256,,
0.1596,249,0,237.5377,49.4784,551.7661,240.5457,82.4334,530.2750,-0.0301,0.0469,-0.0747,0.9957,632.0000,1832.0000,1841.0000,17.7367,14.8256,,
0.1682,249,0,237.5377,49.4784,551.7661,240.5457,82.4334,530.2750,-0.0301,0.0469,-0.0747,0.9957,632.0000,1832.0000,1841.0000,17.7363,14.8292,,
0.1796,249,0,239.8716,48.6438,551.6773,242.8401,81.6024,530.1862,-0.0285,0.0462,-0.0742,0.9958,632.0000,1832.0000,1841.0000,17.7363,14.8292,,
0.1914,249,0,241.8940,44.9017,548.9710,244.6893,77.8754,527.4799,-0.0329,0.0493,-0.0708,0.9957,632.0000,1832.0000,1841.0000,17.7363,14.8292,,
0.2034,249,0,241.3212,43.6182,547.4362,244.0686,76.5960,525.9451,-0.0328,0.0523,-0.0704,0.9956,632.0000,1832.0000,1841.0000,17.7392,14.8309,,
0.2155,249,0,241.3212,43.6182,547.4362,244.0686,76.5960,525.9451,-0.0328,0.0523,-0.0704,0.9956,632.0000,1832.0000,1841.0000,17.7223,14.8404,,
0.2274,249,0,241.2197,42.6599,548.2312,244.0392,75.6315,526.7401,-0.0320,0.0506,-0.0714,0.9957,632.0000,1832.0000,1841.0000,17.6919,14.8577,,
0.2360,249,0,240.4955,39.7455,547.5587,243.1108,72.7339,526.0676,-0.0355,0.0502,-0.0699,0.9957,632.0000,1832.0000,1841.0000,17.5976,14.9078,,
0.2476,249,0,240.4955,39.7455,547.5587,243.1108,72.7339,526.0676,-0.0355,0.0502,-0.0699,0.9957,632.0000,1832.0000,1841.0000,17.5870,14.9171,,
0.2596,249,0,239.8604,37.0709,544.9777,242.5410,70.0541,523.4866,-0.0368,0.0526,-0.0690,0.9955,632.0000,1832.0000,1841.0000,17.5900,14.9188,,
0.2714,249,0,243.7290,30.1864,544.4792,245.8971,63.2072,522.9882,-0.0411,0.0531,-0.0644,0.9957,632.0000,1832.0000,1841.0000,17.5853,14.9316,,
0.2836,249,0,243.7290,30.1864,544.4792,245.8971,63.2072,522.9882,-0.0411,0.0531,-0.0644,0.9957,632.0000,1832.0000,1841.0000,17.5333,14.9711,,
0.2955,249,0,244.3087,26.5920,543.0000,246.3508,59.6209,521.5089,-0.0416,0.0556,-0.0622,0.9956,632.0000,1832.0000,1841.0000,17.4999,14.9867,,
0.3041,249,0,243.4913,22.4827,542.7205,245.6771,55.5024,521.2294,-0.0439,0.0558,-0.0601,0.9957,632.0000,1832.0000,1841.0000,17.4893,14.9961,,
0.3156,249,0,243.4913,22.4827,542.7205,245.6771,55.5024,521.2294,-0.0439,0.0558,-0.0601,0.9957,632.0000,1832.0000,1841.0000,17.4893,14.9961,,
0.3275,249,0,241.9698,20.9016,542.7497,243.9140,53.9365,521.2586,-0.0440,0.0548,-0.0596,0.9957,632.0000,1832.0000,1841.0000,17.4893,14.9961,,
0.3395,249,0,238.7639,18.2195,541.8591,240.4778,51.2670,520.3680,-0.0465,0.0538,-0.0580,0.9958,632.0000,1832.0000,1841.0000,17.4893,14.9961,,
0.3515,249,0,237.0341,17.2467,543.1128,238.8778,50.2872,521.6217,-0.0455,0.0524,-0.0575,0.9959,632.0000,1832.0000,1841.0000,17.4923,14.9978,,
0.3600,249,0,237.0341,17.2467,543.1128,238.8778,50.2872,521.6217,-0.0455,0.0524,-0.0575,0.9959,632.0000,1832.0000,1841.0000,17.4923,14.9978,,
