{HEADER}
user_id: 790
target_id: 296
target_screen_position_mm: [-24.16, 48.04]
fingertip_offset: [-0.06, 33.09, 21.49]
completion_time: 3.9641
endpoint_error_mm: [-6.6615, -11.7105, 29.4651]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.201843, 12.199990, 12.138453, 7.347800]
control_points_accel: [-0.394181, -0.770353, -3.964669, 5.129203]
stiffness_measurements: [0.196251, 0.271653, 0.229283, 0.129463]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,296,0,261.7976,-83.3590,506.6469,263.5464,-50.3133,485.1558,-0.0882,0.2291,-0.0580,0.9677,1884.0000,1819.0000,1836.0000,-4.3493,-0.4173,,
0.0126,296,0,261.0160,-83.4392,507.0207,262.9595,-50.4043,485.5295,-0.0866,0.2294,-0.0589,0.9677,1884.0000,1819.0000,1836.0000,-4.3493,-0.4173,,
0.0242,296,0,261.0160,-83.4392,507.0207,262.9595,-50.4043,485.5295,-0.0866,0.2294,-0.0589,0.9677,1884.0000,1819.0000,1836.0000,-4.3493,-0.4173,,
0.0328,296,0,260.0280,-83.0924,506.7314,261.9354,-50.0554,485.2403,-0.0866,0.2285,-0.0601,0.9678,1884.0000,1819.0000,1836.0000,-4.3493,-0.4173,,
0.0437,296,0,258.3374,-82.3333,505.8057,259.7662,-49.2722,484.3145,-0.0855,0.2237,-0.0616,0.9690,1884.0000,1819.0000,1836.0000,-4.3529,-0.4153,,
0.0560,296,0,258.3374,-82.3333,505.8057,259.7662,-49.2722,484.3145,-0.0855,0.2237,-0.0616,0.9690,1884.0000,1819.0000,1836.0000,-4.3672,-0.4071,,
0.0680,296,0,258.0377,-82.6562,506.3392,259.4955,-49.5964,484.8481,-0.0850,0.2228,-0.0620,0.9692,1884.0000,1819.0000,1836.0000,-4.4066,-0.3848,,
0.0800,296,0,256.3965,-83.4455,505.3413,258.2723,-50.4067,483.8502,-0.0856,0.2245,-0.0616,0.9688,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.0886,296,0,256.3965,-83.4455,505.3413,258.2723,-50.4067,483.8502,-0.0856,0.2245,-0.0616,0.9688,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.0998,296,0,256.2884,-83.6722,505.0478,258.2918,-50.6409,483.5566,-0.0854,0.2248,-0.0612,0.9687,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.1119,296,0,255.8019,-83.6469,503.2471,257.8802,-50.6202,481.7560,-0.0856,0.2255,-0.0612,0.9685,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.1240,296,0,255.1833,-83.3829,502.0238,257.0464,-50.3434,480.5327,-0.0859,0.2257,-0.0609,0.9685,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.1361,296,0,255.1833,-83.3829,502.0238,257.0464,-50.3434,480.5327,-0.0859,0.2257,-0.0609,0.9685,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.1479,296,0,255.1906,-82.7760,501.5452,257.1955,-49.7448,480.0540,-0.0852,0.2256,-0.0616,0.9685,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.1565,296,0,255.3876,-80.1336,499.3275,257.3937,-47.1025,477.8364,-0.0835,0.2259,-0.0628,0.9685,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.1683,296,0,255.3876,-80.1336,499.3275,257.3937,-47.1025,477.8364,-0.0835,0.2259,-0.0628,0.9685,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.1801,296,0,255.8787,-78.9710,498.2947,257.9224,-45.9422,476.8036,-0.0827,0.2272,-0.0629,0.9683,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.1920,296,0,256.4879,-77.4348,495.6447,258.4311,-44.3999,474.1536,-0.0808,0.2290,-0.0613,0.9681,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.2039,296,0,256.4879,-77.4348,495.6447,258.4311,-44.3999,474.1536,-0.0808,0.2290,-0.0613,0.9681,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.2159,296,0,256.4410,-76.5556,494.5381,258.4372,-43.5239,473.0470,-0.0810,0.2302,-0.0602,0.9679,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.2244,296,0,255.8735,-73.9437,491.8955,257.7273,-40.9037,470.4044,-0.0793,0.2290,-0.0586,0.9684,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.2370,296,0,255.3766,-72.4705,490.9088,257.3225,-39.4358,469.4176,-0.0775,0.2298,-0.0587,0.9684,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.2479,296,0,255.3766,-72.4705,490.9088,257.3225,-39.4358,469.4176,-0.0775,0.2298,-0.0587,0.9684,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.2600,296,0,254.8095,-71.2617,490.9589,256.7971,-38.2294,469.4678,-0.0758,0.2307,-0.0583,0.9683,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.2722,296,0,253.5330,-69.3984,488.6286,256.6374,-36.4523,467.1375,0.1233,0.5838,-0.1905,0.7795,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.2808,296,0,253.5330,-69.3984,488.6286,256.6374,-36.4523,467.1375,0.1233,0.5838,-0.1905,0.7795,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.2920,296,0,252.9210,-68.5288,487.4206,254.7845,-35.4893,465.9294,-0.0731,0.2291,-0.0554,0.9691,1884.0000,1819.0000,1836.0000,-4.4317,-0.3706,,
0.3042,296,0,251.6967,-66.7969,485.5163,253.6118,-33.7604,464.0252,-0.0716,0.2303,-0.0543,0.9690,1884.0000,1819.0000,1836.0000,-4.4317,-0.3673,,
0.3161,296,0,251.6967,-66.7969,485.5163,253.6118,-33.7604,464.0252,-0.0716,0.2303,-0.0543,0.9690,1884.0000,1819.0000,1836.0000,-4.4317,-0.3673,,
0.3279,296,0,251.3580,-65.9914,484.4373,252.9692,-32.9386,462.9462,-0.0703,0.2302,-0.0534,0.9691,1884.0000,1819.0000,1836.0000,-4.4317,-0.3673,,
0.3402,296,0,249.8507,-64.5486,482.4744,251.5661,-31.5011,460.9832,-0.0690,0.2311,-0.0518,0.9691,1884.0000,1819.0000,1836.0000,-4.4317,-0.3673,,
0.3488,296,0,249.5316,-63.0088,481.1967,251.9047,-30.0020,459.7056,-0.0338,0.2228,-0.0585,0.9725,1884.0000,1819.0000,1836.0000,-4.4317,-0.3673,,
0.3598,296,0,249.5316,-63.0088,481.1967,251.9047,-30.0020,459.7056,-0.0338,0.2228,-0.0585,0.9725,1884.0000,1819.0000,1836.0000,-4.4317,-0.3640,,
0.3720,296,0,249.3884,-61.9612,480.9183,251.3148,-28.9253,459.4272,-0.4326,0.5963,0.3582,0.5736,1884.0000,1819.0000,1836.0000,-4.4317,-0.3640,,
