{HEADER}
user_id: 790
target_id: 307
target_screen_position_mm: [152.07, 48.04]
fingertip_offset: [-0.06, 33.09, 21.49]
completion_time: 4.0875
endpoint_error_mm: [-4.2871, 0.6792, 30.3147]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.201843, 12.199990, 12.138453, 7.347800]
control_points_accel: [-0.394181, -0.770353, -3.964669, 5.129203]
stiffness_measurements: [0.196251, 0.271653, 0.229283, 0.129463]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,307,0,234.4880,-37.9169,535.9929,239.0905,-5.1465,514.5018,-0.0635,-0.0024,-0.1042,0.9925,1884.0000,1679.0000,1837.0000,-4.4839,0.1172,,
0.0116,307,0,234.1077,-39.0117,536.3801,238.7011,-6.2400,514.8890,-0.0635,-0.0029,-0.1038,0.9926,1811.0000,1813.0000,1837.0000,-4.5772,0.1733,,
0.0256,307,0,234.1077,-39.0117,536.3801,238.7011,-6.2400,514.8890,-0.0635,-0.0029,-0.1038,0.9926,1741.0000,1819.0000,1837.0000,-5.0548,0.4440,,
0.0358,307,0,233.2877,-40.5918,536.0278,237.7974,-7.8086,514.5367,-0.0655,-0.0037,-0.1042,0.9924,1704.0000,1819.0000,1837.0000,-5.0440,0.4412,,
0.0473,307,0,234.0119,-41.4472,534.3712,238.7059,-8.6898,512.8801,-0.0661,-0.0025,-0.1063,0.9921,1650.0000,1819.0000,1837.0000,-5.0132,0.4415,,
0.0594,307,0,234.0119,-41.4472,534.3712,238.7059,-8.6898,512.8801,-0.0661,-0.0025,-0.1063,0.9921,1617.0000,1819.0000,1837.0000,-5.0081,0.4444,,
0.0680,307,0,235.4568,-42.3165,533.6830,240.1306,-9.5563,512.1920,-0.0666,-0.0024,-0.1069,0.9920,1589.0000,1819.0000,1837.0000,-4.9875,0.4561,,
0.0793,307,0,235.4568,-42.3165,533.6830,240.1306,-9.5563,512.1920,-0.0666,-0.0024,-0.1069,0.9920,1567.0000,1819.0000,1837.0000,-4.9593,0.4721,,
0.0914,307,0,237.4434,-44.9043,531.4998,242.0887,-12.1399,510.0087,-0.0696,-0.0010,-0.1055,0.9920,1509.0000,1819.0000,1837.0000,-4.8668,0.5245,,
0.1039,307,0,237.7099,-44.0343,530.3871,242.4299,-11.2807,508.8960,-0.0675,-0.0018,-0.1047,0.9922,1472.0000,1819.0000,1830.0000,-4.8179,0.5522,,
0.1153,307,0,237.1984,-43.7643,529.0039,241.9946,-11.0217,507.5128,-0.0673,0.0003,-0.1049,0.9922,1432.0000,1819.0000,1825.0000,-4.6918,0.6237,,
0.1240,307,0,237.1984,-43.7643,529.0039,241.9946,-11.0217,507.5128,-0.0673,0.0003,-0.1049,0.9922,1422.0000,1819.0000,1822.0000,-4.5397,0.7099,,
0.1352,307,0,237.5089,-43.4272,528.2247,242.0234,-10.6446,506.7336,-0.0674,-0.0005,-0.1043,0.9923,1397.0000,1819.0000,1818.0000,-4.4313,0.7713,,
0.1473,307,0,237.5089,-43.4272,528.2247,242.0234,-10.6446,506.7336,-0.0674,-0.0005,-0.1043,0.9923,1388.0000,1819.0000,1815.0000,-4.1086,0.9461,,
0.1593,307,0,237.4628,-43.7585,526.7192,241.6790,-10.9362,505.2281,-0.0668,-0.0013,-0.1017,0.9926,1349.0000,1819.0000,1812.0000,-4.0272,0.9881,,
0.1712,307,0,237.2063,-42.5317,525.5997,241.4507,-9.7130,504.1086,-0.0662,-0.0030,-0.1003,0.9927,1320.0000,1819.0000,1809.0000,-3.7984,1.1056,,
0.1832,307,0,236.2574,-41.8720,524.6244,240.5084,-9.0542,503.1333,-0.0657,-0.0030,-0.1000,0.9928,1294.0000,1819.0000,1807.0000,-3.7220,1.1416,,
0.1918,307,0,236.2574,-41.8720,524.6244,240.5084,-9.0542,503.1333,-0.0657,-0.0030,-0.1000,0.9928,1291.0000,1819.0000,1807.0000,-3.6247,1.1926,,
0.2032,307,0,235.5841,-40.5227,524.1943,239.8198,-7.7029,502.7032,-0.0639,-0.0033,-0.1003,0.9929,1277.0000,1819.0000,1806.0000,-3.4058,1.3167,,
0.2153,307,0,235.5841,-40.5227,524.1943,239.8198,-7.7029,502.7032,-0.0639,-0.0033,-0.1003,0.9929,1273.0000,1819.0000,1807.0000,-3.2116,1.4227,,
0.2272,307,0,235.1878,-37.6275,523.1870,239.6131,-4.8328,501.6958,-0.0619,-0.0058,-0.1005,0.9930,1249.0000,1819.0000,1807.0000,-3.1531,1.4518,,
0.2394,307,0,235.2171,-36.5071,520.9022,239.1513,-3.6498,499.4111,-0.0603,-0.0061,-0.0964,0.9935,1196.0000,1819.0000,1808.0000,-3.1374,1.4607,,
0.2515,307,0,235.2171,-36.5071,520.9022,239.1513,-3.6498,499.4111,-0.0603,-0.0061,-0.0964,0.9935,1192.0000,1819.0000,1811.0000,-3.0484,1.5111,,
0.2601,307,0,235.4944,-36.5142,520.4879,239.3882,-3.6521,498.9968,-0.0601,-0.0071,-0.0942,0.9937,1181.0000,1819.0000,1812.0000,-2.9699,1.5589,,
0.2713,307,0,235.6983,-33.5841,516.7275,239.4902,-0.7101,495.2364,-0.0590,-0.0039,-0.0937,0.9938,1095.0000,1819.0000,1812.0000,-2.8480,1.6149,,
