{HEADER}
user_id: 790
target_id: 320
target_screen_position_mm: [-119.96, 63.96]
fingertip_offset: [-0.06, 33.09, 21.49]
completion_time: 5.8479
endpoint_error_mm: [0.5283, -5.5513, 28.6065]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.201843, 12.199990, 12.138453, 7.347800]
control_points_accel: [-0.394181, -0.770353, -3.964669, 5.129203]
stiffness_measurements: [0.196251, 0.271653, 0.229283, 0.129463]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,320,0,128.8246,-47.6202,552.1618,133.8217,-14.9077,530.6707,-0.0586,0.2129,-0.0897,0.9712,1889.0000,1834.0000,1836.0000,0.0443,-0.6057,,
0.0189,320,0,128.5607,-47.6015,552.1335,133.6954,-14.9103,530.6425,-0.0587,0.2136,-0.0897,0.9710,1889.0000,1834.0000,1836.0000,0.0468,-0.6240,,
0.0278,320,0,128.5607,-47.6015,552.1335,133.6954,-14.9103,530.6425,-0.0587,0.2136,-0.0897,0.9710,1889.0000,1834.0000,1836.0000,0.0468,-0.6469,,
0.0364,320,0,128.4194,-47.6403,552.0687,136.2993,-15.5002,530.5776,-0.2788,-0.3436,-0.1450,0.8850,1889.0000,1834.0000,1836.0000,0.0468,-0.6633,,
0.0450,320,0,128.4194,-47.6403,552.0687,136.2993,-15.5002,530.5776,-0.2788,-0.3436,-0.1450,0.8850,1889.0000,1834.0000,1836.0000,0.0468,-0.6765,,
0.0557,320,0,128.4650,-47.0352,552.1496,133.6741,-14.3558,530.6585,-0.0592,0.2138,-0.0907,0.9708,1889.0000,1834.0000,1836.0000,0.0468,-0.6797,,
0.0680,320,0,128.9149,-46.1010,552.7391,134.1200,-13.4209,531.2480,-0.0583,0.2152,-0.0904,0.9706,1889.0000,1834.0000,1836.0000,0.0468,-0.6797,,
0.0799,320,0,129.4460,-45.5610,551.8257,134.5632,-12.8671,530.3346,-0.0572,0.2143,-0.0902,0.9709,1889.0000,1834.0000,1836.0000,0.0468,-0.6797,,
0.0918,320,0,129.4460,-45.5610,551.8257,134.5632,-12.8671,530.3346,-0.0572,0.2143,-0.0902,0.9709,1889.0000,1834.0000,1836.0000,0.0468,-0.6797,,
0.1042,320,0,129.6531,-45.3503,551.8949,134.9458,-12.6843,530.4038,-0.0572,0.2146,-0.0898,0.9709,1889.0000,1834.0000,1836.0000,0.0468,-0.6830,,
0.1129,320,0,129.6611,-44.2288,550.8579,134.9710,-11.5656,529.3668,-0.0571,0.2151,-0.0892,0.9708,1889.0000,1834.0000,1836.0000,0.0468,-0.6830,,
0.1238,320,0,129.6611,-44.2288,550.8579,134.9710,-11.5656,529.3668,-0.0571,0.2151,-0.0892,0.9708,1889.0000,1834.0000,1836.0000,0.0468,-0.6830,,
0.1357,320,0,129.8123,-43.2980,550.9444,134.9463,-10.6067,529.4533,-0.0568,0.2148,-0.0896,0.9709,1889.0000,1834.0000,1836.0000,0.0468,-0.6830,,
0.1477,320,0,130.2214,-42.0242,550.6682,135.4454,-9.3472,529.1771,-0.0556,0.2149,-0.0905,0.9708,1889.0000,1834.0000,1836.0000,0.0468,-0.6830,,
0.1604,320,0,130.3075,-41.0838,549.6821,135.4914,-8.4003,528.1910,-0.0551,0.2148,-0.0902,0.9709,1889.0000,1834.0000,1836.0000,0.0468,-0.6961,,
0.1688,320,0,130.3075,-41.0838,549.6821,135.4914,-8.4003,528.1910,-0.0551,0.2148,-0.0902,0.9709,1889.0000,1834.0000,1836.0000,0.0468,-0.7355,,
0.1799,320,0,130.7905,-40.5792,550.8647,135.9892,-7.8981,529.3736,-0.0547,0.2163,-0.0896,0.9707,1889.0000,1834.0000,1836.0000,0.0468,-0.7585,,
0.1916,320,0,131.3872,-39.2553,549.6739,136.6539,-6.5851,528.1828,-0.0536,0.2163,-0.0901,0.9707,1889.0000,1834.0000,1836.0000,0.0443,-0.7993,,
0.2038,320,0,131.3872,-39.2553,549.6739,136.6539,-6.5851,528.1828,-0.0536,0.2163,-0.0901,0.9707,1889.0000,1834.0000,1836.0000,0.0443,-0.8124,,
0.2157,320,0,131.8705,-38.0088,549.9706,137.2671,-5.3598,528.4796,-0.0534,0.2169,-0.0901,0.9706,1889.0000,1834.0000,1836.0000,0.0443,-0.8223,,
0.2278,320,0,132.3378,-35.1416,549.9828,137.7622,-2.4972,528.4918,-0.0513,0.2181,-0.0903,0.9704,1889.0000,1834.0000,1836.0000,0.0443,-0.8453,,
