{HEADER}
user_id: 791
target_id: 243
target_screen_position_mm: [88.11, 15.92]
fingertip_offset: [0.40, 33.44, 23.16]
completion_time: 6.1199
endpoint_error_mm: [-2.2783, 19.3950, 27.2029]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [10.927567, 9.985579, 10.120739, 9.858398]
control_points_accel: [-1.954779, 1.386970, -0.973794, 1.541603]
stiffness_measurements: [0.226669, 0.155536, 0.122788, 0.348330]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,243,0,186.1809,-84.5980,551.9188,187.6237,-51.1818,528.7627,-0.0966,0.1385,-0.0460,0.9846,1569.0000,1796.0000,1444.0000,9.0887,-2.2965,,
0.0125,243,0,186.0755,-82.9041,551.5581,187.7200,-49.4973,528.4020,-0.0955,0.1375,-0.0461,0.9848,1517.0000,1796.0000,1465.0000,9.0887,-2.2965,,
0.0248,243,0,186.0755,-82.9041,551.5581,187.7200,-49.4973,528.4020,-0.0955,0.1375,-0.0461,0.9848,1452.0000,1796.0000,1498.0000,9.2392,-2.5616,,
0.0339,243,0,185.9031,-81.9581,551.1564,187.4953,-48.5486,528.0004,-0.0962,0.1379,-0.0459,0.9847,1410.0000,1796.0000,1511.0000,9.3711,-2.8581,,
0.0439,243,0,185.9083,-80.5514,550.3311,187.3249,-47.1341,527.1750,-0.0955,0.1382,-0.0458,0.9847,1364.0000,1796.0000,1521.0000,9.5409,-3.2636,,
0.0561,243,0,185.9083,-80.5514,550.3311,187.3249,-47.1341,527.1750,-0.0955,0.1382,-0.0458,0.9847,1328.0000,1796.0000,1539.0000,9.6885,-3.3876,,
0.0680,243,0,185.7622,-80.0067,549.8059,187.2606,-46.5929,526.6498,-0.0944,0.1383,-0.0458,0.9848,1295.0000,1796.0000,1547.0000,9.8313,-3.3067,,
0.0801,243,0,182.6241,-66.8903,553.8423,183.8558,-33.4657,530.6862,-0.0837,0.1348,-0.0407,0.9865,1271.0000,1796.0000,1561.0000,10.0354,-3.1838,,
0.0922,243,0,181.6306,-59.5302,555.0368,183.1291,-26.1165,531.8807,-0.0786,0.1346,-0.0423,0.9869,1253.0000,1796.0000,1583.0000,10.1955,-3.1090,,
0.1010,243,0,181.6306,-59.5302,555.0368,183.1291,-26.1165,531.8807,-0.0786,0.1346,-0.0423,0.9869,1241.0000,1796.0000,1602.0000,10.2771,-3.0628,,
0.1118,243,0,181.0079,-59.8351,555.3803,182.5695,-26.4242,532.2242,-0.0783,0.1317,-0.0456,0.9871,1229.0000,1796.0000,1620.0000,10.4607,-2.9562,,
0.1244,243,0,178.6693,-59.9905,555.1367,180.3642,-26.5862,531.9806,-0.0788,0.1312,-0.0454,0.9872,1219.0000,1796.0000,1637.0000,10.4995,-2.9271,,
0.1363,243,0,178.6693,-59.9905,555.1367,180.3642,-26.5862,531.9806,-0.0788,0.1312,-0.0454,0.9872,1213.0000,1796.0000,1648.0000,10.6405,-2.8439,,
0.1481,243,0,178.4202,-60.5175,555.1733,179.8457,-27.1005,532.0173,-0.0778,0.1308,-0.0456,0.9873,1208.0000,1796.0000,1658.0000,10.7895,-2.7330,,
0.1601,243,0,177.7389,-61.6955,554.6155,179.2377,-28.2818,531.4595,-0.0795,0.1298,-0.0460,0.9873,1204.0000,1796.0000,1665.0000,10.8291,-2.7106,,
0.1688,243,0,177.7389,-61.6955,554.6155,179.2377,-28.2818,531.4595,-0.0795,0.1298,-0.0460,0.9873,1203.0000,1796.0000,1668.0000,10.9259,-2.6565,,
0.1799,243,0,177.2877,-62.0237,554.2059,178.8334,-28.6121,531.0498,-0.0795,0.1308,-0.0456,0.9872,1201.0000,1796.0000,1672.0000,10.9803,-2.6296,,
0.1920,243,0,176.9845,-63.6386,553.1687,178.3774,-30.2203,530.0126,-0.0815,0.1300,-0.0451,0.9871,1200.0000,1796.0000,1675.0000,10.9860,-2.6264,,
0.2042,243,0,176.9845,-63.6386,553.1687,178.3774,-30.2203,530.0126,-0.0815,0.1300,-0.0451,0.9871,1200.0000,1796.0000,1675.0000,10.9958,-2.6288,,
0.2160,243,0,176.6066,-63.5455,552.7275,178.3962,-30.1461,529.5714,-0.0810,0.1295,-0.0449,0.9872,1200.0000,1796.0000,1676.0000,11.0057,-2.6312,,
0.2248,243,0,175.5572,-63.4019,552.2879,177.0400,-29.9875,529.1318,-0.0799,0.1291,-0.0453,0.9874,1200.0000,1796.0000,1676.0000,11.0155,-2.6335,,
0.2360,243,0,175.5572,-63.4019,552.2879,177.0400,-29.9875,529.1318,-0.0799,0.1291,-0.0453,0.9874,1201.0000,1796.0000,1677.0000,11.0297,-2.6255,,
0.2480,243,0,174.9205,-62.9047,551.7222,176.4276,-29.4913,528.5662,-0.0807,0.1288,-0.0450,0.9874,1202.0000,1796.0000,1677.0000,11.0410,-2.6191,,
0.2601,243,0,173.6679,-62.0292,550.9710,175.2224,-28.6180,527.8149,-0.0803,0.1276,-0.0446,0.9876,1203.0000,1796.0000,1678.0000,11.0438,-2.6175,,
0.2720,243,0,173.0912,-61.0519,550.9173,174.5623,-27.6370,527.7612,-0.0798,0.1272,-0.0447,0.9876,1204.0000,1796.0000,1680.0000,11.0438,-2.6175,,
0.2842,243,0,173.0912,-61.0519,550.9173,174.5623,-27.6370,527.7612,-0.0798,0.1272,-0.0447,0.9876,1206.0000,1796.0000,1682.0000,11.0438,-2.6175,,
0.2929,243,0,172.3287,-59.8336,550.6091,173.7241,-26.4154,527.4531,-0.0791,0.1276,-0.0454,0.9876,1206.0000,1796.0000,1683.0000,11.0438,-2.6143,,
0.3041,243,0,172.3287,-59.8336,550.6091,173.7241,-26.4154,527.4531,-0.0791,0.1276,-0.0454,0.9876,1208.0000,1796.0000,1686.0000,11.0438,-2.6143,,
0.3159,243,0,171.1601,-56.7706,549.8675,172.8690,-23.3670,526.7114,-0.0769,0.1279,-0.0468,0.9877,1209.0000,1796.0000,1688.0000,11.0438,-2.6143,,
0.3280,243,0,170.1005,-53.6835,549.3159,171.7540,-20.2771,526.1598,-0.0751,0.1270,-0.0475,0.9879,1201.0000,1796.0000,1691.0000,11.0473,-2.6163,,
0.3399,243,0,169.5619,-52.1742,549.3362,171.3737,-18.7760,526.1802,-0.0741,0.1268,-0.0481,0.9880,1201.0000,1796.0000,1698.0000,11.0473,-2.6163,,
0.3487,243,0,169.5619,-52.1742,549.3362,171.3737,-18.7760,526.1802,-0.0741,0.1268,-0.0481,0.9880,1202.0000,1796.0000,1703.0000,11.0473,-2.6163,,
0.3600,243,0,169.0080,-50.5666,549.2640,171.0387,-17.1810,526.1079,-0.0730,0.1258,-0.0483,0.9882,1201.0000,1796.0000,1709.0000,11.0467,-2.6095,,
0.3720,243,0,167.6615,-47.3566,548.6723,169.6636,-13.9692,525.5162,-0.0712,0.1255,-0.0489,0.9883,1191.0000,1796.0000,1713.0000,11.0467,-2.5966,,
0.3840,243,0,167.6615,-47.3566,548.6723,169.6636,-13.9692,525.5162,-0.0712,0.1255,-0.0489,0.9883,1192.0000,1796.0000,1721.0000,11.0467,-2.5613,,
0.3960,243,0,167.1998,-45.8648,548.0774,169.1914,-12.4769,524.9213,-0.0691,0.1255,-0.0490,0.9885,1181.0000,1796.0000,1726.0000,11.0460,-2.5481,,
0.4079,243,0,166.3615,-42.5914,547.6202,168.5222,-9.2139,524.4642,-0.0697,0.1250,-0.0486,0.9885,1173.0000,1796.0000,1732.0000,11.1026,-2.4871,,
0.4166,243,0,166.3615,-42.5914,547.6202,168.5222,-9.2139,524.4642,-0.0697,0.1250,-0.0486,0.9885,1173.0000,1796.0000,1738.0000,11.1196,-2.4679,,
0.4280,243,0,165.9805,-41.0782,546.8936,168.1241,-7.6997,523.7375,-0.0696,0.1250,-0.0485,0.9885,1160.0000,1796.0000,1744.0000,11.1735,-2.4245,,
0.4400,243,0,164.5475,-37.3859,546.3358,166.6581,-4.0052,523.1797,-0.0669,0.1242,-0.0500,0.9887,1149.0000,1796.0000,1750.0000,11.2705,-2.3638,,
0.4522,243,0,164.5475,-37.3859,546.3358,166.6581,-4.0052,523.1797,-0.0669,0.1242,-0.0500,0.9887,1150.0000,1796.0000,1760.0000,11.3245,-2.3076,,
0.4640,243,0,163.1092,-35.3251,545.9513,165.3723,-1.9544,522.7952,-0.0656,0.1254,-0.0513,0.9886,1143.0000,1796.0000,1767.0000,11.3415,-2.2435,,
0.4761,243,0,160.9465,-31.0590,546.3655,163.5364,2.2879,523.2095,-0.0632,0.1222,-0.0536,0.9890,1144.0000,1796.0000,1776.0000,11.3585,-2.1377,,
