{HEADER}
user_id: 795
target_id: 126
target_screen_position_mm: [135.88, -48.04]
fingertip_offset: [0.63, 33.38, 23.53]
completion_time: 7.3839
endpoint_error_mm: [-0.7901, 0.1210, 26.6695]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.416233, 12.234168, 13.635418, 6.455830]
control_points_accel: [-0.914396, 0.574472, -7.260165, 7.600089]
stiffness_measurements: [0.288490, 0.289500, 0.219428, 0.294233]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,126,0,195.4068,177.4139,610.2347,202.2017,210.0988,586.7067,-0.0064,0.1547,-0.0966,0.9832,945.0000,1830.0000,1837.0000,1.7312,6.1038,,
0.0129,126,0,195.4068,177.4139,610.2347,202.2017,210.0988,586.7067,-0.0064,0.1547,-0.0966,0.9832,713.0000,1830.0000,1837.0000,1.7278,6.1057,,
0.0251,126,0,195.3192,177.5761,610.3152,202.1108,210.2617,586.7873,-0.0066,0.1548,-0.0964,0.9832,708.0000,1830.0000,1837.0000,2.1262,6.3315,,
0.0382,126,0,195.2767,177.5182,610.2966,202.1887,210.1786,586.7686,-0.0065,0.1548,-0.0963,0.9832,674.0000,1830.0000,1837.0000,5.2426,8.0053,,
0.0468,126,0,195.2767,177.5182,610.2966,202.1887,210.1786,586.7686,-0.0065,0.1548,-0.0963,0.9832,664.0000,1830.0000,1837.0000,6.2925,8.4492,,
0.0555,126,0,195.3748,177.4441,610.4534,202.1819,210.1266,586.9254,-0.0070,0.1549,-0.0963,0.9832,658.0000,1831.0000,1837.0000,7.1457,8.7193,,
0.0678,126,0,190.9344,174.5857,615.4919,197.4342,207.3306,591.9639,-0.0060,0.1466,-0.0929,0.9848,648.0000,1832.0000,1838.0000,8.9245,8.9052,,
0.0798,126,0,177.0765,164.0362,625.5348,184.3358,196.6212,602.0068,-0.0158,0.1346,-0.0923,0.9865,645.0000,1832.0000,1838.0000,9.4432,8.9279,,
0.0917,126,0,177.0765,164.0362,625.5348,184.3358,196.6212,602.0068,-0.0158,0.1346,-0.0923,0.9865,645.0000,1832.0000,1838.0000,9.4739,8.9574,,
0.1005,126,0,153.7542,160.6754,629.9182,160.8215,193.3026,606.3902,-0.0155,0.1207,-0.1095,0.9865,644.0000,1832.0000,1838.0000,9.5390,9.0206,,
0.1121,126,0,127.3008,169.1506,642.5849,135.2264,201.5799,619.0569,-0.0135,0.1105,-0.1219,0.9863,644.0000,1832.0000,1838.0000,9.5478,9.0288,,
