{HEADER}
user_id: 795
target_id: 219
target_screen_position_mm: [183.92, 0.00]
fingertip_offset: [0.63, 33.38, 23.53]
completion_time: 7.0917
endpoint_error_mm: [3.3218, 11.8073, 26.9832]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.416233, 12.234168, 13.635418, 6.455830]
control_points_accel: [-0.914396, 0.574472, -7.260165, 7.600089]
stiffness_measurements: [0.288490, 0.289500, 0.219428, 0.294233]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,219,0,218.5407,-243.1897,479.8069,215.6536,-209.9310,456.2789,-0.0477,0.1435,-0.0326,0.9880,1870.0000,1830.0000,468.0000,0.7971,5.4058,,
0.0123,219,0,217.8712,-240.5588,479.4915,214.8493,-207.3121,455.9635,-0.0450,0.1445,-0.0316,0.9880,1870.0000,1830.0000,468.0000,0.7692,5.3900,,
0.0242,219,0,218.5304,-239.9129,480.7538,215.3290,-206.6830,457.2258,-0.0450,0.1439,-0.0301,0.9881,1836.0000,1830.0000,445.0000,0.7414,2.9919,,
0.0347,219,0,218.5304,-239.9129,480.7538,215.3290,-206.6830,457.2258,-0.0450,0.1439,-0.0301,0.9881,1737.0000,1830.0000,415.0000,0.5812,-0.1548,,
0.0436,219,0,218.7831,-238.8505,480.5648,215.6760,-205.6116,457.0369,-0.0430,0.1447,-0.0296,0.9881,1652.0000,1830.0000,394.0000,0.0202,-2.7629,,
0.0554,219,0,219.9485,-235.5228,480.9146,216.7679,-202.2909,457.3866,-0.0411,0.1461,-0.0290,0.9880,1577.0000,1830.0000,390.0000,-0.3184,-3.3603,,
0.0995,219,0,226.0909,-145.6777,535.1276,222.1012,-112.5332,511.5997,0.0589,0.1445,0.0071,0.9877,1676.0000,1830.0000,951.0000,-0.5932,0.7515,,
0.1114,219,0,227.2131,-151.5639,528.9127,222.4213,-118.5258,505.3848,0.0518,0.1493,0.0120,0.9874,1512.0000,1830.0000,969.0000,-0.5973,1.9259,,
0.1237,219,0,229.1739,-154.0887,527.5740,224.4405,-121.0422,504.0460,0.0494,0.1489,0.0080,0.9876,1400.0000,1829.0000,974.0000,-0.2293,2.5245,,
0.1358,219,0,236.5220,-174.5138,519.4871,231.9258,-141.4479,495.9591,-0.0189,0.1729,0.0089,0.9847,1308.0000,1829.0000,970.0000,0.3853,1.2140,,
