{HEADER}
user_id: 795
target_id: 352
target_screen_position_mm: [-40.08, 79.88]
fingertip_offset: [0.63, 33.38, 23.53]
completion_time: 7.3946
endpoint_error_mm: [5.5891, -3.2786, 26.5861]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.416233, 12.234168, 13.635418, 6.455830]
control_points_accel: [-0.914396, 0.574472, -7.260165, 7.600089]
stiffness_measurements: [0.288490, 0.289500, 0.219428, 0.294233]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,352,0,-349.3281,-407.1655,475.6921,-346.6830,-373.8867,452.1642,-0.2095,-0.0594,-0.0528,0.9746,1882.0000,1755.0000,1616.0000,-10.3915,3.4348,,
0.0113,352,0,-349.8474,-407.8428,476.7345,-347.0621,-374.5754,453.2065,-0.2102,-0.0597,-0.0542,0.9743,1882.0000,1753.0000,1616.0000,-10.3915,3.4348,,
0.0233,352,0,-350.2944,-408.1100,477.7654,-348.0467,-374.8020,454.2374,-0.2089,-0.0580,-0.0546,0.9747,1882.0000,1750.0000,1616.0000,-10.5106,3.2335,,
0.0362,352,0,-350.2944,-408.1100,477.7654,-348.0467,-374.8020,454.2374,-0.2089,-0.0580,-0.0546,0.9747,1882.0000,1747.0000,1615.0000,-10.6367,2.9962,,
0.0468,352,0,-351.0731,-408.5123,478.5095,-348.4763,-375.2297,454.9815,-0.2075,-0.0580,-0.0545,0.9750,1882.0000,1745.0000,1614.0000,-10.9980,2.6213,,
0.0556,352,0,-349.9847,-408.4350,477.7178,-347.2242,-375.1656,454.1898,-0.2099,-0.0595,-0.0561,0.9743,1882.0000,1744.0000,1614.0000,-11.0191,2.6233,,
0.0667,352,0,-349.9847,-408.4350,477.7178,-347.2242,-375.1656,454.1898,-0.2099,-0.0595,-0.0561,0.9743,1882.0000,1743.0000,1614.0000,-11.0437,2.6373,,
0.0789,352,0,-349.2976,-406.6308,480.4489,-346.7018,-373.3481,456.9210,-0.2063,-0.0582,-0.0559,0.9752,1882.0000,1742.0000,1613.0000,-11.0542,2.6432,,
0.0912,352,0,-354.2875,-401.2007,493.7448,-352.1997,-367.8822,470.2169,-0.1888,-0.0532,-0.0531,0.9791,1882.0000,1741.0000,1614.0000,-11.0542,2.6432,,
0.1029,352,0,-354.7156,-401.4276,492.8597,-352.8696,-368.0948,469.3318,-0.1910,-0.0534,-0.0529,0.9787,1882.0000,1740.0000,1615.0000,-11.0542,2.6432,,
0.1149,352,0,-353.5001,-401.1123,492.2182,-351.3175,-367.8000,468.6902,-0.1908,-0.0530,-0.0546,0.9787,1882.0000,1739.0000,1615.0000,-11.0578,2.6452,,
0.1237,352,0,-353.5001,-401.1123,492.2182,-351.3175,-367.8000,468.6902,-0.1908,-0.0530,-0.0546,0.9787,1882.0000,1738.0000,1616.0000,-11.0613,2.6472,,
0.1349,352,0,-353.9971,-400.9391,494.3360,-351.9533,-367.6179,470.8080,-0.1881,-0.0522,-0.0552,0.9792,1882.0000,1737.0000,1616.0000,-11.0753,2.6552,,
0.1469,352,0,-354.2507,-398.2779,494.2046,-351.8466,-364.9808,470.6766,-0.1864,-0.0527,-0.0537,0.9796,1882.0000,1736.0000,1617.0000,-11.1140,2.6771,,
0.1590,352,0,-355.0827,-397.2894,495.5391,-352.9140,-363.9761,472.0111,-0.1866,-0.0521,-0.0532,0.9796,1882.0000,1736.0000,1618.0000,-11.1210,2.6811,,
0.1711,352,0,-355.0827,-397.2894,495.5391,-352.9140,-363.9761,472.0111,-0.1866,-0.0521,-0.0532,0.9796,1882.0000,1735.0000,1618.0000,-11.1245,2.6831,,
0.1830,352,0,-355.8843,-397.6222,497.3789,-353.6484,-364.3134,473.8510,-0.1823,-0.0509,-0.0530,0.9805,1882.0000,1734.0000,1619.0000,-11.1245,2.6831,,
0.1919,352,0,-353.4308,-395.1071,496.8523,-350.8415,-361.8239,473.3243,-0.1834,-0.0502,-0.0540,0.9803,1882.0000,1734.0000,1619.0000,-11.1245,2.6831,,
0.2035,352,0,-352.9147,-394.2669,497.6188,-350.7712,-360.9521,474.0908,-0.1812,-0.0475,-0.0537,0.9808,1882.0000,1734.0000,1620.0000,-11.1421,2.6930,,
0.2151,352,0,-352.9147,-394.2669,497.6188,-350.7712,-360.9521,474.0908,-0.1812,-0.0475,-0.0537,0.9808,1882.0000,1733.0000,1620.0000,-11.1632,2.7050,,
0.2269,352,0,-352.8764,-393.0102,498.6093,-350.4650,-359.7136,475.0813,-0.1794,-0.0479,-0.0526,0.9812,1882.0000,1733.0000,1621.0000,-11.2159,2.7349,,
0.2388,352,0,-351.0490,-390.2654,500.2663,-348.8175,-356.9562,476.7383,-0.1735,-0.0435,-0.0511,0.9825,1882.0000,1733.0000,1621.0000,-11.2159,2.7349,,
0.2476,352,0,-352.4254,-390.6242,503.7007,-350.3502,-357.3050,480.1727,-0.1753,-0.0426,-0.0509,0.9823,1882.0000,1733.0000,1622.0000,-11.2194,2.7369,,
0.2588,352,0,-352.4254,-390.6242,503.7007,-350.3502,-357.3050,480.1727,-0.1753,-0.0426,-0.0509,0.9823,1882.0000,1732.0000,1623.0000,-11.2300,2.7429,,
0.2709,352,0,-350.6712,-388.4073,502.9364,-348.7109,-355.0811,479.4084,-0.1721,-0.0415,-0.0499,0.9829,1882.0000,1732.0000,1623.0000,-11.2546,2.7568,,
0.2831,352,0,-347.7488,-386.1919,504.8588,-345.7234,-352.8696,481.3308,-0.1698,-0.0384,-0.0491,0.9835,1882.0000,1732.0000,1624.0000,-11.2757,2.7688,,
0.2951,352,0,-347.6140,-386.2720,507.9935,-345.7991,-352.9376,484.4655,-0.1676,-0.0360,-0.0487,0.9840,1882.0000,1732.0000,1625.0000,-11.3003,2.7827,,
0.3070,352,0,-345.0250,-385.5977,508.2238,-343.0590,-352.2719,484.6958,-0.1658,-0.0339,-0.0496,0.9843,1882.0000,1732.0000,1625.0000,-11.3285,2.7987,,
0.3162,352,0,-345.0250,-385.5977,508.2238,-343.0590,-352.2719,484.6958,-0.1658,-0.0339,-0.0496,0.9843,1882.0000,1732.0000,1626.0000,-11.3496,2.8106,,
0.3269,352,0,-343.5542,-384.5639,508.4203,-341.5054,-351.2430,484.8923,-0.1657,-0.0332,-0.0493,0.9844,1882.0000,1732.0000,1626.0000,-11.4622,2.8745,,
0.3389,352,0,-339.5682,-384.1297,511.2441,-337.7709,-350.7943,487.7161,-0.1599,-0.0291,-0.0500,0.9854,1882.0000,1733.0000,1626.0000,-11.5397,2.9184,,
