{HEADER}
user_id: 801
target_id: 127
target_screen_position_mm: [152.07, -48.04]
fingertip_offset: [2.38, 32.01, 21.90]
completion_time: 2.8884
endpoint_error_mm: [6.4166, 21.9809, 28.4822]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.481085, 8.959431, 10.310367, 11.795253]
control_points_accel: [1.675292, 0.552823, 0.667007, -2.895123]
stiffness_measurements: [0.159483, 0.135938, 0.259365, 0.279000]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,127,0,237.8530,119.7836,567.6740,241.5339,151.6697,545.7734,-0.0185,0.1426,-0.0617,0.9877,1341.0000,1766.0000,1839.0000,11.4608,5.7911,,
0.0120,127,0,237.8530,119.7836,567.6740,241.5339,151.6697,545.7734,-0.0185,0.1426,-0.0617,0.9877,1020.0000,1837.0000,1839.0000,11.4608,5.7911,,
0.0210,127,0,238.2616,118.8817,568.1848,241.8752,150.7755,546.2843,-0.0198,0.1417,-0.0614,0.9878,813.0000,1837.0000,1839.0000,11.6892,5.9544,,
0.0340,127,0,238.8844,116.4090,565.7791,241.9833,148.3569,543.8786,-0.0196,0.1437,-0.0593,0.9876,614.0000,1837.0000,1839.0000,13.4060,6.8926,,
0.0435,127,0,238.8844,116.4090,565.7791,241.9833,148.3569,543.8786,-0.0196,0.1437,-0.0593,0.9876,585.0000,1837.0000,1839.0000,16.5416,8.1908,,
0.0556,127,0,239.3691,115.6829,564.3901,242.4866,147.6290,542.4896,-0.0205,0.1442,-0.0582,0.9876,559.0000,1839.0000,1840.0000,20.1094,9.2141,,
0.0673,127,0,236.5485,113.5422,565.9696,239.6538,145.4895,544.0691,-0.0189,0.1406,-0.0547,0.9884,540.0000,1841.0000,1840.0000,23.5593,9.8015,,
0.0794,127,0,219.6838,102.2570,570.0958,222.8990,134.1934,548.1953,-0.0210,0.1317,-0.0506,0.9898,524.0000,1843.0000,1841.0000,26.6284,10.0120,,
0.0880,127,0,198.9319,95.6939,589.5083,202.1932,127.6257,567.6078,-0.0326,0.1093,-0.0611,0.9916,517.0000,1844.0000,1841.0000,27.9802,10.0901,,
0.0997,127,0,172.7267,96.6173,602.9810,177.1514,128.4088,581.0805,-0.0358,0.0922,-0.0821,0.9917,502.0000,1846.0000,1841.0000,30.8520,10.2389,,
0.1116,127,0,172.7267,96.6173,602.9810,177.1514,128.4088,581.0805,-0.0358,0.0922,-0.0821,0.9917,499.0000,1846.0000,1841.0000,31.3233,10.2767,,
0.1242,127,0,148.3636,98.6920,602.3904,153.2109,130.4218,580.4899,-0.0281,0.0756,-0.0991,0.9918,498.0000,1846.0000,1841.0000,31.5941,10.4368,,
0.1358,127,0,117.4847,102.1160,609.2910,115.8131,134.1703,587.3904,-0.6183,0.3186,0.1733,0.6973,498.0000,1846.0000,1841.0000,31.5530,10.5882,,
0.1477,127,0,110.3086,101.1828,608.4174,115.4766,132.8620,586.5168,-0.0268,0.0558,-0.1032,0.9927,497.0000,1846.0000,1841.0000,31.5153,10.7546,,
0.1564,127,0,110.3086,101.1828,608.4174,115.4766,132.8620,586.5168,-0.0268,0.0558,-0.1032,0.9927,497.0000,1846.0000,1842.0000,31.4179,10.9252,,
0.1677,127,0,108.9580,100.0231,607.4769,114.1953,131.6908,585.5764,-0.0278,0.0534,-0.1036,0.9928,497.0000,1846.0000,1842.0000,31.3746,11.0706,,
0.1795,127,0,113.0396,93.0177,601.8065,118.1264,124.7099,579.9060,-0.0313,0.0569,-0.0997,0.9929,494.0000,1846.0000,1842.0000,31.5876,11.3406,,
0.1917,127,0,113.0396,93.0177,601.8065,118.1264,124.7099,579.9060,-0.0313,0.0569,-0.0997,0.9929,491.0000,1846.0000,1842.0000,31.8975,11.6308,,
0.2045,127,0,115.4195,89.3106,598.6298,120.2848,121.0376,576.7292,-0.0347,0.0589,-0.0959,0.9930,489.0000,1846.0000,1842.0000,32.1131,11.8005,,
0.2132,127,0,114.8241,83.5916,594.7405,119.6901,115.3185,572.8400,-0.0376,0.0584,-0.0932,0.9932,488.0000,1846.0000,1842.0000,32.2473,11.9211,,
0.2235,127,0,114.8241,83.5916,594.7405,119.6901,115.3185,572.8400,-0.0376,0.0584,-0.0932,0.9932,484.0000,1846.0000,1842.0000,32.6043,12.2215,,
0.2357,127,0,111.0280,80.8619,592.7993,115.8159,112.6007,570.8988,-0.0376,0.0564,-0.0945,0.9932,480.0000,1846.0000,1842.0000,33.0018,12.5901,,
0.2476,127,0,102.1909,79.0209,589.7548,107.0174,110.7538,567.8542,-0.0391,0.0521,-0.0960,0.9932,476.0000,1846.0000,1843.0000,33.4168,13.0448,,
0.2597,127,0,96.6712,77.0413,586.8499,101.6950,108.7435,564.9494,-0.0395,0.0508,-0.0967,0.9932,474.0000,1846.0000,1843.0000,33.6248,13.3792,,
0.2717,127,0,96.6712,77.0413,586.8499,101.6950,108.7435,564.9494,-0.0395,0.0508,-0.0967,0.9932,495.0000,1846.0000,1843.0000,33.8564,13.7143,,
0.2804,127,0,90.3999,73.8382,585.5594,95.4357,105.5386,563.6589,-0.0394,0.0472,-0.0989,0.9932,521.0000,1846.0000,1843.0000,33.8896,13.8255,,
0.2919,127,0,78.6801,65.9752,582.8969,83.8616,97.6521,560.9963,-0.0454,0.0406,-0.1027,0.9928,557.0000,1846.0000,1843.0000,33.8837,13.8527,,
0.3041,127,0,78.6801,65.9752,582.8969,83.8616,97.6521,560.9963,-0.0454,0.0406,-0.1027,0.9928,611.0000,1846.0000,1843.0000,33.8404,13.9099,,
0.3157,127,0,73.9733,62.4866,580.1791,78.8944,94.2050,558.2786,-0.0464,0.0399,-0.1030,0.9928,651.0000,1846.0000,1843.0000,33.7519,13.9834,,
0.3276,127,0,65.8896,55.2008,576.3301,70.7013,86.9360,554.4296,-0.0508,0.0337,-0.0991,0.9932,699.0000,1846.0000,1843.0000,33.6409,14.1096,,
0.3397,127,0,60.9433,53.1907,572.4398,65.5350,84.9584,550.5393,-0.0489,0.0319,-0.0968,0.9936,753.0000,1845.0000,1844.0000,33.6281,14.2334,,
0.3483,127,0,60.9433,53.1907,572.4398,65.5350,84.9584,550.5393,-0.0489,0.0319,-0.0968,0.9936,794.0000,1845.0000,1844.0000,33.6281,14.2334,,
0.3598,127,0,55.7895,50.9450,569.9604,60.4743,82.6991,548.0599,-0.0505,0.0289,-0.0957,0.9937,836.0000,1845.0000,1844.0000,33.5990,14.2507,,
0.3718,127,0,44.0380,45.9314,565.1636,48.7369,77.6835,543.2631,-0.0522,0.0219,-0.0957,0.9938,885.0000,1845.0000,1844.0000,33.5670,14.2614,,
0.3835,127,0,37.8221,44.2698,561.8345,42.4548,76.0316,539.9340,-0.0520,0.0186,-0.0960,0.9938,923.0000,1845.0000,1844.0000,33.5479,14.2722,,
0.3957,127,0,37.8221,44.2698,561.8345,42.4548,76.0316,539.9340,-0.0520,0.0186,-0.0960,0.9938,982.0000,1845.0000,1844.0000,33.3472,14.3672,,
0.4047,127,0,31.5176,44.3625,558.0552,36.1973,76.1174,536.1547,-0.0512,0.0166,-0.0970,0.9938,984.0000,1845.0000,1844.0000,33.2420,14.4193,,
0.4160,127,0,17.2340,42.8243,551.0598,22.3834,74.5064,529.1592,0.4486,0.2044,-0.1689,0.8535,987.0000,1845.0000,1844.0000,33.0376,14.5127,,
0.4278,127,0,17.2340,42.8243,551.0598,22.3834,74.5064,529.1592,0.4486,0.2044,-0.1689,0.8535,1056.0000,1845.0000,1844.0000,32.9321,14.5865,,
0.4396,127,0,10.1320,41.6858,548.4901,14.9362,73.4221,526.5895,-0.0500,0.0053,-0.1011,0.9936,1093.0000,1836.0000,1844.0000,32.8461,14.6890,,
0.4517,127,0,-2.9810,38.4394,541.7056,1.9440,70.1572,519.8051,-0.0506,-0.0017,-0.1021,0.9935,1123.0000,1784.0000,1844.0000,32.7555,14.7687,,
0.4637,127,0,-10.2376,36.4747,537.8521,-5.2062,68.1758,515.9515,-0.0515,-0.0050,-0.1028,0.9934,1178.0000,1730.0000,1844.0000,32.6487,14.8626,,
0.4724,127,0,-10.2376,36.4747,537.8521,-5.2062,68.1758,515.9515,-0.0515,-0.0050,-0.1028,0.9934,1242.0000,1688.0000,1844.0000,32.6006,14.9424,,
0.4838,127,0,-17.7916,34.8394,533.5791,-12.9051,66.5632,511.6786,-0.0508,-0.0095,-0.1039,0.9932,1285.0000,1641.0000,1844.0000,32.2858,15.1019,,
0.4959,127,0,-34.6229,30.7695,526.0791,-29.2936,62.4219,504.1786,-0.0530,-0.0178,-0.1076,0.9926,1341.0000,1572.0000,1844.0000,31.5131,15.2666,,
0.5080,127,0,-43.2342,28.8368,521.6349,-37.9810,60.5019,499.7344,-0.0518,-0.0239,-0.1093,0.9924,1411.0000,1508.0000,1844.0000,30.3509,15.4100,,
0.5197,127,0,-43.2342,28.8368,521.6349,-37.9810,60.5019,499.7344,-0.0518,-0.0239,-0.1093,0.9924,1486.0000,1444.0000,1844.0000,28.3761,15.6996,,
0.5319,127,0,-52.1860,26.4875,518.3024,-46.8059,58.1313,496.4018,-0.0546,-0.0303,-0.1115,0.9918,1546.0000,1338.0000,1844.0000,27.5738,15.7946,,
0.5407,127,0,-66.0187,23.1663,509.3793,-60.4519,54.7778,487.4788,-0.0538,-0.0379,-0.1154,0.9911,1584.0000,1236.0000,1844.0000,25.7345,15.9871,,
0.5522,127,0,-70.6463,21.6050,506.3661,-65.4763,53.2837,484.4656,-0.0558,-0.0404,-0.1142,0.9911,1675.0000,1100.0000,1844.0000,23.7594,16.2424,,
0.5637,127,0,-70.6463,21.6050,506.3661,-65.4763,53.2837,484.4656,-0.0558,-0.0404,-0.1142,0.9911,1778.0000,970.0000,1844.0000,22.7257,16.3667,,
0.5757,127,0,-74.1916,19.0068,502.5993,-68.7491,50.6398,480.6988,-0.0570,-0.0410,-0.1134,0.9911,1844.0000,840.0000,1844.0000,19.6627,16.7599,,
0.5876,127,0,-78.6964,15.1611,496.9503,-73.1633,46.7784,475.0497,-0.0596,-0.0401,-0.1139,0.9909,1844.0000,683.0000,1844.0000,18.4437,16.9009,,
0.5964,127,0,-79.8297,13.1648,494.5709,-74.5612,44.8273,472.6703,-0.0616,-0.0382,-0.1135,0.9909,1846.0000,594.0000,1844.0000,15.8524,17.1605,,
0.6075,127,0,-79.8297,13.1648,494.5709,-74.5612,44.8273,472.6703,-0.0616,-0.0382,-0.1135,0.9909,1848.0000,513.0000,1844.0000,12.9296,17.4674,,
0.6197,127,0,-80.4698,10.5134,491.5487,-74.8203,42.1101,469.6482,-0.0636,-0.0350,-0.1133,0.9909,1849.0000,408.0000,1844.0000,9.8219,17.8618,,
0.6319,127,0,-77.5860,5.7590,488.7052,-72.1052,37.3855,466.8047,-0.0673,-0.0253,-0.1155,0.9907,1851.0000,372.0000,1844.0000,6.5910,18.4170,,
0.6435,127,0,-74.0387,2.9850,487.5904,-68.4746,34.5970,465.6898,-0.0699,-0.0182,-0.1162,0.9906,1852.0000,362.0000,1844.0000,4.9413,18.7380,,
0.6558,127,0,-69.5575,-0.4202,486.5297,-63.9496,31.1840,464.6292,-0.0725,-0.0099,-0.1160,0.9905,1854.0000,334.0000,1845.0000,0.0827,19.7425,,
0.6644,127,0,-69.5575,-0.4202,486.5297,-63.9496,31.1840,464.6292,-0.0725,-0.0099,-0.1160,0.9905,1856.0000,326.0000,1845.0000,-1.9941,19.8785,,
0.6756,127,0,-63.0870,-5.2534,486.3150,-57.3554,26.3286,464.4145,-0.0781,-0.0001,-0.1166,0.9901,1856.0000,323.0000,1845.0000,-2.6745,19.8797,,
0.6878,127,0,-44.0251,-22.4078,484.2624,-38.3616,9.1865,462.3619,-0.0824,0.0178,-0.1181,0.9894,1857.0000,320.0000,1845.0000,-3.4957,19.8621,,
0.7009,127,0,-35.3632,-32.5861,483.8951,-29.7143,-0.9892,461.9945,-0.1057,0.0318,-0.1158,0.9871,1857.0000,376.0000,1845.0000,-3.8750,19.9721,,
0.7117,127,0,-31.4011,-37.9481,484.3036,-26.1922,-6.2757,462.4031,-0.1111,0.0368,-0.1109,0.9869,1857.0000,513.0000,1845.0000,-4.0445,20.0645,,
0.7237,127,0,-30.3539,-38.3561,482.5410,-24.8998,-6.7250,460.6404,-0.1105,0.0407,-0.1131,0.9866,1857.0000,644.0000,1845.0000,-4.2491,20.0816,,
0.7325,127,0,-30.3539,-38.3561,482.5410,-24.8998,-6.7250,460.6404,-0.1105,0.0407,-0.1131,0.9866,1858.0000,741.0000,1845.0000,-4.7852,20.1007,,
0.7436,127,0,-31.1167,-40.6949,480.4910,-25.1561,-9.1553,458.5905,-0.1122,0.0413,-0.1183,0.9858,1858.0000,823.0000,1845.0000,-4.9731,20.0211,,
0.7557,127,0,-30.5384,-47.3481,476.4883,-24.1904,-15.8842,454.5878,-0.1179,0.0445,-0.1263,0.9840,1859.0000,893.0000,1845.0000,-5.4209,19.7663,,
0.7677,127,0,-27.4264,-49.3607,474.8113,-21.3133,-17.8503,452.9107,-0.1191,0.0480,-0.1247,0.9838,1859.0000,965.0000,1845.0000,-5.5068,19.7176,,
0.7797,127,0,-22.1704,-50.7900,473.3832,-16.1473,-19.2623,451.4827,-0.1197,0.0522,-0.1220,0.9839,1859.0000,1072.0000,1776.0000,-5.6239,19.6430,,
0.7884,127,0,-22.1704,-50.7900,473.3832,-16.1473,-19.2623,451.4827,-0.1197,0.0522,-0.1220,0.9839,1859.0000,1166.0000,1714.0000,-5.6219,19.6318,,
0.7995,127,0,-18.2501,-51.7774,471.8071,-12.6756,-20.1673,449.9065,-0.1204,0.0554,-0.1161,0.9843,1859.0000,1257.0000,1648.0000,-5.5884,19.5906,,
0.8117,127,0,-11.4037,-54.1266,467.6097,-6.1599,-22.4599,445.7091,-0.1222,0.0604,-0.1117,0.9843,1859.0000,1361.0000,1579.0000,-5.5520,19.4978,,
0.8236,127,0,-8.3940,-56.1775,465.1420,-3.3826,-24.4732,443.2414,-0.1236,0.0626,-0.1106,0.9842,1859.0000,1481.0000,1518.0000,-5.5332,19.3361,,
0.8357,127,0,-8.3940,-56.1775,465.1420,-3.3826,-24.4732,443.2414,-0.1236,0.0626,-0.1106,0.9842,1859.0000,1616.0000,1454.0000,-5.4458,19.1200,,
0.8476,127,0,-5.1983,-57.7825,462.6266,-0.1674,-26.0814,440.7260,-0.1254,0.0644,-0.1092,0.9840,1859.0000,1702.0000,1408.0000,-5.0642,18.6738,,
0.8564,127,0,2.5152,-60.5886,456.9866,7.1390,-28.8255,435.0861,-0.1261,0.0690,-0.1040,0.9841,1859.0000,1785.0000,1358.0000,-4.7739,18.3800,,
0.8676,127,0,6.9553,-61.2535,453.8035,11.4964,-29.4785,431.9029,-0.1247,0.0720,-0.1008,0.9844,1859.0000,1818.0000,1309.0000,-3.9286,17.5351,,
0.8796,127,0,6.9553,-61.2535,453.8035,11.4964,-29.4785,431.9029,-0.1247,0.0720,-0.1008,0.9844,1859.0000,1820.0000,1283.0000,-2.2772,15.7975,,
0.8916,127,0,11.2630,-61.9002,451.2164,15.3079,-30.0582,429.3158,-0.1261,0.0747,-0.0967,0.9845,1859.0000,1820.0000,1232.0000,-1.6990,15.1390,,
0.9036,127,0,14.3566,-57.9388,445.1707,18.0965,-26.0596,423.2701,-0.1181,0.0745,-0.0887,0.9862,1859.0000,1822.0000,1194.0000,-0.6590,13.8443,,
0.9123,127,0,13.6809,-51.9518,442.5809,17.3127,-20.0600,420.6803,-0.1113,0.0731,-0.0861,0.9874,1859.0000,1823.0000,1212.0000,0.1230,12.7999,,
0.9236,127,0,12.5990,-44.0609,440.7330,16.1807,-12.1635,418.8325,-0.1012,0.0697,-0.0836,0.9889,1859.0000,1823.0000,1252.0000,0.3790,12.3655,,
0.9359,127,0,11.9544,-34.3189,437.8356,15.3407,-2.4002,415.9351,-0.0892,0.0687,-0.0817,0.9903,1859.0000,1823.0000,1340.0000,0.5524,11.7185,,
0.9479,127,0,11.9544,-34.3189,437.8356,15.3407,-2.4002,415.9351,-0.0892,0.0687,-0.0817,0.9903,1846.0000,1823.0000,1444.0000,0.5524,11.6635,,
0.9597,127,0,13.0470,-25.6315,435.2535,16.4183,6.2889,413.3530,-0.0783,0.0685,-0.0804,0.9913,1775.0000,1823.0000,1537.0000,0.5494,11.6586,,
0.9717,127,0,18.6850,-16.2731,428.2281,21.6432,15.6881,406.3276,-0.0656,0.0730,-0.0752,0.9923,1704.0000,1823.0000,1645.0000,0.5600,11.6558,,
0.9804,127,0,23.1703,-16.7780,424.1468,26.0674,15.1889,402.2462,-0.0642,0.0756,-0.0729,0.9924,1641.0000,1823.0000,1751.0000,0.6119,11.6630,,
0.9918,127,0,27.6115,-19.0610,420.5546,30.3344,12.9212,398.6541,-0.0665,0.0784,-0.0703,0.9922,1587.0000,1823.0000,1829.0000,0.9182,11.6526,,
1.0038,127,0,27.6115,-19.0610,420.5546,30.3344,12.9212,398.6541,-0.0665,0.0784,-0.0703,0.9922,1518.0000,1824.0000,1839.0000,1.4576,11.6402,,
1.0160,127,0,31.6020,-20.7589,416.5544,34.0965,11.2419,394.6539,-0.0670,0.0813,-0.0681,0.9921,1462.0000,1825.0000,1839.0000,2.5138,11.7238,,
1.0278,127,0,37.8480,-23.3345,408.4485,39.9405,8.6951,386.5480,-0.0686,0.0847,-0.0640,0.9920,1402.0000,1826.0000,1840.0000,3.8602,11.6998,,
1.0397,127,0,39.1434,-24.0878,404.1962,41.1148,7.9494,382.2957,-0.0684,0.0850,-0.0617,0.9921,1337.0000,1827.0000,1840.0000,5.3650,11.4182,,
1.0484,127,0,39.1434,-24.0878,404.1962,41.1148,7.9494,382.2957,-0.0684,0.0850,-0.0617,0.9921,1302.0000,1827.0000,1840.0000,6.1832,11.2579,,
1.0596,127,0,39.0434,-24.4240,400.4114,40.8085,7.6253,378.5109,-0.0689,0.0843,-0.0596,0.9923,1270.0000,1829.0000,1840.0000,8.7501,10.9886,,
1.0716,127,0,34.8984,-23.9755,392.3496,36.7733,8.0676,370.4491,-0.0671,0.0780,-0.0593,0.9929,1208.0000,1830.0000,1840.0000,9.5132,10.9866,,
1.0838,127,0,30.4675,-20.6456,388.8731,32.2001,11.4054,366.9725,-0.0622,0.0727,-0.0600,0.9936,1182.0000,1831.0000,1840.0000,10.6212,10.9530,,
1.0956,127,0,24.9790,-17.3527,385.5143,26.8956,14.6879,363.6138,-0.0594,0.0663,-0.0620,0.9941,1164.0000,1831.0000,1840.0000,11.1303,10.9522,,
1.1042,127,0,24.9790,-17.3527,385.5143,26.8956,14.6879,363.6138,-0.0594,0.0663,-0.0620,0.9941,1165.0000,1831.0000,1840.0000,11.2102,10.9936,,
1.1157,127,0,19.7315,-15.3763,381.9610,22.1818,16.6279,360.0605,-0.0564,0.0592,-0.0670,0.9944,1160.0000,1831.0000,1840.0000,11.3594,11.0897,,
1.1276,127,0,14.2355,-13.5758,374.3881,17.0425,18.3991,352.4876,-0.0530,0.0522,-0.0744,0.9945,1159.0000,1831.0000,1840.0000,11.3655,11.0932,,
1.1396,127,0,14.6395,-12.2756,370.7443,17.5005,19.6946,348.8437,-0.0518,0.0514,-0.0726,0.9947,1183.0000,1831.0000,1840.0000,11.3655,11.0932,,
1.1517,127,0,15.3279,-12.4451,366.8275,17.6628,19.5677,344.9269,-0.0528,0.0520,-0.0685,0.9949,1195.0000,1831.0000,1840.0000,11.3723,11.0893,,
1.1637,127,0,16.1495,-11.7560,363.3723,18.0802,20.2838,341.4717,-0.0524,0.0519,-0.0651,0.9952,1202.0000,1831.0000,1840.0000,11.3893,11.0797,,
1.1723,127,0,16.1495,-11.7560,363.3723,18.0802,20.2838,341.4717,-0.0524,0.0519,-0.0651,0.9952,1211.0000,1831.0000,1840.0000,11.4845,11.0257,,
