{HEADER}
user_id: 801
target_id: 139
target_screen_position_mm: [-136.15, -32.12]
fingertip_offset: [2.38, 32.01, 21.90]
completion_time: 7.0680
endpoint_error_mm: [4.9829, -1.1353, 28.1159]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.481085, 8.959431, 10.310367, 11.795253]
control_points_accel: [1.675292, 0.552823, 0.667007, -2.895123]
stiffness_measurements: [0.159483, 0.135938, 0.259365, 0.279000]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,139,0,-59.0704,29.5227,296.2393,-56.6467,61.5289,274.3388,-0.0593,0.2085,-0.0539,0.9747,1872.0000,1836.0000,1836.0000,2.1152,-1.3928,,
0.0119,139,0,-59.0704,29.5227,296.2393,-56.6467,61.5289,274.3388,-0.0593,0.2085,-0.0539,0.9747,1872.0000,1836.0000,1836.0000,2.1152,-1.3928,,
0.0241,139,0,-58.4703,29.7337,296.3311,-55.9418,61.7319,274.4306,-0.0594,0.2092,-0.0535,0.9746,1872.0000,1836.0000,1836.0000,2.1152,-1.3928,,
0.0332,139,0,-58.4703,29.7337,296.3311,-55.9418,61.7319,274.4306,-0.0594,0.2092,-0.0535,0.9746,1872.0000,1836.0000,1836.0000,2.1124,-1.3944,,
0.0437,139,0,-56.9872,30.0811,297.8600,-54.4533,62.0788,275.9595,-0.0602,0.2105,-0.0535,0.9743,1872.0000,1836.0000,1836.0000,2.1152,-1.3928,,
0.0557,139,0,-56.9872,30.0811,297.8600,-54.4533,62.0788,275.9595,-0.0602,0.2105,-0.0535,0.9743,1872.0000,1836.0000,1836.0000,2.1152,-1.3928,,
0.0676,139,0,-55.9821,29.4667,296.8740,-53.4132,61.4617,274.9734,-0.0579,0.2103,-0.0540,0.9744,1872.0000,1836.0000,1836.0000,2.1152,-1.3928,,
0.0798,139,0,-54.6957,29.4830,297.0827,-52.1974,61.4835,275.1822,-0.0587,0.2120,-0.0534,0.9740,1872.0000,1836.0000,1836.0000,2.1152,-1.3928,,
0.0887,139,0,-54.6957,29.4830,297.0827,-52.1974,61.4835,275.1822,-0.0587,0.2120,-0.0534,0.9740,1872.0000,1836.0000,1836.0000,2.1124,-1.3944,,
0.0996,139,0,-54.1694,29.2792,297.2239,-51.5694,61.2716,275.3234,-0.0584,0.2127,-0.0536,0.9739,1872.0000,1836.0000,1836.0000,2.1152,-1.3928,,
0.1116,139,0,-54.1694,29.2792,297.2239,-51.5694,61.2716,275.3234,-0.0584,0.2127,-0.0536,0.9739,1872.0000,1836.0000,1836.0000,2.1124,-1.3944,,
0.1238,139,0,-53.9087,29.0465,296.6158,-51.3917,61.0455,274.7152,-0.0590,0.2129,-0.0540,0.9738,1872.0000,1836.0000,1836.0000,2.1157,-1.3963,,
0.1357,139,0,-53.9087,29.0465,296.6158,-51.3917,61.0455,274.7152,-0.0590,0.2129,-0.0540,0.9738,1872.0000,1836.0000,1836.0000,2.1185,-1.3947,,
0.1477,139,0,-53.2672,28.7136,296.6196,-50.8102,60.7173,274.7190,-0.0590,0.2135,-0.0542,0.9737,1872.0000,1836.0000,1836.0000,2.1157,-1.3963,,
0.1564,139,0,-53.2672,28.7136,296.6196,-50.8102,60.7173,274.7190,-0.0590,0.2135,-0.0542,0.9737,1872.0000,1836.0000,1836.0000,2.1157,-1.3963,,
