{HEADER}
user_id: 801
target_id: 202
target_screen_position_mm: [-88.11, 0.00]
fingertip_offset: [2.38, 32.01, 21.90]
completion_time: 4.3784
endpoint_error_mm: [-7.4032, 2.3791, 28.5438]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.481085, 8.959431, 10.310367, 11.795253]
control_points_accel: [1.675292, 0.552823, 0.667007, -2.895123]
stiffness_measurements: [0.159483, 0.135938, 0.259365, 0.279000]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,202,0,-91.9360,-11.6763,690.1064,-91.6924,20.4206,668.2059,-0.0407,0.0835,-0.0258,0.9953,1860.0000,1834.0000,1840.0000,8.0186,6.7527,,
0.0109,202,0,-89.5447,-11.9629,689.5221,-89.1776,20.1328,667.6216,-0.0427,0.0840,-0.0258,0.9952,1860.0000,1834.0000,1840.0000,8.0186,6.7527,,
0.0229,202,0,-89.5447,-11.9629,689.5221,-89.1776,20.1328,667.6216,-0.0427,0.0840,-0.0258,0.9952,1860.0000,1834.0000,1840.0000,8.0186,6.7527,,
0.0341,202,0,-88.3709,-11.5015,689.9055,-87.9384,20.5934,668.0049,-0.0412,0.0870,-0.0260,0.9950,1860.0000,1834.0000,1840.0000,8.0186,6.7527,,
0.0462,202,0,-84.1992,-9.9200,688.7417,-83.8412,22.1759,666.8412,-0.0405,0.0876,-0.0250,0.9950,1860.0000,1834.0000,1840.0000,8.0186,6.7527,,
0.0551,202,0,-84.1992,-9.9200,688.7417,-83.8412,22.1759,666.8412,-0.0405,0.0876,-0.0250,0.9950,1860.0000,1834.0000,1840.0000,8.0186,6.7527,,
0.0659,202,0,-82.2261,-9.0032,688.0737,-81.8261,23.0922,666.1732,-0.0405,0.0891,-0.0244,0.9949,1860.0000,1834.0000,1840.0000,8.0157,6.7510,,
0.0779,202,0,-77.2054,-6.8816,686.2147,-77.2793,25.2162,664.3142,0.5010,0.5188,-0.0562,0.6904,1860.0000,1834.0000,1840.0000,8.0157,6.7510,,
0.0904,202,0,-74.7315,-5.8059,684.6393,-74.6099,26.2918,662.7388,-0.0394,0.0913,-0.0234,0.9948,1860.0000,1834.0000,1840.0000,8.0157,6.7510,,
0.1020,202,0,-74.7315,-5.8059,684.6393,-74.6099,26.2918,662.7388,-0.0394,0.0913,-0.0234,0.9948,1860.0000,1834.0000,1840.0000,8.0157,6.7510,,
0.1107,202,0,-72.1128,-4.4839,682.8509,-71.9411,27.6135,660.9504,-0.0386,0.0926,-0.0226,0.9947,1860.0000,1834.0000,1840.0000,8.0157,6.7510,,
0.1220,202,0,-68.0779,-1.9601,680.6031,-68.0219,30.1377,658.7026,-0.0382,0.0962,-0.0210,0.9944,1860.0000,1834.0000,1840.0000,8.0157,6.7510,,
0.1340,202,0,-68.0779,-1.9601,680.6031,-68.0219,30.1377,658.7026,-0.0382,0.0962,-0.0210,0.9944,1860.0000,1834.0000,1840.0000,8.0157,6.7510,,
0.1460,202,0,-66.2923,-0.6093,679.3700,-65.9311,31.4865,657.4695,-0.0387,0.0965,-0.0199,0.9944,1860.0000,1834.0000,1840.0000,8.0157,6.7510,,
0.1584,202,0,-63.0723,1.9875,676.6443,-62.9049,34.0849,654.7438,-0.0354,0.0996,-0.0197,0.9942,1860.0000,1834.0000,1840.0000,8.0157,6.7510,,
0.1700,202,0,-60.8212,3.3680,674.8869,-60.7701,35.4658,652.9864,-0.0369,0.1005,-0.0201,0.9941,1860.0000,1834.0000,1840.0000,8.0157,6.7510,,
