{HEADER}
user_id: 801
target_id: 354
target_screen_position_mm: [-7.96, 79.88]
fingertip_offset: [2.38, 32.01, 21.90]
completion_time: 8.4664
endpoint_error_mm: [-3.0955, -1.4281, 28.5862]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.481085, 8.959431, 10.310367, 11.795253]
control_points_accel: [1.675292, 0.552823, 0.667007, -2.895123]
stiffness_measurements: [0.159483, 0.135938, 0.259365, 0.279000]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,354,0,-119.2854,-68.8326,520.7103,-124.4168,-37.1476,498.8098,-0.0129,-0.0409,0.0513,0.9978,1882.0000,1841.0000,1836.0000,-0.4970,-7.1037,,
0.0089,354,0,-119.2089,-68.2582,519.9425,-125.8036,-36.8451,498.0420,-0.5242,-0.4091,-0.0546,0.7449,1882.0000,1838.0000,1835.0000,-0.4970,-7.1037,,
0.0186,354,0,-119.2089,-68.2582,519.9425,-125.8036,-36.8451,498.0420,-0.5242,-0.4091,-0.0546,0.7449,1882.0000,1837.0000,1834.0000,-0.4970,-7.1037,,
0.0306,354,0,-119.2240,-68.0533,519.7881,-124.2601,-36.3530,497.8876,-0.0129,-0.0390,0.0506,0.9979,1882.0000,1833.0000,1833.0000,-0.4970,-7.1037,,
0.0424,354,0,-118.7269,-67.5861,519.5950,-123.7866,-35.8896,497.6944,-0.0122,-0.0398,0.0513,0.9978,1882.0000,1829.0000,1832.0000,-0.4970,-7.1037,,
0.0545,354,0,-118.7269,-67.5861,519.5950,-123.7866,-35.8896,497.6944,-0.0122,-0.0398,0.0513,0.9978,1882.0000,1828.0000,1831.0000,-0.5002,-7.1019,,
0.0665,354,0,-118.6097,-67.1532,519.2210,-123.6459,-35.4528,497.3205,-0.0129,-0.0396,0.0518,0.9978,1882.0000,1822.0000,1829.0000,-0.5002,-7.1019,,
0.0751,354,0,-118.6097,-67.1532,519.2210,-123.6459,-35.4528,497.3205,-0.0129,-0.0396,0.0518,0.9978,1882.0000,1821.0000,1829.0000,-0.5002,-7.1019,,
0.0864,354,0,-117.9417,-66.7946,519.2191,-122.9235,-35.0857,497.3185,-0.0128,-0.0401,0.0514,0.9978,1882.0000,1820.0000,1828.0000,-0.5067,-7.0982,,
0.0987,354,0,-117.0916,-66.2474,517.8961,-122.2320,-34.5638,495.9955,-0.0120,-0.0388,0.0513,0.9979,1882.0000,1799.0000,1821.0000,-0.5067,-7.0982,,
0.1116,354,0,-116.7845,-66.0665,519.0495,-121.8529,-34.3713,497.1490,-0.0115,-0.0396,0.0512,0.9978,1882.0000,1798.0000,1821.0000,-0.5100,-7.0964,,
