{HEADER}
user_id: 888
target_id: 295
target_screen_position_mm: [-40.08, 48.04]
fingertip_offset: [0.74, 32.37, 19.06]
completion_time: 7.8927
endpoint_error_mm: [9.4121, -1.0253, 2.5868]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.090197, 10.664299, 11.462750, 6.777050]
control_points_accel: [1.306651, -1.011622, -4.009737, 3.714707]
stiffness_measurements: [0.257543, 0.071535, 0.203961, 0.251292]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,295,0,9.4928,-55.9442,594.2264,11.4826,-23.6288,575.1646,-0.0344,0.0145,-0.0518,0.9980,1848.0000,1765.0000,1840.0000,15.1711,1.3412,,
0.0125,295,0,9.2580,-54.5496,593.0601,18.3869,-23.4867,573.9983,0.6607,0.1502,-0.4215,0.6027,1848.0000,1778.0000,1840.0000,15.1711,1.3412,,
0.0248,295,0,9.1682,-53.1272,591.0742,10.9965,-20.8023,572.0123,-0.0328,0.0139,-0.0510,0.9981,1848.0000,1790.0000,1837.0000,15.0999,1.3816,,
0.0366,295,0,10.2934,-52.7415,590.5467,12.1031,-20.4155,571.4849,-0.0306,0.0124,-0.0511,0.9981,1848.0000,1806.0000,1831.0000,15.0038,1.4361,,
0.0482,295,0,10.2934,-52.7415,590.5467,12.1031,-20.4155,571.4849,-0.0306,0.0124,-0.0511,0.9981,1848.0000,1821.0000,1826.0000,14.9200,1.4836,,
0.0567,295,0,9.3155,-51.8332,590.0565,10.7235,-19.4872,570.9946,-0.0320,0.0144,-0.0507,0.9981,1848.0000,1831.0000,1822.0000,14.9200,1.4803,,
0.0681,295,0,10.2771,-51.6619,589.9416,11.9445,-19.3283,570.8798,-0.0314,0.0150,-0.0506,0.9981,1848.0000,1841.0000,1818.0000,14.9262,1.4768,,
0.0799,295,0,10.2771,-51.6619,589.9416,11.9445,-19.3283,570.8798,-0.0314,0.0150,-0.0506,0.9981,1848.0000,1850.0000,1815.0000,14.9293,1.4751,,
0.0920,295,0,11.2930,-51.8025,589.5642,12.8378,-19.4628,570.5024,-0.0307,0.0156,-0.0503,0.9981,1848.0000,1850.0000,1811.0000,14.9293,1.4751,,
0.1042,295,0,11.7508,-51.1677,588.1110,13.2922,-18.8278,569.0492,-0.0322,0.0158,-0.0484,0.9982,1848.0000,1850.0000,1806.0000,14.9324,1.4733,,
0.1170,295,0,12.2691,-51.2044,587.1923,13.6554,-18.8576,568.1304,-0.0313,0.0158,-0.0488,0.9982,1848.0000,1850.0000,1802.0000,14.9324,1.4733,,
0.1262,295,0,12.2691,-51.2044,587.1923,13.6554,-18.8576,568.1304,-0.0313,0.0158,-0.0488,0.9982,1848.0000,1850.0000,1801.0000,14.9324,1.4733,,
