{HEADER}
user_id: 888
target_id: 306
target_screen_position_mm: [135.88, 48.04]
fingertip_offset: [0.74, 32.37, 19.06]
completion_time: 9.5319
endpoint_error_mm: [-6.5618, -1.9258, -0.3529]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.090197, 10.664299, 11.462750, 6.777050]
control_points_accel: [1.306651, -1.011622, -4.009737, 3.714707]
stiffness_measurements: [0.257543, 0.071535, 0.203961, 0.251292]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,306,0,239.3395,-81.7366,537.7394,240.1875,-49.3711,518.6776,-0.0752,0.0599,-0.0394,0.9946,1547.0000,1839.0000,1839.0000,1.6406,13.1884,,
0.0122,306,0,238.5643,-80.9108,536.8395,239.5569,-48.5495,517.7777,-0.0747,0.0628,-0.0392,0.9945,1256.0000,1839.0000,1810.0000,1.6406,13.1884,,
0.0249,306,0,238.5643,-80.9108,536.8395,239.5569,-48.5495,517.7777,-0.0747,0.0628,-0.0392,0.9945,1037.0000,1839.0000,1732.0000,1.7623,13.2575,,
0.0361,306,0,239.1222,-80.7666,537.6396,239.9470,-48.4005,518.5778,-0.0754,0.0610,-0.0390,0.9945,889.0000,1839.0000,1679.0000,2.3508,13.5780,,
0.0447,306,0,239.2276,-80.1003,537.9554,239.9459,-47.7317,518.8936,-0.0732,0.0613,-0.0388,0.9947,789.0000,1839.0000,1641.0000,3.4795,14.1150,,
0.0558,306,0,239.2276,-80.1003,537.9554,239.9459,-47.7317,518.8936,-0.0732,0.0613,-0.0388,0.9947,685.0000,1839.0000,1604.0000,5.2545,14.6781,,
0.0677,306,0,239.2518,-79.3649,538.2201,240.1084,-46.9996,519.1583,-0.0737,0.0595,-0.0390,0.9947,589.0000,1840.0000,1574.0000,6.3455,14.9526,,
0.0799,306,0,234.8321,-81.8838,541.3455,235.8603,-49.5236,522.2836,-0.0774,0.0552,-0.0361,0.9948,513.0000,1842.0000,1549.0000,10.0675,15.5409,,
0.0918,306,0,229.3729,-86.3817,543.7269,229.9692,-54.0106,524.6651,-0.0760,0.0503,-0.0336,0.9953,487.0000,1842.0000,1530.0000,11.3454,15.6625,,
0.1048,306,0,222.4456,-89.2597,547.8211,223.0349,-56.8885,528.7593,-0.0777,0.0453,-0.0323,0.9954,467.0000,1844.0000,1502.0000,14.7112,15.9332,,
