{HEADER}
user_id: 888
target_id: 354
target_screen_position_mm: [-7.96, 79.88]
fingertip_offset: [0.74, 32.37, 19.06]
completion_time: 11.4160
endpoint_error_mm: [0.7722, 6.7423, 3.6630]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.090197, 10.664299, 11.462750, 6.777050]
control_points_accel: [1.306651, -1.011622, -4.009737, 3.714707]
stiffness_measurements: [0.257543, 0.071535, 0.203961, 0.251292]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,354,0,-80.3395,-86.0942,671.3292,-80.7152,-53.7198,652.2673,-0.0237,-0.0216,-0.0241,0.9992,1873.0000,1848.0000,1834.0000,-7.3740,-3.5108,,
0.0124,354,0,-80.3395,-86.0942,671.3292,-80.7152,-53.7198,652.2673,-0.0237,-0.0216,-0.0241,0.9992,1873.0000,1848.0000,1834.0000,-7.3740,-3.5108,,
0.0240,354,0,-80.0838,-85.7207,673.1194,-80.1083,-53.3441,654.0576,-0.0205,-0.0215,-0.0244,0.9993,1873.0000,1848.0000,1834.0000,-7.3740,-3.5108,,
0.0333,354,0,-80.5010,-85.5445,672.1151,-80.5254,-53.1680,653.0532,-0.0224,-0.0226,-0.0243,0.9992,1873.0000,1848.0000,1834.0000,-7.3740,-3.5108,,
0.0435,354,0,-80.5010,-85.5445,672.1151,-80.5254,-53.1680,653.0532,-0.0224,-0.0226,-0.0243,0.9992,1873.0000,1848.0000,1834.0000,-7.3740,-3.5108,,
0.0558,354,0,-80.6966,-85.4218,672.7587,-80.7252,-53.0453,653.6968,-0.0227,-0.0221,-0.0245,0.9992,1873.0000,1848.0000,1834.0000,-7.3740,-3.5108,,
0.0678,354,0,-81.1477,-85.1684,673.2059,-81.3367,-52.7924,654.1441,-0.0215,-0.0237,-0.0252,0.9992,1873.0000,1848.0000,1834.0000,-7.3740,-3.5108,,
0.0798,354,0,-82.2241,-85.6191,671.5471,-82.4421,-53.2432,652.4852,-0.0203,-0.0206,-0.0253,0.9993,1873.0000,1848.0000,1834.0000,-7.3740,-3.5108,,
0.0918,354,0,-82.2241,-85.6191,671.5471,-82.4421,-53.2432,652.4852,-0.0203,-0.0206,-0.0253,0.9993,1873.0000,1848.0000,1834.0000,-7.3740,-3.5108,,
0.1009,354,0,-82.2077,-85.4926,672.1306,-82.4011,-53.1166,653.0688,-0.0214,-0.0226,-0.0250,0.9992,1873.0000,1848.0000,1834.0000,-7.3740,-3.5108,,
0.1118,354,0,-82.0448,-86.0797,671.1719,-82.0767,-53.7031,652.1101,-0.0231,-0.0218,-0.0260,0.9992,1873.0000,1848.0000,1833.0000,-7.3740,-3.5108,,
0.1237,354,0,-82.0448,-86.0797,671.1719,-82.0767,-53.7031,652.1101,-0.0231,-0.0218,-0.0260,0.9992,1873.0000,1848.0000,1833.0000,-7.3771,-3.5091,,
0.1360,354,0,-82.4860,-86.2734,672.6053,-82.5170,-53.8968,653.5435,-0.0220,-0.0246,-0.0259,0.9991,1873.0000,1848.0000,1833.0000,-7.3771,-3.5091,,
0.1481,354,0,-82.2299,-85.8534,672.9915,-82.4189,-53.4774,653.9296,-0.0224,-0.0253,-0.0274,0.9991,1873.0000,1848.0000,1833.0000,-7.3771,-3.5091,,
0.1598,354,0,-82.3790,-85.8318,672.4824,-82.7295,-53.4571,653.4206,-0.0226,-0.0242,-0.0270,0.9991,1873.0000,1848.0000,1833.0000,-7.3771,-3.5091,,
0.1686,354,0,-82.3790,-85.8318,672.4824,-82.7295,-53.4571,653.4206,-0.0226,-0.0242,-0.0270,0.9991,1873.0000,1848.0000,1833.0000,-7.3771,-3.5091,,
0.1799,354,0,-82.7541,-85.7304,673.0858,-82.9444,-53.3544,654.0240,-0.0212,-0.0229,-0.0266,0.9992,1873.0000,1848.0000,1833.0000,-7.3771,-3.5091,,
0.1918,354,0,-83.5506,-85.6285,672.1943,-83.5750,-53.2520,653.1324,-0.0216,-0.0208,-0.0271,0.9992,1873.0000,1848.0000,1833.0000,-7.3771,-3.5091,,
0.2039,354,0,-83.5506,-85.6285,672.1943,-83.5750,-53.2520,653.1324,-0.0216,-0.0208,-0.0271,0.9992,1873.0000,1848.0000,1833.0000,-7.3771,-3.5091,,
0.2161,354,0,-82.8975,-85.3964,671.9189,-82.7572,-53.0202,652.8571,-0.0223,-0.0245,-0.0271,0.9991,1873.0000,1848.0000,1833.0000,-7.3771,-3.5091,,
0.2248,354,0,-82.9568,-84.7233,671.3107,-81.9763,-52.3616,652.2488,0.0224,0.3011,-0.0567,0.9516,1873.0000,1848.0000,1833.0000,-7.3771,-3.5091,,
0.2357,354,0,-82.9568,-84.7233,671.3107,-81.9763,-52.3616,652.2488,0.0224,0.3011,-0.0567,0.9516,1873.0000,1848.0000,1833.0000,-7.3771,-3.5091,,
0.2477,354,0,-82.9248,-84.4740,671.7408,-82.9654,-52.0975,652.6790,-0.0223,-0.0252,-0.0275,0.9991,1873.0000,1848.0000,1833.0000,-7.3744,-3.5075,,
0.2597,354,0,-83.1482,-83.6593,672.3633,-83.1776,-51.2827,653.3015,-0.0215,-0.0263,-0.0277,0.9990,1873.0000,1848.0000,1833.0000,-7.3744,-3.5075,,
0.2718,354,0,-82.9415,-83.5873,671.3818,-82.9928,-51.2107,652.3199,-0.0216,-0.0249,-0.0274,0.9991,1873.0000,1848.0000,1833.0000,-7.3744,-3.5075,,
0.2843,354,0,-82.9415,-83.5873,671.3818,-82.9928,-51.2107,652.3199,-0.0216,-0.0249,-0.0274,0.9991,1873.0000,1848.0000,1833.0000,-7.3744,-3.5075,,
0.2930,354,0,-83.2038,-83.6137,669.5491,-82.8988,-51.2386,650.4873,-0.0196,-0.0240,-0.0278,0.9991,1873.0000,1839.0000,1824.0000,-7.3744,-3.5075,,
0.3039,354,0,-81.6733,-82.4222,670.9982,-81.7073,-50.0456,651.9364,-0.0211,-0.0266,-0.0278,0.9990,1873.0000,1839.0000,1824.0000,-7.3775,-3.5057,,
0.3158,354,0,-81.6733,-82.4222,670.9982,-81.7073,-50.0456,651.9364,-0.0211,-0.0266,-0.0278,0.9990,1873.0000,1839.0000,1824.0000,-7.3775,-3.5057,,
0.3278,354,0,-82.0179,-82.1141,671.3178,-81.9013,-49.7377,652.2560,-0.0170,-0.0233,-0.0273,0.9992,1873.0000,1839.0000,1824.0000,-7.3775,-3.5057,,
0.3397,354,0,-80.9962,-81.3928,670.5676,-81.0281,-49.0163,651.5058,-0.0204,-0.0236,-0.0276,0.9991,1873.0000,1839.0000,1825.0000,-7.3775,-3.5057,,
0.3517,354,0,-81.0303,-80.7354,669.5438,-81.0655,-48.3589,650.4819,-0.0207,-0.0203,-0.0272,0.9992,1873.0000,1839.0000,1825.0000,-7.3775,-3.5057,,
0.3605,354,0,-81.0303,-80.7354,669.5438,-81.0655,-48.3589,650.4819,-0.0207,-0.0203,-0.0272,0.9992,1873.0000,1839.0000,1825.0000,-7.3775,-3.5057,,
0.3717,354,0,-80.0838,-80.6611,669.4988,-80.1330,-48.2845,650.4370,-0.0199,-0.0217,-0.0269,0.9992,1873.0000,1838.0000,1824.0000,-7.3807,-3.5040,,
0.3836,354,0,-78.8578,-79.4784,669.0730,-78.9070,-47.1019,650.0112,-0.0210,-0.0213,-0.0270,0.9992,1873.0000,1836.0000,1822.0000,-7.3807,-3.5040,,
0.3957,354,0,-78.2960,-79.5547,669.2674,-78.1631,-47.1784,650.2056,-0.0168,-0.0226,-0.0268,0.9992,1873.0000,1836.0000,1822.0000,-7.3807,-3.5040,,
