{HEADER}
user_id: 988
target_id: 197
target_screen_position_mm: [-167.99, 0.00]
fingertip_offset: [-1.88, 32.24, 19.19]
completion_time: 4.7333
endpoint_error_mm: [14.7127, -5.6813, 2.3238]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.750585, 8.214128, 7.602108, 4.909562]
control_points_accel: [-2.800403, 0.701205, -2.619878, 4.719076]
stiffness_measurements: [0.168906, 0.210330, 0.283971, 0.132568]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,197,0,-222.4606,105.1810,698.3976,-224.8565,137.3910,679.2056,-0.0008,-0.0147,0.0065,0.9999,1848.0000,1850.0000,1827.0000,12.0894,-1.5429,,
0.0120,197,0,-222.4989,105.0777,698.2908,-224.8734,137.2893,679.0987,-0.0007,-0.0136,0.0060,0.9999,1848.0000,1850.0000,1827.0000,12.0894,-1.5429,,
0.0242,197,0,-222.5372,104.9744,698.1838,-224.9117,137.1860,678.9918,-0.0007,-0.0136,0.0060,0.9999,1848.0000,1850.0000,1827.0000,12.0894,-1.5429,,
0.0355,197,0,-222.5372,104.9744,698.1838,-224.8142,137.1930,678.9918,-0.0006,-0.0115,0.0051,0.9999,1848.0000,1850.0000,1827.0000,12.0894,-1.5429,,
0.0445,197,0,-222.5091,104.4100,698.7118,-224.7908,136.6282,679.5197,-0.0004,-0.0073,0.0032,1.0000,1848.0000,1850.0000,1827.0000,12.0894,-1.5429,,
0.0557,197,0,-222.5091,103.5700,699.7404,-224.7908,135.7882,680.5483,-0.0004,-0.0073,0.0032,1.0000,1848.0000,1850.0000,1827.0000,12.0894,-1.5429,,
0.0675,197,0,-222.5091,103.5700,699.7404,-224.5248,135.8060,680.5483,-0.0003,-0.0054,0.0024,1.0000,1848.0000,1850.0000,1827.0000,12.0894,-1.5429,,
0.0805,197,0,-222.3214,103.1390,699.9573,-224.0325,135.3926,680.7652,-0.0001,-0.0017,0.0007,1.0000,1848.0000,1850.0000,1827.0000,12.0894,-1.5429,,
0.0915,197,0,-222.0635,102.7094,700.2930,-223.7269,134.9656,681.1009,0.0000,0.0003,-0.0001,1.0000,1848.0000,1850.0000,1827.0000,12.0894,-1.5429,,
0.1035,197,0,-221.9484,102.7094,700.8833,-223.6118,134.9656,681.6912,0.0000,0.0003,-0.0001,1.0000,1848.0000,1850.0000,1827.0000,12.0894,-1.5394,,
0.1122,197,0,-221.9484,102.7094,700.8833,-223.7291,134.9593,681.6912,0.0001,0.0017,-0.0007,1.0000,1848.0000,1850.0000,1827.0000,12.0863,-1.5412,,
0.1235,197,0,-221.5802,102.9293,700.8833,-223.4350,135.1750,681.6912,0.0002,0.0037,-0.0016,1.0000,1848.0000,1850.0000,1827.0000,12.0361,-1.5697,,
0.1353,197,0,-220.6844,103.7352,700.8446,-222.5392,135.9809,681.6525,0.0002,0.0037,-0.0016,1.0000,1848.0000,1850.0000,1827.0000,11.8607,-1.6691,,
0.1473,197,0,-220.6844,103.7352,700.8446,-222.2786,135.9948,681.6525,0.0003,0.0054,-0.0024,1.0000,1848.0000,1850.0000,1827.0000,11.7636,-1.7241,,
0.1595,197,0,-220.2870,104.0658,700.6911,-221.9184,136.3235,681.4990,0.0004,0.0068,-0.0030,1.0000,1848.0000,1850.0000,1827.0000,11.7480,-1.7330,,
0.1684,197,0,-219.2960,105.5913,700.4202,-220.9274,137.8491,681.2281,0.0004,0.0068,-0.0030,1.0000,1848.0000,1850.0000,1827.0000,11.7480,-1.7330,,
0.1793,197,0,-219.2960,105.5913,700.4202,-220.7214,137.8588,681.2281,0.0004,0.0074,-0.0032,1.0000,1848.0000,1850.0000,1827.0000,11.7480,-1.7330,,
