{HEADER}
user_id: 988
target_id: 213
target_screen_position_mm: [88.11, 0.00]
fingertip_offset: [-1.88, 32.24, 19.19]
completion_time: 11.5286
endpoint_error_mm: [13.1210, 0.4009, 6.5979]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.750585, 8.214128, 7.602108, 4.909562]
control_points_accel: [-2.800403, 0.701205, -2.619878, 4.719076]
stiffness_measurements: [0.168906, 0.210330, 0.283971, 0.132568]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,213,0,-125.4972,56.1394,1042.0726,-122.4990,88.2989,1022.8806,0.0000,0.0000,0.0000,1.0000,1850.0000,1848.0000,1837.0000,9.4907,5.6780,,
0.0114,213,0,-125.4972,56.1394,1042.0726,-122.4990,88.2989,1022.8806,0.0000,0.0000,0.0000,1.0000,1850.0000,1848.0000,1837.0000,9.4030,5.7310,,
0.0249,213,0,-125.4972,56.1394,1042.0726,-122.8062,88.3261,1022.8805,0.0000,0.0000,0.0000,1.0000,1850.0000,1848.0000,1837.0000,9.3497,5.7644,,
0.0340,213,0,-125.2900,55.8062,1042.0726,-121.7323,87.9087,1022.8806,0.0000,0.0000,0.0000,1.0000,1850.0000,1848.0000,1837.0000,9.3435,5.7680,,
0.0473,213,0,-122.7559,54.8614,1041.2556,-119.1982,86.9639,1022.0635,0.0000,0.0000,0.0000,1.0000,1850.0000,1848.0000,1837.0000,9.3403,5.7730,,
0.0591,213,0,-122.7559,54.8614,1041.2556,-119.7096,87.0164,1022.0635,0.0000,0.0000,0.0000,1.0000,1850.0000,1848.0000,1837.0000,9.3372,5.7748,,
0.0678,213,0,-121.5607,54.4166,1040.4170,-118.3657,86.5571,1021.2249,0.0000,0.0000,0.0000,1.0000,1850.0000,1848.0000,1837.0000,9.3372,5.7748,,
0.0765,213,0,-120.1386,53.3702,1039.7812,-116.9437,85.5108,1020.5892,0.0000,0.0000,0.0000,1.0000,1850.0000,1848.0000,1837.0000,9.3341,5.7766,,
0.0880,213,0,-120.1386,53.3702,1039.7812,-117.0148,85.5178,1020.5892,0.0000,0.0000,0.0000,1.0000,1850.0000,1848.0000,1837.0000,9.3278,5.7801,,
0.0998,213,0,-120.2709,53.3684,1037.9882,-117.1471,85.5160,1018.7961,0.0000,0.0000,0.0000,1.0000,1850.0000,1848.0000,1837.0000,9.3184,5.7855,,
