{HEADER}
user_id: 988
target_id: 214
target_screen_position_mm: [104.04, 0.00]
fingertip_offset: [-1.88, 32.24, 19.19]
completion_time: 8.1993
endpoint_error_mm: [-18.6193, -11.6772, 4.9289]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.750585, 8.214128, 7.602108, 4.909562]
control_points_accel: [-2.800403, 0.701205, -2.619878, 4.719076]
stiffness_measurements: [0.168906, 0.210330, 0.283971, 0.132568]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,214,0,65.5959,100.6654,635.2830,80.8558,129.1323,616.0909,-0.0195,0.1836,-0.2460,0.9515,1841.0000,1852.0000,1829.0000,18.2503,2.2589,,
0.0119,214,0,65.0775,100.6175,634.8803,80.4394,129.0293,615.6882,-0.0206,0.1838,-0.2465,0.9513,1826.0000,1852.0000,1829.0000,18.2471,2.2571,,
0.0234,214,0,64.5746,100.5938,634.6309,79.9366,129.0056,615.4388,-0.0215,0.1836,-0.2465,0.9513,1774.0000,1852.0000,1829.0000,18.2471,2.2571,,
0.0352,214,0,64.5590,100.5938,634.4940,79.9851,128.9709,615.3019,-0.0223,0.1836,-0.2466,0.9513,1686.0000,1852.0000,1829.0000,18.2892,2.2810,,
0.0472,214,0,64.5746,100.7239,634.4940,79.9562,129.1252,615.3019,-0.0257,0.1826,-0.2462,0.9515,1587.0000,1852.0000,1829.0000,18.3833,2.3343,,
0.0588,214,0,65.2358,100.8024,634.4940,80.6174,129.2036,615.3019,-0.0297,0.1813,-0.2461,0.9517,1470.0000,1852.0000,1829.0000,18.8741,2.6192,,
0.0673,214,0,65.3406,100.9642,635.4305,80.8092,129.3181,616.2385,-0.0325,0.1802,-0.2460,0.9518,1393.0000,1852.0000,1829.0000,19.1771,2.8011,,
0.0788,214,0,65.7445,101.1802,636.0590,81.2132,129.5341,616.8669,-0.0337,0.1796,-0.2461,0.9519,1354.0000,1852.0000,1829.0000,19.5200,3.0090,,
0.0908,214,0,65.7824,101.2385,636.0590,81.1680,129.6376,616.8669,-0.0341,0.1790,-0.2455,0.9521,1320.0000,1852.0000,1829.0000,20.8567,3.7789,,
0.1029,214,0,65.7824,101.2385,635.9713,81.0641,129.6936,616.7792,-0.0343,0.1774,-0.2437,0.9529,1284.0000,1852.0000,1830.0000,21.5235,4.3291,,
0.1163,214,0,63.3377,100.4274,635.0491,78.6118,128.8866,615.8570,-0.0346,0.1764,-0.2427,0.9533,1253.0000,1852.0000,1830.0000,21.8183,4.6956,,
0.1273,214,0,60.4138,98.3509,633.6754,75.6879,126.8101,614.4833,-0.0346,0.1764,-0.2427,0.9533,1232.0000,1852.0000,1830.0000,21.9908,4.8879,,
0.1359,214,0,60.4138,98.3509,633.6754,75.5460,126.8858,614.4833,-0.0350,0.1756,-0.2420,0.9536,1216.0000,1852.0000,1830.0000,22.0738,4.9956,,
0.1470,214,0,56.5854,95.6935,632.3087,71.7660,124.2027,613.1166,-0.0370,0.1759,-0.2436,0.9531,1195.0000,1852.0000,1830.0000,22.2699,5.1843,,
0.1587,214,0,50.4524,88.7622,629.4619,65.6330,117.2714,610.2698,-0.0370,0.1759,-0.2436,0.9531,1167.0000,1852.0000,1830.0000,22.4329,5.3172,,
0.1707,214,0,50.4509,88.7596,629.4432,65.7248,117.2189,610.2512,-0.0382,0.1758,-0.2445,0.9528,1169.0000,1852.0000,1830.0000,22.5628,5.4178,,
0.1832,214,0,49.5917,86.3810,629.0889,64.8110,114.8695,609.8969,-0.0387,0.1755,-0.2445,0.9529,1166.0000,1852.0000,1830.0000,22.6661,5.5134,,
0.1916,214,0,49.1595,84.2575,627.7649,64.3788,112.7460,608.5728,-0.0387,0.1755,-0.2445,0.9529,1165.0000,1852.0000,1830.0000,22.8228,5.6292,,
0.2028,214,0,49.1595,84.2575,627.7649,64.3514,112.7606,608.5728,-0.0392,0.1753,-0.2446,0.9528,1161.0000,1852.0000,1830.0000,22.8996,5.6963,,
