{HEADER}
user_id: 988
target_id: 351
target_screen_position_mm: [-56.00, 79.88]
fingertip_offset: [-1.88, 32.24, 19.19]
completion_time: 6.1382
endpoint_error_mm: [-5.3358, -2.8185, 1.1015]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.750585, 8.214128, 7.602108, 4.909562]
control_points_accel: [-2.800403, 0.701205, -2.619878, 4.719076]
stiffness_measurements: [0.168906, 0.210330, 0.283971, 0.132568]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,351,0,-61.2177,49.0323,700.1115,-65.7425,81.0127,680.9194,-0.0051,-0.0473,0.0351,0.9983,1845.0000,1851.0000,1828.0000,14.8511,-0.3210,,
0.0143,351,0,-61.2003,50.5264,699.7087,-66.1421,82.4451,680.5167,-0.0052,-0.0480,0.0357,0.9982,1845.0000,1851.0000,1828.0000,14.8511,-0.3210,,
0.0302,351,0,-61.1830,52.0206,699.3061,-65.9179,83.9706,680.1140,-0.0054,-0.0503,0.0374,0.9980,1845.0000,1851.0000,1828.0000,14.8511,-0.3210,,
0.0427,351,0,-60.6128,55.3455,698.4704,-65.8367,87.2193,679.2783,-0.0058,-0.0538,0.0400,0.9977,1845.0000,1851.0000,1828.0000,14.8511,-0.3210,,
0.0514,351,0,-59.9863,59.1732,697.3401,-65.2102,91.0469,678.1481,-0.0058,-0.0538,0.0400,0.9977,1845.0000,1851.0000,1828.0000,14.8511,-0.3210,,
0.0599,351,0,-59.9863,59.1732,697.3401,-65.1297,91.0600,678.1481,-0.0061,-0.0572,0.0425,0.9974,1845.0000,1851.0000,1828.0000,14.8511,-0.3210,,
0.0684,351,0,-59.2235,63.1728,695.2939,-64.3669,95.0596,676.1019,-0.0061,-0.0572,0.0425,0.9974,1845.0000,1851.0000,1828.0000,14.8511,-0.3210,,
0.0777,351,0,-59.2235,63.1728,695.2939,-64.9921,94.9525,676.1019,-0.0066,-0.0632,0.0470,0.9969,1845.0000,1851.0000,1828.0000,14.8511,-0.3210,,
0.0866,351,0,-56.8404,70.9077,692.8250,-62.6090,102.6874,673.6329,-0.0066,-0.0632,0.0470,0.9969,1845.0000,1851.0000,1828.0000,14.8511,-0.3210,,
0.0977,351,0,-56.8404,70.9077,692.8250,-63.1787,102.5787,673.6329,-0.0073,-0.0709,0.0527,0.9961,1845.0000,1840.0000,1828.0000,14.8511,-0.3210,,
0.1097,351,0,-53.6822,77.6901,689.5419,-60.2509,109.3141,670.3499,-0.0079,-0.0783,0.0583,0.9952,1845.0000,1815.0000,1828.0000,14.8511,-0.3210,,
0.1216,351,0,-52.2766,83.3318,686.6917,-59.1325,114.8948,667.4996,-0.0074,-0.0811,0.0604,0.9948,1845.0000,1776.0000,1828.0000,14.8511,-0.3210,,
0.1336,351,0,-51.5609,85.6398,685.9830,-58.6755,117.1455,666.7910,-0.0066,-0.0839,0.0625,0.9945,1845.0000,1767.0000,1828.0000,14.8511,-0.3210,,
0.1456,351,0,-51.3407,87.4539,685.1213,-58.4553,118.9596,665.9292,-0.0055,-0.0839,0.0627,0.9945,1845.0000,1762.0000,1828.0000,14.8480,-0.3192,,
0.1544,351,0,-51.3222,87.4855,685.0185,-58.3049,119.0206,665.8264,-0.0054,-0.0857,0.0640,0.9942,1845.0000,1763.0000,1828.0000,14.8480,-0.3192,,
0.1659,351,0,-51.3407,89.2927,685.0185,-58.6866,120.7452,665.8264,-0.0054,-0.0885,0.0661,0.9939,1844.0000,1754.0000,1828.0000,14.8480,-0.3192,,
0.1780,351,0,-51.6171,90.7453,683.7827,-58.9630,122.1978,664.5906,-0.0051,-0.0885,0.0662,0.9939,1843.0000,1750.0000,1828.0000,14.8480,-0.3192,,
0.1896,351,0,-51.6209,90.7521,683.7827,-58.9118,122.2174,664.5906,-0.0048,-0.0889,0.0664,0.9938,1842.0000,1750.0000,1828.0000,14.8171,-0.2983,,
0.2019,351,0,-53.3382,90.7521,683.8823,-60.6989,122.2012,664.6902,-0.0046,-0.0900,0.0673,0.9937,1841.0000,1750.0000,1828.0000,14.8048,-0.2913,,
0.2135,351,0,-57.1923,89.3388,684.7696,-64.7572,120.7394,665.5775,-0.0042,-0.0901,0.0674,0.9936,1841.0000,1749.0000,1828.0000,14.8048,-0.2913,,
0.2223,351,0,-59.6747,87.6024,685.0553,-67.2395,119.0030,665.8632,-0.0037,-0.0902,0.0674,0.9936,1842.0000,1748.0000,1828.0000,14.8048,-0.2879,,
0.2334,351,0,-59.6817,87.5921,685.1362,-66.9832,119.0550,665.9441,-0.0032,-0.0902,0.0675,0.9936,1843.0000,1747.0000,1828.0000,14.8048,-0.2879,,
0.2467,351,0,-62.8003,85.6517,685.7263,-70.1726,117.0980,666.5342,-0.0025,-0.0888,0.0664,0.9938,1844.0000,1746.0000,1828.0000,14.8048,-0.2879,,
0.2576,351,0,-68.1684,81.3306,687.3658,-75.5407,112.7769,668.1738,-0.0016,-0.0888,0.0665,0.9938,1845.0000,1745.0000,1828.0000,14.8048,-0.2879,,
0.2696,351,0,-68.1839,81.3121,687.5215,-75.3852,112.7981,668.3295,-0.0014,-0.0880,0.0658,0.9939,1845.0000,1744.0000,1828.0000,14.8048,-0.2879,,
0.2784,351,0,-70.5155,79.5034,687.7158,-77.4301,111.0535,668.5237,-0.0011,-0.0842,0.0630,0.9944,1845.0000,1743.0000,1828.0000,14.8048,-0.2879,,
0.2895,351,0,-75.6138,75.6653,689.7520,-82.5285,107.2155,670.5599,-0.0004,-0.0843,0.0631,0.9944,1845.0000,1741.0000,1828.0000,14.8048,-0.2845,,
0.3029,351,0,-75.6222,75.6570,689.8280,-82.4973,107.2158,670.6359,0.0001,-0.0824,0.0616,0.9947,1845.0000,1740.0000,1828.0000,14.8048,-0.2811,,
0.3138,351,0,-77.5333,73.1963,690.5375,-83.9880,104.8438,671.3454,0.0004,-0.0782,0.0585,0.9952,1845.0000,1738.0000,1828.0000,14.8048,-0.2811,,
0.3255,351,0,-81.0877,69.6907,691.4301,-87.6184,101.3226,672.2380,0.0009,-0.0766,0.0573,0.9954,1845.0000,1737.0000,1828.0000,14.8048,-0.2777,,
0.3376,351,0,-82.2737,67.9827,691.8351,-88.5892,99.6582,672.6430,0.0011,-0.0753,0.0563,0.9956,1845.0000,1736.0000,1828.0000,14.7986,-0.2742,,
0.3463,351,0,-83.4611,66.4133,691.8351,-89.7766,98.0888,672.6430,0.0013,-0.0753,0.0563,0.9956,1845.0000,1735.0000,1828.0000,14.7894,-0.2690,,
0.3576,351,0,-83.4649,66.4102,691.8351,-89.7711,98.0876,672.6430,0.0016,-0.0741,0.0555,0.9957,1845.0000,1734.0000,1828.0000,14.7894,-0.2690,,
0.3696,351,0,-84.4438,65.4402,691.8105,-90.5727,97.1523,672.6184,0.0021,-0.0743,0.0556,0.9957,1845.0000,1733.0000,1828.0000,14.7894,-0.2690,,
0.3818,351,0,-85.6736,64.2950,690.8362,-91.8026,96.0072,671.6442,0.0024,-0.0743,0.0556,0.9957,1845.0000,1733.0000,1828.0000,14.7894,-0.2690,,
0.3935,351,0,-85.6820,64.2887,690.7681,-91.8729,95.9888,671.5760,0.0027,-0.0746,0.0558,0.9957,1845.0000,1732.0000,1828.0000,14.7894,-0.2690,,
0.4024,351,0,-86.1221,63.9602,690.0908,-92.6480,95.5930,670.8987,0.0030,-0.0760,0.0569,0.9955,1845.0000,1731.0000,1828.0000,14.7894,-0.2690,,
0.4142,351,0,-86.7930,63.9252,688.5778,-93.3190,95.5581,669.3857,0.0032,-0.0760,0.0569,0.9955,1845.0000,1731.0000,1828.0000,14.7894,-0.2690,,
0.4261,351,0,-86.7975,63.9252,688.5426,-93.1986,95.5836,669.3505,0.0034,-0.0773,0.0579,0.9953,1845.0000,1730.0000,1828.0000,14.7894,-0.2690,,
0.4374,351,0,-87.2877,63.9773,687.4571,-93.8536,95.6018,668.2650,0.0036,-0.0796,0.0595,0.9950,1845.0000,1730.0000,1828.0000,14.7894,-0.2690,,
0.4496,351,0,-87.9992,63.9773,685.1962,-94.6263,95.5891,666.0041,0.0038,-0.0811,0.0607,0.9949,1845.0000,1729.0000,1828.0000,14.7894,-0.2690,,
0.4614,351,0,-89.0392,63.8889,684.2607,-95.6662,95.5007,665.0687,0.0040,-0.0811,0.0607,0.9949,1845.0000,1728.0000,1828.0000,14.7801,-0.2569,,
0.4700,351,0,-89.0426,63.8865,684.2344,-95.7724,95.4766,665.0424,0.0042,-0.0823,0.0616,0.9947,1845.0000,1717.0000,1828.0000,14.7678,-0.2499,,
0.4817,351,0,-89.0703,63.1962,682.2719,-95.6553,94.8168,663.0798,0.0048,-0.0841,0.0629,0.9945,1845.0000,1693.0000,1828.0000,14.7492,-0.2360,,
0.4936,351,0,-89.4632,62.3472,680.4014,-96.0483,93.9678,661.2093,0.0048,-0.0841,0.0629,0.9945,1845.0000,1673.0000,1828.0000,14.7461,-0.2308,,
0.5061,351,0,-89.4652,62.3458,680.3864,-96.4154,93.8882,661.1943,0.0050,-0.0842,0.0630,0.9944,1845.0000,1660.0000,1828.0000,14.7462,-0.2273,,
0.5180,351,0,-89.6217,61.3402,679.5384,-96.4942,92.8995,660.3463,0.0052,-0.0847,0.0634,0.9944,1845.0000,1647.0000,1828.0000,14.7370,-0.2220,,
0.5297,351,0,-90.7164,59.7963,676.9359,-97.4583,91.3838,657.7438,0.0053,-0.0834,0.0625,0.9945,1845.0000,1604.0000,1828.0000,14.7339,-0.2203,,
0.5384,351,0,-91.6995,58.8870,675.7834,-98.4414,90.4745,656.5913,0.0053,-0.0834,0.0625,0.9945,1845.0000,1596.0000,1828.0000,14.7308,-0.2185,,
0.5499,351,0,-91.6995,58.8870,675.7833,-98.3921,90.4850,656.5912,0.0053,-0.0813,0.0609,0.9948,1845.0000,1588.0000,1828.0000,14.6165,-0.1538,,
0.5619,351,0,-93.3216,58.2743,675.3252,-99.8833,89.8998,656.1331,0.0052,-0.0770,0.0576,0.9954,1845.0000,1575.0000,1828.0000,14.5083,-0.0891,,
0.5736,351,0,-95.7983,56.0472,673.5272,-102.3600,87.6727,654.3351,0.0052,-0.0770,0.0576,0.9954,1845.0000,1555.0000,1828.0000,14.4063,-0.0176,,
0.5856,351,0,-95.7983,56.0472,673.5272,-102.1071,87.7241,654.3351,0.0052,-0.0755,0.0565,0.9955,1845.0000,1541.0000,1828.0000,14.3103,0.0606,,
0.5943,351,0,-96.8366,54.7181,671.9401,-102.8414,86.4540,652.7480,0.0051,-0.0726,0.0544,0.9959,1845.0000,1514.0000,1828.0000,14.3103,0.0640,,
0.6055,351,0,-97.2619,52.0880,670.0282,-103.2667,83.8239,650.8361,0.0051,-0.0726,0.0544,0.9959,1845.0000,1493.0000,1828.0000,14.3072,0.0658,,
0.6179,351,0,-97.2619,52.0880,670.0282,-103.4751,83.7837,650.8361,0.0052,-0.0725,0.0543,0.9959,1845.0000,1480.0000,1828.0000,14.2638,0.0904,,
0.6308,351,0,-96.3327,50.8743,668.6842,-102.3904,82.6002,649.4921,0.0054,-0.0741,0.0555,0.9957,1845.0000,1458.0000,1828.0000,14.1771,0.1395,,
0.6417,351,0,-94.1693,48.0711,665.4708,-100.5720,79.7291,646.2787,0.0056,-0.0750,0.0562,0.9956,1845.0000,1394.0000,1828.0000,13.9724,0.2556,,
0.6537,351,0,-92.8809,48.0711,663.0521,-99.2836,79.7291,643.8600,0.0056,-0.0750,0.0562,0.9956,1845.0000,1380.0000,1828.0000,13.8668,0.3154,,
0.6625,351,0,-92.8809,48.0711,663.0521,-99.2404,79.7378,643.8600,0.0058,-0.0763,0.0572,0.9954,1845.0000,1369.0000,1828.0000,13.8233,0.3401,,
