t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw
0,354,0,-89.5688,112.7347,1050.1945,-89.5688,112.7347,1050.1945,-0.0183,-0.0218,0.0206,0.9994
0.0125,354,0,-89.5688,112.7347,1050.1945,-89.5688,112.7347,1050.1945,-0.0183,-0.0218,0.0206,0.9994
0.0242,354,0,-109.6363,76.8617,1058.5896,-109.6363,76.8617,1058.5896,0.0794,-0.0532,-0.0011,0.9954
0.0335,354,0,-109.6363,76.8617,1058.5896,-109.6363,76.8617,1058.5896,0.0794,-0.0532,-0.0011,0.9954
0.044,354,0,-109.6363,76.8617,1058.5896,-109.6363,76.8617,1058.5896,0.0794,-0.0532,-0.0011,0.9954
0.148,354,0,-67.5565,112.1045,1049.4261,-67.5565,112.1045,1049.4261,0.0115,0.0473,0.0272,0.9984
0.16,354,0,-67.5565,112.1045,1049.4261,-67.5565,112.1045,1049.4261,0.0115,0.0473,0.0272,0.9984
0.1689,354,0,-67.5565,112.1045,1049.4261,-67.5565,112.1045,1049.4261,0.0115,0.0473,0.0272,0.9984
0.204,354,0,15.6543,-24.8443,1022.8923,15.6543,-24.8443,1022.8923,0.1239,0.0247,0.0558,0.9904
0.2159,354,0,15.6543,-24.8443,1022.8923,15.6543,-24.8443,1022.8923,0.1239,0.0247,0.0558,0.9904
0.328,354,0,-64.4419,102.6393,1046.8514,-64.4419,102.6393,1046.8514,-0.0971,0.1581,0.0506,0.9813
0.34,354,0,-64.4419,102.6393,1046.8514,-64.4419,102.6393,1046.8514,-0.0971,0.1581,0.0506,0.9813
0.3519,354,0,-118.4668,132.3318,1041.6833,-118.4668,132.3318,1041.6833,0.2374,-0.2793,0.0136,0.9303
0.3606,354,0,-118.4668,132.3318,1041.6833,-118.4668,132.3318,1041.6833,0.2374,-0.2793,0.0136,0.9303
0.372,354,0,-118.4668,132.3318,1041.6833,-118.4668,132.3318,1041.6833,0.2374,-0.2793,0.0136,0.9303
0.3838,354,0,-118.4668,132.3318,1041.6833,-118.4668,132.3318,1041.6833,0.2374,-0.2793,0.0136,0.9303
0.3959,354,0,-99.5558,108.2168,1041.6833,-99.5558,108.2168,1041.6833,0.0225,0.0398,0.0276,0.9986
0.4082,354,0,-99.5558,108.2168,1041.6833,-99.5558,108.2168,1041.6833,0.0225,0.0398,0.0276,0.9986
0.4169,354,0,-118.4668,132.3318,1041.6833,-118.4668,132.3318,1041.6833,0.2374,-0.2793,0.0136,0.9303
0.4279,354,0,-118.4668,132.3318,1041.6833,-118.4668,132.3318,1041.6833,0.2374,-0.2793,0.0136,0.9303
0.44,354,0,-118.4668,132.3318,1041.6833,-118.4668,132.3318,1041.6833,0.2374,-0.2793,0.0136,0.9303
0.4518,354,0,-118.4668,132.3318,1041.6833,-118.4668,132.3318,1041.6833,0.2374,-0.2793,0.0136,0.9303
0.4639,354,0,-118.4668,132.3318,1041.6833,-118.4668,132.3318,1041.6833,0.2374,-0.2793,0.0136,0.9303
0.477,354,0,-118.4668,132.3318,1041.6833,-118.4668,132.3318,1041.6833,0.2374,-0.2793,0.0136,0.9303
0.4857,354,0,-118.4668,132.3318,1041.6833,-118.4668,132.3318,1041.6833,0.2374,-0.2793,0.0136,0.9303
0.4959,354,0,-96.9386,111.8834,1049.4271,-96.9386,111.8834,1049.4271,0.0313,-0.0287,0.024,0.9988
0.5079,354,0,-96.9386,111.8834,1049.4271,-96.9386,111.8834,1049.4271,0.0313,-0.0287,0.024,0.9988
0.5199,354,0,-91.4243,110.3609,1049.4271,-91.4243,110.3609,1049.4271,-0.0056,-0.0304,0.023,0.9993
0.5319,354,0,-91.4243,110.3609,1049.4271,-91.4243,110.3609,1049.4271,-0.0056,-0.0304,0.023,0.9993
0.5441,354,0,-96.9386,111.8834,1049.4271,-96.9386,111.8834,1049.4271,0.0313,-0.0287,0.024,0.9988
0.5527,354,0,-96.9386,111.8834,1049.4271,-96.9386,111.8834,1049.4271,0.0313,-0.0287,0.024,0.9988
0.5637,354,0,-96.9386,111.8834,1049.4271,-96.9386,111.8834,1049.4271,0.0313,-0.0287,0.024,0.9988
