{HEADER}
user_id: 999
target_id: 291
target_screen_position_mm: [-104.04, 48.04]
fingertip_offset: [-0.97, 32.92, 19.60]
completion_time: 5.5514
endpoint_error_mm: [1.8749, 10.4134, 1.7581]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.232760, 6.795296, 5.159784, 7.054626]
control_points_accel: [0.511740, -1.614305, 3.032177, -1.929612]
stiffness_measurements: [0.286907, 0.181744, 0.304497, 0.290343]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,291,0,-140.4519,-85.2457,632.6558,-136.4281,-52.5621,613.0579,-0.0354,-0.0406,-0.0858,0.9949,1794.0000,1848.0000,1839.0000,8.3726,7.3384,,
0.0091,291,0,-140.5075,-84.1836,632.9379,-136.6453,-51.4806,613.3400,-0.0347,-0.0393,-0.0865,0.9949,1861.0000,1848.0000,1833.0000,8.3697,7.3335,,
0.0195,291,0,-140.5075,-84.1836,632.9379,-136.6453,-51.4806,613.3400,-0.0347,-0.0393,-0.0865,0.9949,1861.0000,1802.0000,1809.0000,8.3697,7.3141,,
0.0311,291,0,-140.1833,-83.5012,632.3671,-136.2350,-50.8084,612.7692,-0.0349,-0.0389,-0.0871,0.9948,1861.0000,1753.0000,1786.0000,8.3609,7.2703,,
0.0429,291,0,-139.9434,-82.1248,631.6342,-136.3219,-49.3942,612.0363,-0.0316,-0.0388,-0.0875,0.9949,1861.0000,1711.0000,1767.0000,8.3423,7.2128,,
0.0549,291,0,-139.9434,-82.1248,631.6342,-136.3219,-49.3942,612.0363,-0.0316,-0.0388,-0.0875,0.9949,1861.0000,1676.0000,1752.0000,8.2641,7.1375,,
0.0672,291,0,-139.7506,-80.7418,631.4001,-136.1798,-48.0056,611.8022,-0.0311,-0.0399,-0.0870,0.9949,1861.0000,1648.0000,1740.0000,8.0291,7.2059,,
0.0759,291,0,-140.4068,-77.6919,630.8370,-136.4660,-44.9982,611.2390,-0.0307,-0.0378,-0.0866,0.9950,1861.0000,1626.0000,1731.0000,7.7937,7.2778,,
0.0871,291,0,-140.4068,-77.6919,630.8370,-136.4660,-44.9982,611.2390,-0.0307,-0.0378,-0.0866,0.9950,1861.0000,1607.0000,1726.0000,7.6806,7.3224,,
0.0991,291,0,-140.2193,-75.4627,630.2436,-136.3297,-42.7629,610.6456,-0.0281,-0.0382,-0.0864,0.9951,1861.0000,1584.0000,1718.0000,7.4824,7.3894,,
0.1110,291,0,-138.6151,-72.0953,630.0903,-134.8173,-39.3846,610.4924,-0.0272,-0.0365,-0.0868,0.9952,1861.0000,1568.0000,1715.0000,7.2241,7.4937,,
0.1230,291,0,-137.1497,-71.6672,628.9789,-133.4713,-38.9429,609.3810,-0.0267,-0.0370,-0.0859,0.9953,1861.0000,1539.0000,1709.0000,7.0979,7.5555,,
0.1350,291,0,-137.1497,-71.6672,628.9789,-133.4713,-38.9429,609.3810,-0.0267,-0.0370,-0.0859,0.9953,1861.0000,1531.0000,1709.0000,6.8325,7.7026,,
0.1437,291,0,-136.2705,-70.3444,628.8837,-132.8280,-37.5945,609.2858,-0.0278,-0.0356,-0.0850,0.9954,1861.0000,1524.0000,1709.0000,6.7060,7.7743,,
0.1551,291,0,-136.2705,-70.3444,628.8837,-132.8280,-37.5945,609.2858,-0.0278,-0.0356,-0.0850,0.9954,1861.0000,1517.0000,1710.0000,6.4497,7.9163,,
0.1672,291,0,-134.2923,-69.1147,628.4169,-130.5049,-36.4029,608.8190,-0.0270,-0.0338,-0.0841,0.9955,1861.0000,1505.0000,1709.0000,6.1959,8.0601,,
0.1790,291,0,-131.3661,-67.9564,627.6506,-127.6176,-35.2400,608.0526,-0.0257,-0.0314,-0.0839,0.9956,1861.0000,1490.0000,1706.0000,6.0942,8.1177,,
0.1914,291,0,-129.7516,-67.2847,626.8671,-126.2952,-34.5362,607.2692,-0.0246,-0.0318,-0.0833,0.9957,1861.0000,1477.0000,1704.0000,5.8430,8.2602,,
0.2000,291,0,-129.7516,-67.2847,626.8671,-126.2952,-34.5362,607.2692,-0.0246,-0.0318,-0.0833,0.9957,1861.0000,1476.0000,1705.0000,5.7920,8.2890,,
0.2108,291,0,-128.4439,-67.5491,626.5668,-125.1709,-34.7818,606.9689,-0.0250,-0.0284,-0.0826,0.9959,1861.0000,1471.0000,1706.0000,5.6933,8.3450,,
0.2230,291,0,-128.4439,-67.5491,626.5668,-125.1709,-34.7818,606.9689,-0.0250,-0.0284,-0.0826,0.9959,1861.0000,1471.0000,1707.0000,5.5849,8.4064,,
0.2350,291,0,-126.2841,-66.9903,624.7046,-122.8289,-34.2417,605.1067,-0.0252,-0.0281,-0.0811,0.9960,1861.0000,1443.0000,1698.0000,5.5020,8.4534,,
0.2470,291,0,-125.0112,-65.6459,623.2838,-121.6186,-32.8907,603.6859,-0.0238,-0.0265,-0.0821,0.9960,1861.0000,1422.0000,1692.0000,5.4924,8.4588,,
0.2589,291,0,-123.9872,-64.4970,622.0269,-120.6099,-31.7403,602.4290,-0.0242,-0.0260,-0.0830,0.9959,1861.0000,1404.0000,1688.0000,5.4350,8.4914,,
0.2675,291,0,-123.9872,-64.4970,622.0269,-120.6099,-31.7403,602.4290,-0.0242,-0.0260,-0.0830,0.9959,1861.0000,1406.0000,1690.0000,5.3583,8.5348,,
0.2790,291,0,-123.2267,-63.9068,621.4000,-119.5468,-31.1827,601.8021,-0.0235,-0.0252,-0.0832,0.9959,1861.0000,1398.0000,1689.0000,5.0514,8.7088,,
0.2912,291,0,-121.5359,-61.3081,619.8043,-118.1051,-28.5569,600.2063,-0.0235,-0.0230,-0.0822,0.9961,1861.0000,1375.0000,1683.0000,4.6573,8.9354,,
0.3030,291,0,-121.5359,-61.3081,619.8043,-118.1051,-28.5569,600.2063,-0.0235,-0.0230,-0.0822,0.9961,1861.0000,1376.0000,1688.0000,4.5739,8.9827,,
0.3150,291,0,-119.6657,-60.5052,618.8628,-116.1296,-27.7652,599.2649,-0.0230,-0.0224,-0.0830,0.9960,1861.0000,1362.0000,1687.0000,4.2106,9.1885,,
0.3237,291,0,-113.7429,-58.8764,617.1068,-110.1024,-26.1479,597.5088,-0.0224,-0.0198,-0.0826,0.9961,1861.0000,1338.0000,1682.0000,4.0795,9.2529,,
0.3350,291,0,-113.7429,-58.8764,617.1068,-110.1024,-26.1479,597.5088,-0.0224,-0.0198,-0.0826,0.9961,1861.0000,1344.0000,1686.0000,3.8456,9.2957,,
0.3469,291,0,-110.6571,-58.1235,616.5209,-107.4666,-25.3481,596.9230,-0.0228,-0.0171,-0.0816,0.9963,1861.0000,1341.0000,1688.0000,3.5150,9.2838,,
0.3591,291,0,-103.4610,-55.4607,614.2076,-99.9967,-22.7131,594.6096,-0.0223,-0.0139,-0.0810,0.9964,1861.0000,1314.0000,1683.0000,3.3624,9.2741,,
0.3710,291,0,-103.4610,-55.4607,614.2076,-99.9967,-22.7131,594.6096,-0.0223,-0.0139,-0.0810,0.9964,1861.0000,1326.0000,1690.0000,3.2577,9.2771,,
0.3830,291,0,-99.4620,-54.3391,613.5911,-96.2560,-21.5652,593.9932,-0.0207,-0.0109,-0.0804,0.9965,1861.0000,1327.0000,1693.0000,3.2257,9.2919,,
0.3917,291,0,-90.8103,-50.4312,612.1439,-87.4725,-17.6704,592.5459,-0.0187,-0.0044,-0.0798,0.9966,1861.0000,1315.0000,1691.0000,3.2031,9.3047,,
0.4029,291,0,-90.8103,-50.4312,612.1439,-87.4725,-17.6704,592.5459,-0.0187,-0.0044,-0.0798,0.9966,1861.0000,1332.0000,1700.0000,3.1256,9.3487,,
