{HEADER}
user_id: 999
target_id: 297
target_screen_position_mm: [-7.96, 48.04]
fingertip_offset: [0, 0, 0]
completion_time: 74.7249
endpoint_error_mm: [2.7725, 54.4421, 130.0014]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: []
control_points_radius: []
control_points_accel: []
stiffness_measurements: []
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,297,0,27.8527,113.1491,1092.6792,27.8527,113.1491,1092.6792,-0.0680,0.0599,-0.0109,0.9958,2028.0000,2027.0000,2028.0000,-27.8217,-5.7515,,
0.0122,297,0,27.8527,113.1491,1092.6792,27.8527,113.1491,1092.6792,-0.0680,0.0599,-0.0109,0.9958,2028.0000,2027.0000,2028.0000,-27.8217,-5.7515,,
0.7121,297,0,2.3648,2.3768,49.5473,2.3648,2.3768,49.5473,0.0000,0.0000,0.0000,1.0000,2028.0000,2027.0000,2028.0000,-27.8217,-5.7491,,
0.7241,297,0,2.3648,2.3768,49.5473,2.3648,2.3768,49.5473,0.0000,0.0000,0.0000,1.0000,2028.0000,2026.0000,2028.0000,-27.8217,-5.7491,,
0.8920,297,0,6.7692,55.9561,1100.5898,6.7692,55.9561,1100.5898,-0.0662,0.0063,0.0176,0.9976,2028.0000,2027.0000,2028.0000,-27.8217,-5.7491,,
0.9040,297,0,6.7692,55.9561,1100.5898,6.7692,55.9561,1100.5898,-0.0662,0.0063,0.0176,0.9976,2028.0000,2026.0000,2028.0000,-27.8217,-5.7491,,
0.9161,297,0,2.3684,1.9672,49.1991,2.3684,1.9672,49.1991,0.0000,0.0000,0.0000,1.0000,2028.0000,2026.0000,2028.0000,-27.8217,-5.7491,,
0.9280,297,0,2.3684,1.9672,49.1991,2.3684,1.9672,49.1991,0.0000,0.0000,0.0000,1.0000,2027.0000,2025.0000,2028.0000,-27.8217,-5.7491,,
0.9401,297,0,6.7692,55.9561,1100.5898,6.7692,55.9561,1100.5898,-0.0662,0.0063,0.0176,0.9976,2026.0000,2025.0000,2028.0000,-27.8217,-5.7491,,
0.9490,297,0,6.7692,55.9561,1100.5898,6.7692,55.9561,1100.5898,-0.0662,0.0063,0.0176,0.9976,2026.0000,2024.0000,2028.0000,-27.8217,-5.7491,,
0.9602,297,0,136.8254,-40.2428,1088.8159,136.8254,-40.2428,1088.8159,-0.1203,-0.0044,0.0218,0.9925,2025.0000,2024.0000,2028.0000,-27.8217,-5.7491,,
0.9721,297,0,136.8254,-40.2428,1088.8159,136.8254,-40.2428,1088.8159,-0.1203,-0.0044,0.0218,0.9925,2024.0000,2023.0000,2028.0000,-27.8217,-5.7491,,
0.9844,297,0,136.8254,-40.2428,1088.8159,136.8254,-40.2428,1088.8159,-0.1203,-0.0044,0.0218,0.9925,2022.0000,2024.0000,2028.0000,-27.8217,-5.7491,,
1.0640,297,0,2.3684,1.9672,49.1991,2.3684,1.9672,49.1991,0.0000,0.0000,0.0000,1.0000,2028.0000,2027.0000,2028.0000,-27.8217,-5.7491,,
1.0726,297,0,2.3684,1.9672,49.1991,2.3684,1.9672,49.1991,0.0000,0.0000,0.0000,1.0000,2027.0000,2027.0000,2028.0000,-27.8217,-5.7491,,
1.0842,297,0,2.3684,1.9672,49.1991,2.3684,1.9672,49.1991,0.0000,0.0000,0.0000,1.0000,2027.0000,2027.0000,2028.0000,-27.8217,-5.7491,,
