{HEADER}
user_id: 999
target_id: 298
target_screen_position_mm: [7.96, 48.04]
fingertip_offset: [0, 0, 0]
completion_time: 76.2285
endpoint_error_mm: [9.1114, 53.2054, 121.7456]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: []
control_points_radius: []
control_points_accel: []
stiffness_measurements: []
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,298,0,-105.8976,84.7965,1058.5896,-105.8976,84.7965,1058.5896,0.0733,-0.3502,0.0092,0.9338,2028.0000,2027.0000,2028.0000,-27.8217,-5.7376,,
0.0131,298,0,-105.8976,84.7965,1058.5896,-105.8976,84.7965,1058.5896,0.0733,-0.3502,0.0092,0.9338,2028.0000,2027.0000,2028.0000,-27.8217,-5.7376,,
0.1244,298,0,-104.8943,86.6056,1067.1116,-104.8943,86.6056,1067.1116,0.0560,-0.3617,0.0026,0.9306,2028.0000,2027.0000,2028.0000,-27.8217,-5.7376,,
0.1355,298,0,-104.8943,86.6056,1067.1116,-104.8943,86.6056,1067.1116,0.0560,-0.3617,0.0026,0.9306,2028.0000,2027.0000,2028.0000,-27.8217,-5.7376,,
0.4756,298,0,-104.8943,86.6056,1067.1116,-104.8943,86.6056,1067.1116,0.0560,-0.3617,0.0026,0.9306,2028.0000,2027.0000,2028.0000,-27.8217,-5.7376,,
0.4880,298,0,-104.8943,86.6056,1067.1116,-104.8943,86.6056,1067.1116,0.0560,-0.3617,0.0026,0.9306,2028.0000,2027.0000,2028.0000,-27.8217,-5.7376,,
1.1404,298,0,-93.0964,88.2540,1102.0851,-93.0964,88.2540,1102.0851,-0.0125,-0.0230,0.0088,0.9996,2028.0000,2027.0000,2028.0000,-27.8217,-5.7376,,
1.1514,298,0,-93.0964,88.2540,1102.0851,-93.0964,88.2540,1102.0851,-0.0125,-0.0230,0.0088,0.9996,2028.0000,2027.0000,2028.0000,-27.8217,-5.7376,,
1.3676,298,0,-104.8943,86.6056,1067.1116,-104.8943,86.6056,1067.1116,0.0560,-0.3617,0.0026,0.9306,2028.0000,2027.0000,2028.0000,-27.8217,-5.7376,,
1.3797,298,0,-104.8943,86.6056,1067.1116,-104.8943,86.6056,1067.1116,0.0560,-0.3617,0.0026,0.9306,2028.0000,2027.0000,2028.0000,-27.8217,-5.7376,,
1.4358,298,0,-105.8976,84.7965,1058.5896,-105.8976,84.7965,1058.5896,0.0733,-0.3502,0.0092,0.9338,2028.0000,2027.0000,2028.0000,-27.8217,-5.7376,,
1.4478,298,0,-105.8976,84.7965,1058.5896,-105.8976,84.7965,1058.5896,0.0733,-0.3502,0.0092,0.9338,2028.0000,2027.0000,2028.0000,-27.8217,-5.7376,,
1.4564,298,0,-105.8976,84.7965,1058.5896,-105.8976,84.7965,1058.5896,0.0733,-0.3502,0.0092,0.9338,2028.0000,2027.0000,2028.0000,-27.8217,-5.7376,,
1.5609,298,0,-22.8735,153.5921,1253.6396,-22.8735,153.5921,1253.6396,0.2016,0.1812,0.0381,0.9618,2028.0000,2027.0000,2028.0000,-27.8217,-5.7376,,
1.5717,298,0,-22.8735,153.5921,1253.6396,-22.8735,153.5921,1253.6396,0.2016,0.1812,0.0381,0.9618,2028.0000,2027.0000,2028.0000,-27.8217,-5.7376,,
1.5837,298,0,-22.8735,153.5921,1253.6396,-22.8735,153.5921,1253.6396,0.2016,0.1812,0.0381,0.9618,2028.0000,2027.0000,2028.0000,-27.8217,-5.7376,,
2.0322,298,0,-107.6835,13.5490,42.4737,-107.6835,13.5490,42.4737,0.0106,-0.5871,0.8093,0.0125,2028.0000,2027.0000,2028.0000,-27.8217,-5.7376,,
2.0435,298,0,-107.6835,13.5490,42.4737,-107.6835,13.5490,42.4737,0.0106,-0.5871,0.8093,0.0125,2028.0000,2026.0000,2028.0000,-27.8217,-5.7376,,
2.3035,298,0,-65.2925,83.8641,1111.0378,-65.2925,83.8641,1111.0378,-0.0758,0.0032,0.0173,0.9970,2028.0000,2027.0000,2028.0000,-27.8217,-5.7376,,
2.3156,298,0,-65.2925,83.8641,1111.0378,-65.2925,83.8641,1111.0378,-0.0758,0.0032,0.0173,0.9970,2028.0000,2026.0000,2028.0000,-27.8217,-5.7376,,
