{HEADER}
user_id: 999
target_id: 356
target_screen_position_mm: [23.88, 79.88]
fingertip_offset: [-0.97, 32.92, 19.60]
completion_time: 6.8636
endpoint_error_mm: [-1.1489, 8.4485, -3.4883]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.232760, 6.795296, 5.159784, 7.054626]
control_points_accel: [0.511740, -1.614305, 3.032177, -1.929612]
stiffness_measurements: [0.286907, 0.181744, 0.304497, 0.290343]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,356,0,-91.7094,-123.0531,663.5353,-91.1992,-90.1267,643.9374,-0.0388,-0.0975,-0.0419,0.9936,1864.0000,1856.0000,1837.0000,11.3140,1.1559,,
0.0123,356,0,-91.6122,-123.9970,663.8384,-90.8979,-91.0744,644.2405,-0.0358,-0.0973,-0.0398,0.9938,1864.0000,1856.0000,1837.0000,11.2538,1.1901,,
0.0220,356,0,-91.6122,-123.9970,663.8384,-90.8979,-91.0744,644.2405,-0.0358,-0.0973,-0.0398,0.9938,1864.0000,1856.0000,1837.0000,11.2387,1.1986,,
0.0322,356,0,-90.5660,-124.0532,663.9860,-89.9959,-91.1278,644.3881,-0.0390,-0.1027,-0.0393,0.9932,1864.0000,1856.0000,1837.0000,11.2387,1.1986,,
0.0438,356,0,-90.7706,-124.6666,663.4551,-90.0314,-91.7446,643.8572,-0.0381,-0.0997,-0.0400,0.9935,1864.0000,1855.0000,1836.0000,11.2387,1.1986,,
0.0559,356,0,-90.7706,-124.6666,663.4551,-90.0314,-91.7446,643.8572,-0.0381,-0.0997,-0.0400,0.9935,1864.0000,1855.0000,1836.0000,11.2387,1.1986,,
0.0680,356,0,-91.2732,-125.1630,662.6892,-90.7418,-92.2369,643.0913,-0.0390,-0.0976,-0.0400,0.9937,1864.0000,1851.0000,1825.0000,11.2387,1.1986,,
0.0768,356,0,-91.2732,-125.1630,662.6892,-90.7418,-92.2369,643.0913,-0.0390,-0.0976,-0.0400,0.9937,1864.0000,1851.0000,1825.0000,11.2387,1.1986,,
0.0878,356,0,-90.7271,-124.8167,662.6007,-89.9884,-91.8946,643.0028,-0.0376,-0.0993,-0.0400,0.9935,1864.0000,1851.0000,1824.0000,11.2387,1.1986,,
0.1000,356,0,-90.5908,-124.6297,661.9164,-89.7131,-91.7110,642.3185,-0.0360,-0.0992,-0.0403,0.9936,1864.0000,1847.0000,1815.0000,11.2387,1.1986,,
0.1119,356,0,-90.8726,-124.2306,661.2380,-90.1727,-91.3077,641.6400,-0.0387,-0.0978,-0.0408,0.9936,1864.0000,1844.0000,1806.0000,11.2387,1.1986,,
0.1242,356,0,-90.8726,-124.2306,661.2380,-90.1727,-91.3077,641.6400,-0.0387,-0.0978,-0.0408,0.9936,1864.0000,1844.0000,1806.0000,11.2387,1.1986,,
